,Enterprise Resource Planning (ERP)
2018-12-30,38
2019-01-06,39
2019-01-13,35
2019-01-20,39
2019-01-27,40
2019-02-03,40
2019-02-10,41
2019-02-17,41
2019-02-24,39
2019-03-03,40
2019-03-10,39
2019-03-17,37
2019-03-24,42
2019-03-31,44
2019-04-07,42
2019-04-14,40
2019-04-21,39
2019-04-28,37
2019-05-05,39
2019-05-12,38
2019-05-19,36
2019-05-26,38
2019-06-02,34
2019-06-09,36
2019-06-16,37
2019-06-23,39
2019-06-30,38
2019-07-07,40
2019-07-14,44
2019-07-21,47
2019-07-28,44
2019-08-04,41
2019-08-11,36
2019-08-18,45
2019-08-25,46
2019-09-01,39
2019-09-08,45
2019-09-15,50
2019-09-22,49
2019-09-29,42
2019-10-06,40
2019-10-13,55
2019-10-20,43
2019-10-27,39
2019-11-03,46
2019-11-10,44
2019-11-17,49
2019-11-24,43
2019-12-01,45
2019-12-08,42
2019-12-15,41
2019-12-22,38
2019-12-29,41
2020-01-05,46
2020-01-12,38
2020-01-19,47
2020-01-26,45
2020-02-02,49
2020-02-09,46
2020-02-16,46
2020-02-23,46
2020-03-01,47
2020-03-08,40
2020-03-15,39
2020-03-22,40
2020-03-29,37
2020-04-05,35
2020-04-12,34
2020-04-19,33
2020-04-26,33
2020-05-03,33
2020-05-10,35
2020-05-17,34
2020-05-24,32
2020-05-31,35
2020-06-07,36
2020-06-14,38
2020-06-21,38
2020-06-28,37
2020-07-05,40
2020-07-12,41
2020-07-19,40
2020-07-26,40
2020-08-02,40
2020-08-09,42
2020-08-16,43
2020-08-23,42
2020-08-30,43
2020-09-06,44
2020-09-13,45
2020-09-20,43
2020-09-27,38
2020-10-04,40
2020-10-11,41
2020-10-18,39
2020-10-25,37
2020-11-01,37
2020-11-08,35
2020-11-15,39
2020-11-22,37
2020-11-29,40
2020-12-06,40
2020-12-13,41
2020-12-20,41
2020-12-27,39
2021-01-03,42
2021-01-10,35
2021-01-17,41
2021-01-24,36
2021-01-31,40
2021-02-07,40
2021-02-14,42
2021-02-21,43
2021-02-28,44
2021-03-07,39
2021-03-14,42
2021-03-21,42
2021-03-28,38
2021-04-04,42
2021-04-11,36
2021-04-18,38
2021-04-25,37
2021-05-02,38
2021-05-09,35
2021-05-16,37
2021-05-23,37
2021-05-30,40
2021-06-06,41
2021-06-13,46
2021-06-20,44
2021-06-27,43
2021-07-04,44
2021-07-11,48
2021-07-18,46
2021-07-25,47
2021-08-01,46
2021-08-08,45
2021-08-15,42
2021-08-22,43
2021-08-29,44
2021-09-05,40
2021-09-12,48
2021-09-19,47
2021-09-26,47
2021-10-03,45
2021-10-10,35
2021-10-17,44
2021-10-24,45
2021-10-31,31
2021-11-07,45
2021-11-14,48
2021-11-21,46
2021-11-28,45
2021-12-05,48
2021-12-12,51
2021-12-19,50
2021-12-26,43
2022-01-02,55
2022-01-09,49
2022-01-16,48
2022-01-23,48
2022-01-30,57
2022-02-06,53
2022-02-13,55
2022-02-20,56
2022-02-27,54
2022-03-06,55
2022-03-13,49
2022-03-20,59
2022-03-27,58
2022-04-03,61
2022-04-10,58
2022-04-17,58
2022-04-24,61
2022-05-01,55
2022-05-08,64
2022-05-15,58
2022-05-22,61
2022-05-29,58
2022-06-05,62
2022-06-12,58
2022-06-19,62
2022-06-26,58
2022-07-03,59
2022-07-10,60
2022-07-17,62
2022-07-24,63
2022-07-31,64
2022-08-07,59
2022-08-14,54
2022-08-21,64
2022-08-28,56
2022-09-04,58
2022-09-11,66
2022-09-18,67
2022-09-25,64
2022-10-02,50
2022-10-09,69
2022-10-16,62
2022-10-23,43
2022-10-30,64
2022-11-06,66
2022-11-13,73
2022-11-20,71
2022-11-27,67
2022-12-04,69
2022-12-11,72
2022-12-18,75
2022-12-25,65
2023-01-01,73
2023-01-08,60
2023-01-15,64
2023-01-22,62
2023-01-29,70
2023-02-05,68
2023-02-12,66
2023-02-19,72
2023-02-26,72
2023-03-05,62
2023-03-12,74
2023-03-19,70
2023-03-26,70
2023-04-02,68
2023-04-09,74
2023-04-16,74
2023-04-23,78
2023-04-30,69
2023-05-07,75
2023-05-14,73
2023-05-21,67
2023-05-28,71
2023-06-04,71
2023-06-11,66
2023-06-18,66
2023-06-25,71
2023-07-02,78
2023-07-09,78
2023-07-16,80
2023-07-23,81
2023-07-30,81
2023-08-06,81
2023-08-13,71
2023-08-20,77
2023-08-27,80
2023-09-03,79
2023-09-10,87
2023-09-17,80
2023-09-24,86
2023-10-01,86
2023-10-08,94
2023-10-15,95
2023-10-22,77
2023-10-29,94
2023-11-05,76
2023-11-12,67
2023-11-19,86
2023-11-26,96
2023-12-03,90
2023-12-10,91
2023-12-17,100
2023-12-24,91
2023-12-31,80
2024-01-07,81
