,Hospitals & Treatment Centers
2018-12-30,38
2019-01-06,21
2019-01-13,38
2019-01-20,46
2019-01-27,37
2019-02-03,37
2019-02-10,42
2019-02-17,46
2019-02-24,41
2019-03-03,32
2019-03-10,41
2019-03-17,37
2019-03-24,48
2019-03-31,36
2019-04-07,41
2019-04-14,40
2019-04-21,32
2019-04-28,42
2019-05-05,22
2019-05-12,25
2019-05-19,35
2019-05-26,32
2019-06-02,21
2019-06-09,39
2019-06-16,39
2019-06-23,49
2019-06-30,48
2019-07-07,62
2019-07-14,52
2019-07-21,43
2019-07-28,55
2019-08-04,52
2019-08-11,23
2019-08-18,44
2019-08-25,43
2019-09-01,33
2019-09-08,53
2019-09-15,28
2019-09-22,43
2019-09-29,40
2019-10-06,51
2019-10-13,40
2019-10-20,36
2019-10-27,41
2019-11-03,40
2019-11-10,52
2019-11-17,39
2019-11-24,50
2019-12-01,46
2019-12-08,53
2019-12-15,59
2019-12-22,48
2019-12-29,52
2020-01-05,51
2020-01-12,57
2020-01-19,51
2020-01-26,42
2020-02-02,61
2020-02-09,52
2020-02-16,46
2020-02-23,44
2020-03-01,41
2020-03-08,43
2020-03-15,36
2020-03-22,17
2020-03-29,24
2020-04-05,24
2020-04-12,20
2020-04-19,16
2020-04-26,25
2020-05-03,0
2020-05-10,12
2020-05-17,0
2020-05-24,17
2020-05-31,17
2020-06-07,13
2020-06-14,24
2020-06-21,25
2020-06-28,27
2020-07-05,23
2020-07-12,28
2020-07-19,14
2020-07-26,22
2020-08-02,20
2020-08-09,30
2020-08-16,23
2020-08-23,24
2020-08-30,15
2020-09-06,23
2020-09-13,30
2020-09-20,29
2020-09-27,29
2020-10-04,36
2020-10-11,39
2020-10-18,36
2020-10-25,30
2020-11-01,35
2020-11-08,37
2020-11-15,44
2020-11-22,37
2020-11-29,47
2020-12-06,37
2020-12-13,41
2020-12-20,35
2020-12-27,60
2021-01-03,56
2021-01-10,46
2021-01-17,49
2021-01-24,59
2021-01-31,44
2021-02-07,43
2021-02-14,35
2021-02-21,50
2021-02-28,56
2021-03-07,56
2021-03-14,61
2021-03-21,56
2021-03-28,51
2021-04-04,54
2021-04-11,36
2021-04-18,48
2021-04-25,50
2021-05-02,38
2021-05-09,45
2021-05-16,41
2021-05-23,46
2021-05-30,40
2021-06-06,49
2021-06-13,48
2021-06-20,54
2021-06-27,58
2021-07-04,57
2021-07-11,55
2021-07-18,51
2021-07-25,56
2021-08-01,70
2021-08-08,69
2021-08-15,55
2021-08-22,69
2021-08-29,65
2021-09-05,71
2021-09-12,47
2021-09-19,65
2021-09-26,59
2021-10-03,46
2021-10-10,58
2021-10-17,62
2021-10-24,72
2021-10-31,56
2021-11-07,61
2021-11-14,64
2021-11-21,76
2021-11-28,60
2021-12-05,58
2021-12-12,69
2021-12-19,78
2021-12-26,83
2022-01-02,87
2022-01-09,79
2022-01-16,59
2022-01-23,68
2022-01-30,54
2022-02-06,60
2022-02-13,54
2022-02-20,61
2022-02-27,69
2022-03-06,56
2022-03-13,74
2022-03-20,55
2022-03-27,41
2022-04-03,45
2022-04-10,49
2022-04-17,45
2022-04-24,42
2022-05-01,43
2022-05-08,50
2022-05-15,67
2022-05-22,73
2022-05-29,69
2022-06-05,71
2022-06-12,88
2022-06-19,55
2022-06-26,62
2022-07-03,61
2022-07-10,53
2022-07-17,66
2022-07-24,67
2022-07-31,50
2022-08-07,83
2022-08-14,67
2022-08-21,54
2022-08-28,53
2022-09-04,62
2022-09-11,73
2022-09-18,70
2022-09-25,67
2022-10-02,65
2022-10-09,74
2022-10-16,68
2022-10-23,73
2022-10-30,65
2022-11-06,68
2022-11-13,62
2022-11-20,62
2022-11-27,67
2022-12-04,65
2022-12-11,60
2022-12-18,70
2022-12-25,77
2023-01-01,65
2023-01-08,75
2023-01-15,65
2023-01-22,70
2023-01-29,80
2023-02-05,58
2023-02-12,65
2023-02-19,72
2023-02-26,70
2023-03-05,60
2023-03-12,64
2023-03-19,54
2023-03-26,57
2023-04-02,65
2023-04-09,55
2023-04-16,49
2023-04-23,51
2023-04-30,65
2023-05-07,56
2023-05-14,50
2023-05-21,75
2023-05-28,59
2023-06-04,69
2023-06-11,73
2023-06-18,71
2023-06-25,52
2023-07-02,78
2023-07-09,83
2023-07-16,62
2023-07-23,71
2023-07-30,75
2023-08-06,81
2023-08-13,100
2023-08-20,75
2023-08-27,72
2023-09-03,68
2023-09-10,78
2023-09-17,81
2023-09-24,62
2023-10-01,70
2023-10-08,87
2023-10-15,84
2023-10-22,67
2023-10-29,83
2023-11-05,70
2023-11-12,87
2023-11-19,89
2023-11-26,91
2023-12-03,82
2023-12-10,87
2023-12-17,95
2023-12-24,96
2023-12-31,73
2024-01-07,77
