,Development Tools
2018-12-30,49
2019-01-06,56
2019-01-13,46
2019-01-20,53
2019-01-27,56
2019-02-03,55
2019-02-10,58
2019-02-17,59
2019-02-24,57
2019-03-03,55
2019-03-10,56
2019-03-17,52
2019-03-24,56
2019-03-31,58
2019-04-07,54
2019-04-14,48
2019-04-21,53
2019-04-28,50
2019-05-05,58
2019-05-12,55
2019-05-19,54
2019-05-26,53
2019-06-02,51
2019-06-09,55
2019-06-16,57
2019-06-23,58
2019-06-30,58
2019-07-07,58
2019-07-14,63
2019-07-21,61
2019-07-28,60
2019-08-04,58
2019-08-11,46
2019-08-18,66
2019-08-25,62
2019-09-01,53
2019-09-08,61
2019-09-15,59
2019-09-22,65
2019-09-29,52
2019-10-06,49
2019-10-13,59
2019-10-20,51
2019-10-27,40
2019-11-03,56
2019-11-10,55
2019-11-17,60
2019-11-24,58
2019-12-01,57
2019-12-08,58
2019-12-15,58
2019-12-22,46
2019-12-29,48
2020-01-05,58
2020-01-12,50
2020-01-19,64
2020-01-26,61
2020-02-02,56
2020-02-09,59
2020-02-16,82
2020-02-23,65
2020-03-01,59
2020-03-08,52
2020-03-15,54
2020-03-22,44
2020-03-29,47
2020-04-05,81
2020-04-12,60
2020-04-19,62
2020-04-26,59
2020-05-03,59
2020-05-10,59
2020-05-17,62
2020-05-24,55
2020-05-31,59
2020-06-07,57
2020-06-14,58
2020-06-21,59
2020-06-28,61
2020-07-05,60
2020-07-12,60
2020-07-19,61
2020-07-26,60
2020-08-02,55
2020-08-09,58
2020-08-16,57
2020-08-23,58
2020-08-30,57
2020-09-06,57
2020-09-13,57
2020-09-20,57
2020-09-27,50
2020-10-04,52
2020-10-11,47
2020-10-18,45
2020-10-25,41
2020-11-01,41
2020-11-08,36
2020-11-15,37
2020-11-22,39
2020-11-29,39
2020-12-06,42
2020-12-13,48
2020-12-20,41
2020-12-27,38
2021-01-03,44
2021-01-10,39
2021-01-17,46
2021-01-24,41
2021-01-31,46
2021-02-07,47
2021-02-14,47
2021-02-21,47
2021-02-28,48
2021-03-07,48
2021-03-14,50
2021-03-21,49
2021-03-28,45
2021-04-04,48
2021-04-11,45
2021-04-18,46
2021-04-25,45
2021-05-02,49
2021-05-09,53
2021-05-16,53
2021-05-23,55
2021-05-30,54
2021-06-06,57
2021-06-13,54
2021-06-20,53
2021-06-27,54
2021-07-04,54
2021-07-11,53
2021-07-18,55
2021-07-25,54
2021-08-01,54
2021-08-08,55
2021-08-15,55
2021-08-22,51
2021-08-29,52
2021-09-05,50
2021-09-12,55
2021-09-19,55
2021-09-26,52
2021-10-03,54
2021-10-10,44
2021-10-17,53
2021-10-24,54
2021-10-31,34
2021-11-07,50
2021-11-14,54
2021-11-21,55
2021-11-28,52
2021-12-05,54
2021-12-12,57
2021-12-19,56
2021-12-26,53
2022-01-02,76
2022-01-09,74
2022-01-16,74
2022-01-23,73
2022-01-30,81
2022-02-06,84
2022-02-13,84
2022-02-20,83
2022-02-27,82
2022-03-06,83
2022-03-13,76
2022-03-20,82
2022-03-27,84
2022-04-03,82
2022-04-10,75
2022-04-17,85
2022-04-24,85
2022-05-01,81
2022-05-08,87
2022-05-15,88
2022-05-22,87
2022-05-29,83
2022-06-05,86
2022-06-12,89
2022-06-19,91
2022-06-26,89
2022-07-03,87
2022-07-10,91
2022-07-17,89
2022-07-24,89
2022-07-31,87
2022-08-07,81
2022-08-14,77
2022-08-21,88
2022-08-28,77
2022-09-04,78
2022-09-11,90
2022-09-18,92
2022-09-25,89
2022-10-02,71
2022-10-09,90
2022-10-16,78
2022-10-23,58
2022-10-30,79
2022-11-06,82
2022-11-13,90
2022-11-20,84
2022-11-27,81
2022-12-04,86
2022-12-11,91
2022-12-18,90
2022-12-25,84
2023-01-01,90
2023-01-08,91
2023-01-15,86
2023-01-22,83
2023-01-29,92
2023-02-05,94
2023-02-12,94
2023-02-19,92
2023-02-26,91
2023-03-05,82
2023-03-12,90
2023-03-19,89
2023-03-26,86
2023-04-02,86
2023-04-09,88
2023-04-16,88
2023-04-23,100
2023-04-30,81
2023-05-07,87
2023-05-14,86
2023-05-21,87
2023-05-28,84
2023-06-04,86
2023-06-11,85
2023-06-18,92
2023-06-25,86
2023-07-02,93
2023-07-09,95
2023-07-16,93
2023-07-23,95
2023-07-30,100
2023-08-06,96
2023-08-13,86
2023-08-20,96
2023-08-27,82
2023-09-03,88
2023-09-10,89
2023-09-17,80
2023-09-24,89
2023-10-01,86
2023-10-08,89
2023-10-15,85
2023-10-22,70
2023-10-29,83
2023-11-05,76
2023-11-12,57
2023-11-19,77
2023-11-26,76
2023-12-03,83
2023-12-10,86
2023-12-17,85
2023-12-24,76
2023-12-31,83
2024-01-07,85
