,Food & Drink
2018-12-30,82
2019-01-06,74
2019-01-13,71
2019-01-20,73
2019-01-27,71
2019-02-03,77
2019-02-10,73
2019-02-17,72
2019-02-24,67
2019-03-03,71
2019-03-10,69
2019-03-17,75
2019-03-24,69
2019-03-31,70
2019-04-07,67
2019-04-14,67
2019-04-21,70
2019-04-28,70
2019-05-05,70
2019-05-12,70
2019-05-19,70
2019-05-26,71
2019-06-02,75
2019-06-09,71
2019-06-16,75
2019-06-23,78
2019-06-30,73
2019-07-07,73
2019-07-14,74
2019-07-21,80
2019-07-28,77
2019-08-04,74
2019-08-11,72
2019-08-18,76
2019-08-25,74
2019-09-01,72
2019-09-08,76
2019-09-15,73
2019-09-22,65
2019-09-29,68
2019-10-06,68
2019-10-13,68
2019-10-20,70
2019-10-27,66
2019-11-03,71
2019-11-10,72
2019-11-17,73
2019-11-24,67
2019-12-01,69
2019-12-08,67
2019-12-15,68
2019-12-22,81
2019-12-29,80
2020-01-05,72
2020-01-12,67
2020-01-19,67
2020-01-26,67
2020-02-02,66
2020-02-09,66
2020-02-16,67
2020-02-23,63
2020-03-01,65
2020-03-08,64
2020-03-15,69
2020-03-22,80
2020-03-29,87
2020-04-05,92
2020-04-12,89
2020-04-19,80
2020-04-26,87
2020-05-03,85
2020-05-10,84
2020-05-17,82
2020-05-24,79
2020-05-31,80
2020-06-07,74
2020-06-14,75
2020-06-21,79
2020-06-28,78
2020-07-05,82
2020-07-12,81
2020-07-19,79
2020-07-26,80
2020-08-02,76
2020-08-09,80
2020-08-16,74
2020-08-23,73
2020-08-30,77
2020-09-06,77
2020-09-13,73
2020-09-20,73
2020-09-27,73
2020-10-04,78
2020-10-11,74
2020-10-18,75
2020-10-25,73
2020-11-01,70
2020-11-08,69
2020-11-15,71
2020-11-22,73
2020-11-29,77
2020-12-06,71
2020-12-13,75
2020-12-20,87
2020-12-27,88
2021-01-03,76
2021-01-10,73
2021-01-17,70
2021-01-24,70
2021-01-31,71
2021-02-07,76
2021-02-14,71
2021-02-21,70
2021-02-28,71
2021-03-07,67
2021-03-14,72
2021-03-21,74
2021-03-28,81
2021-04-04,74
2021-04-11,75
2021-04-18,76
2021-04-25,75
2021-05-02,76
2021-05-09,82
2021-05-16,85
2021-05-23,80
2021-05-30,83
2021-06-06,80
2021-06-13,82
2021-06-20,79
2021-06-27,78
2021-07-04,77
2021-07-11,78
2021-07-18,82
2021-07-25,77
2021-08-01,79
2021-08-08,75
2021-08-15,75
2021-08-22,74
2021-08-29,76
2021-09-05,72
2021-09-12,72
2021-09-19,71
2021-09-26,75
2021-10-03,66
2021-10-10,65
2021-10-17,71
2021-10-24,66
2021-10-31,64
2021-11-07,66
2021-11-14,67
2021-11-21,66
2021-11-28,68
2021-12-05,67
2021-12-12,66
2021-12-19,77
2021-12-26,83
2022-01-02,80
2022-01-09,74
2022-01-16,73
2022-01-23,76
2022-01-30,76
2022-02-06,81
2022-02-13,79
2022-02-20,83
2022-02-27,82
2022-03-06,73
2022-03-13,77
2022-03-20,79
2022-03-27,80
2022-04-03,79
2022-04-10,85
2022-04-17,80
2022-04-24,82
2022-05-01,79
2022-05-08,82
2022-05-15,83
2022-05-22,84
2022-05-29,85
2022-06-05,81
2022-06-12,84
2022-06-19,85
2022-06-26,87
2022-07-03,89
2022-07-10,90
2022-07-17,90
2022-07-24,86
2022-07-31,86
2022-08-07,86
2022-08-14,87
2022-08-21,85
2022-08-28,85
2022-09-04,78
2022-09-11,89
2022-09-18,87
2022-09-25,84
2022-10-02,83
2022-10-09,84
2022-10-16,84
2022-10-23,80
2022-10-30,83
2022-11-06,85
2022-11-13,86
2022-11-20,82
2022-11-27,85
2022-12-04,80
2022-12-11,91
2022-12-18,89
2022-12-25,100
2023-01-01,83
2023-01-08,83
2023-01-15,80
2023-01-22,83
2023-01-29,82
2023-02-05,86
2023-02-12,82
2023-02-19,86
2023-02-26,82
2023-03-05,82
2023-03-12,80
2023-03-19,83
2023-03-26,83
2023-04-02,86
2023-04-09,90
2023-04-16,84
2023-04-23,83
2023-04-30,82
2023-05-07,84
2023-05-14,86
2023-05-21,82
2023-05-28,84
2023-06-04,87
2023-06-11,84
2023-06-18,87
2023-06-25,96
2023-07-02,93
2023-07-09,91
2023-07-16,87
2023-07-23,87
2023-07-30,88
2023-08-06,88
2023-08-13,89
2023-08-20,84
2023-08-27,84
2023-09-03,85
2023-09-10,85
2023-09-17,87
2023-09-24,84
2023-10-01,87
2023-10-08,80
2023-10-15,83
2023-10-22,74
2023-10-29,79
2023-11-05,79
2023-11-12,79
2023-11-19,82
2023-11-26,82
2023-12-03,86
2023-12-10,90
2023-12-17,95
2023-12-24,99
2023-12-31,97
2024-01-07,90
