,Unemployment
2023-01-01,65
2023-01-08,58
2023-01-15,73
2023-01-22,72
2023-01-29,63
2023-02-05,90
2023-02-12,40
2023-02-19,80
2023-02-26,48
2023-03-05,66
2023-03-12,62
2023-03-19,56
2023-03-26,53
2023-04-02,53
2023-04-09,36
2023-04-16,56
2023-04-23,49
2023-04-30,36
2023-05-07,42
2023-05-14,53
2023-05-21,53
2023-05-28,46
2023-06-04,76
2023-06-11,72
2023-06-18,67
2023-06-25,80
2023-07-02,54
2023-07-09,65
2023-07-16,69
2023-07-23,76
2023-07-30,57
2023-08-06,60
2023-08-13,67
2023-08-20,66
2023-08-27,59
2023-09-03,62
2023-09-10,59
2023-09-17,56
2023-09-24,50
2023-10-01,50
2023-10-08,42
2023-10-15,69
2023-10-22,46
2023-10-29,69
2023-11-05,50
2023-11-12,100
2023-11-19,55
2023-11-26,58
2023-12-03,47
2023-12-10,30
2023-12-17,41
2023-12-24,0
2023-12-31,39
2024-01-07,61
2024-01-14,70
2024-01-21,53
2024-01-28,59
2024-02-04,40
2024-02-11,84
2024-02-18,61
2024-02-25,60
2024-03-03,61
2024-03-10,52
2024-03-17,65
2024-03-24,51
2024-03-31,59
2024-04-07,43
2024-04-14,50
2024-04-21,49
2024-04-28,49
2024-05-05,53
2024-05-12,72
2024-05-19,0
2024-05-26,42
2024-06-02,57
2024-06-09,42
2024-06-16,53
2024-06-23,44
2024-06-30,51
2024-07-07,57
2024-07-14,0
2024-07-21,45
2024-07-28,55
2024-08-04,44
2024-08-11,46
2024-08-18,48
2024-08-25,62
2024-09-01,55
2024-09-08,43
2024-09-15,44
2024-09-22,46
2024-09-29,61
2024-10-06,40
2024-10-13,37
2024-10-20,0
2024-10-27,44
2024-11-03,39
2024-11-10,62
2024-11-17,53
2024-11-24,70
2024-12-01,0
2024-12-08,0
2024-12-15,39
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,52
2025-01-19,46
2025-01-26,0
2025-02-02,40
2025-02-09,44
2025-02-16,48
2025-02-23,67
2025-03-02,32
2025-03-09,40
2025-03-16,31
2025-03-23,52
2025-03-30,57
2025-04-06,38
2025-04-13,0
2025-04-20,35
2025-04-27,60
2025-05-04,55
2025-05-11,61
2025-05-18,38
2025-05-25,44
2025-06-01,51
2025-06-08,38
2025-06-15,0
2025-06-22,35
2025-06-29,0
2025-07-06,68
2025-07-13,36
2025-07-20,0
2025-07-27,33
2025-08-03,82
2025-08-10,0
2025-08-17,38
2025-08-24,0
2025-08-31,0
2025-09-07,0
2025-09-14,40
2025-09-21,32
2025-09-28,0
2025-10-05,46
2025-10-12,0
2025-10-19,0
2025-10-26,0
2025-11-02,47
2025-11-09,56
2025-11-16,71
2025-11-23,44
2025-11-30,76
2025-12-07,60
2025-12-14,69
2025-12-21,0
2025-12-28,0
