,Aquaculture
2018-12-30,94
2019-01-06,80
2019-01-13,100
2019-01-20,53
2019-01-27,53
2019-02-03,47
2019-02-10,44
2019-02-17,45
2019-02-24,41
2019-03-03,42
2019-03-10,40
2019-03-17,43
2019-03-24,42
2019-03-31,40
2019-04-07,40
2019-04-14,39
2019-04-21,38
2019-04-28,37
2019-05-05,38
2019-05-12,39
2019-05-19,39
2019-05-26,42
2019-06-02,39
2019-06-09,38
2019-06-16,38
2019-06-23,41
2019-06-30,36
2019-07-07,41
2019-07-14,46
2019-07-21,47
2019-07-28,48
2019-08-04,39
2019-08-11,38
2019-08-18,45
2019-08-25,43
2019-09-01,44
2019-09-08,43
2019-09-15,43
2019-09-22,45
2019-09-29,41
2019-10-06,42
2019-10-13,41
2019-10-20,38
2019-10-27,34
2019-11-03,41
2019-11-10,41
2019-11-17,46
2019-11-24,43
2019-12-01,41
2019-12-08,56
2019-12-15,72
2019-12-22,73
2019-12-29,70
2020-01-05,59
2020-01-12,78
2020-01-19,45
2020-01-26,43
2020-02-02,39
2020-02-09,40
2020-02-16,40
2020-02-23,39
2020-03-01,37
2020-03-08,35
2020-03-15,33
2020-03-22,24
2020-03-29,28
2020-04-05,31
2020-04-12,35
2020-04-19,33
2020-04-26,36
2020-05-03,36
2020-05-10,43
2020-05-17,39
2020-05-24,38
2020-05-31,39
2020-06-07,42
2020-06-14,39
2020-06-21,39
2020-06-28,43
2020-07-05,43
2020-07-12,43
2020-07-19,46
2020-07-26,58
2020-08-02,48
2020-08-09,59
2020-08-16,49
2020-08-23,46
2020-08-30,45
2020-09-06,46
2020-09-13,43
2020-09-20,44
2020-09-27,44
2020-10-04,41
2020-10-11,44
2020-10-18,45
2020-10-25,40
2020-11-01,37
2020-11-08,39
2020-11-15,35
2020-11-22,40
2020-11-29,49
2020-12-06,38
2020-12-13,61
2020-12-20,73
2020-12-27,67
2021-01-03,55
2021-01-10,66
2021-01-17,44
2021-01-24,45
2021-01-31,43
2021-02-07,40
2021-02-14,43
2021-02-21,42
2021-02-28,38
2021-03-07,38
2021-03-14,42
2021-03-21,39
2021-03-28,35
2021-04-04,33
2021-04-11,36
2021-04-18,33
2021-04-25,29
2021-05-02,33
2021-05-09,35
2021-05-16,36
2021-05-23,38
2021-05-30,39
2021-06-06,45
2021-06-13,42
2021-06-20,41
2021-06-27,38
2021-07-04,42
2021-07-11,41
2021-07-18,41
2021-07-25,41
2021-08-01,42
2021-08-08,40
2021-08-15,42
2021-08-22,37
2021-08-29,40
2021-09-05,36
2021-09-12,36
2021-09-19,35
2021-09-26,36
2021-10-03,30
2021-10-10,32
2021-10-17,34
2021-10-24,32
2021-10-31,25
2021-11-07,26
2021-11-14,36
2021-11-21,31
2021-11-28,31
2021-12-05,33
2021-12-12,48
2021-12-19,66
2021-12-26,61
2022-01-02,58
2022-01-09,83
2022-01-16,45
2022-01-23,46
2022-01-30,46
2022-02-06,43
2022-02-13,47
2022-02-20,48
2022-02-27,49
2022-03-06,47
2022-03-13,45
2022-03-20,49
2022-03-27,44
2022-04-03,44
2022-04-10,43
2022-04-17,47
2022-04-24,42
2022-05-01,43
2022-05-08,44
2022-05-15,41
2022-05-22,42
2022-05-29,42
2022-06-05,43
2022-06-12,46
2022-06-19,45
2022-06-26,45
2022-07-03,44
2022-07-10,47
2022-07-17,47
2022-07-24,44
2022-07-31,47
2022-08-07,42
2022-08-14,44
2022-08-21,44
2022-08-28,44
2022-09-04,42
2022-09-11,44
2022-09-18,47
2022-09-25,41
2022-10-02,44
2022-10-09,43
2022-10-16,39
2022-10-23,42
2022-10-30,39
2022-11-06,42
2022-11-13,44
2022-11-20,44
2022-11-27,43
2022-12-04,55
2022-12-11,56
2022-12-18,73
2022-12-25,75
2023-01-01,66
2023-01-08,87
2023-01-15,66
2023-01-22,47
2023-01-29,49
2023-02-05,47
2023-02-12,46
2023-02-19,48
2023-02-26,44
2023-03-05,43
2023-03-12,46
2023-03-19,42
2023-03-26,40
2023-04-02,42
2023-04-09,47
2023-04-16,41
2023-04-23,41
2023-04-30,41
2023-05-07,38
2023-05-14,40
2023-05-21,40
2023-05-28,40
2023-06-04,41
2023-06-11,41
2023-06-18,41
2023-06-25,41
2023-07-02,45
2023-07-09,42
2023-07-16,46
2023-07-23,52
2023-07-30,47
2023-08-06,47
2023-08-13,44
2023-08-20,43
2023-08-27,43
2023-09-03,40
2023-09-10,42
2023-09-17,46
2023-09-24,42
2023-10-01,39
2023-10-08,41
2023-10-15,39
2023-10-22,40
2023-10-29,38
2023-11-05,36
2023-11-12,39
2023-11-19,42
2023-11-26,50
2023-12-03,41
2023-12-10,46
2023-12-17,63
2023-12-24,71
2023-12-31,68
2024-01-07,60
