,Business News
2018-12-30,66
2019-01-06,61
2019-01-13,60
2019-01-20,71
2019-01-27,69
2019-02-03,56
2019-02-10,71
2019-02-17,64
2019-02-24,64
2019-03-03,59
2019-03-10,57
2019-03-17,58
2019-03-24,53
2019-03-31,50
2019-04-07,44
2019-04-14,40
2019-04-21,58
2019-04-28,51
2019-05-05,62
2019-05-12,54
2019-05-19,49
2019-05-26,49
2019-06-02,45
2019-06-09,47
2019-06-16,43
2019-06-23,48
2019-06-30,48
2019-07-07,46
2019-07-14,43
2019-07-21,50
2019-07-28,59
2019-08-04,65
2019-08-11,51
2019-08-18,50
2019-08-25,48
2019-09-01,47
2019-09-08,45
2019-09-15,48
2019-09-22,46
2019-09-29,44
2019-10-06,44
2019-10-13,44
2019-10-20,44
2019-10-27,63
2019-11-03,48
2019-11-10,44
2019-11-17,59
2019-11-24,51
2019-12-01,47
2019-12-08,45
2019-12-15,53
2019-12-22,56
2019-12-29,61
2020-01-05,56
2020-01-12,52
2020-01-19,55
2020-01-26,51
2020-02-02,61
2020-02-09,64
2020-02-16,57
2020-02-23,52
2020-03-01,52
2020-03-08,58
2020-03-15,50
2020-03-22,43
2020-03-29,43
2020-04-05,49
2020-04-12,44
2020-04-19,52
2020-04-26,48
2020-05-03,46
2020-05-10,47
2020-05-17,49
2020-05-24,45
2020-05-31,49
2020-06-07,51
2020-06-14,51
2020-06-21,51
2020-06-28,56
2020-07-05,54
2020-07-12,52
2020-07-19,52
2020-07-26,52
2020-08-02,44
2020-08-09,53
2020-08-16,49
2020-08-23,48
2020-08-30,48
2020-09-06,49
2020-09-13,50
2020-09-20,49
2020-09-27,51
2020-10-04,50
2020-10-11,62
2020-10-18,55
2020-10-25,52
2020-11-01,48
2020-11-08,61
2020-11-15,53
2020-11-22,56
2020-11-29,52
2020-12-06,51
2020-12-13,53
2020-12-20,52
2020-12-27,47
2021-01-03,68
2021-01-10,64
2021-01-17,61
2021-01-24,57
2021-01-31,53
2021-02-07,52
2021-02-14,51
2021-02-21,48
2021-02-28,52
2021-03-07,55
2021-03-14,60
2021-03-21,53
2021-03-28,50
2021-04-04,51
2021-04-11,35
2021-04-18,48
2021-04-25,49
2021-05-02,59
2021-05-09,56
2021-05-16,54
2021-05-23,49
2021-05-30,55
2021-06-06,55
2021-06-13,54
2021-06-20,51
2021-06-27,59
2021-07-04,63
2021-07-11,64
2021-07-18,55
2021-07-25,57
2021-08-01,55
2021-08-08,55
2021-08-15,55
2021-08-22,54
2021-08-29,55
2021-09-05,56
2021-09-12,58
2021-09-19,55
2021-09-26,55
2021-10-03,60
2021-10-10,66
2021-10-17,59
2021-10-24,59
2021-10-31,59
2021-11-07,56
2021-11-14,56
2021-11-21,59
2021-11-28,60
2021-12-05,59
2021-12-12,60
2021-12-19,59
2021-12-26,60
2022-01-02,80
2022-01-09,79
2022-01-16,68
2022-01-23,79
2022-01-30,80
2022-02-06,99
2022-02-13,100
2022-02-20,86
2022-02-27,84
2022-03-06,87
2022-03-13,84
2022-03-20,81
2022-03-27,76
2022-04-03,75
2022-04-10,71
2022-04-17,81
2022-04-24,89
2022-05-01,84
2022-05-08,81
2022-05-15,78
2022-05-22,84
2022-05-29,79
2022-06-05,76
2022-06-12,74
2022-06-19,83
2022-06-26,84
2022-07-03,83
2022-07-10,81
2022-07-17,80
2022-07-24,77
2022-07-31,83
2022-08-07,80
2022-08-14,90
2022-08-21,81
2022-08-28,92
2022-09-04,77
2022-09-11,83
2022-09-18,77
2022-09-25,79
2022-10-02,75
2022-10-09,82
2022-10-16,83
2022-10-23,78
2022-10-30,79
2022-11-06,73
2022-11-13,83
2022-11-20,72
2022-11-27,67
2022-12-04,69
2022-12-11,88
2022-12-18,80
2022-12-25,79
2023-01-01,75
2023-01-08,75
2023-01-15,78
2023-01-22,83
2023-01-29,85
2023-02-05,78
2023-02-12,77
2023-02-19,77
2023-02-26,75
2023-03-05,75
2023-03-12,71
2023-03-19,81
2023-03-26,84
2023-04-02,82
2023-04-09,65
2023-04-16,76
2023-04-23,77
2023-04-30,74
2023-05-07,78
2023-05-14,75
2023-05-21,74
2023-05-28,74
2023-06-04,71
2023-06-11,77
2023-06-18,86
2023-06-25,81
2023-07-02,78
2023-07-09,82
2023-07-16,78
2023-07-23,78
2023-07-30,73
2023-08-06,81
2023-08-13,81
2023-08-20,78
2023-08-27,74
2023-09-03,73
2023-09-10,76
2023-09-17,76
2023-09-24,73
2023-10-01,72
2023-10-08,71
2023-10-15,86
2023-10-22,92
2023-10-29,77
2023-11-05,77
2023-11-12,82
2023-11-19,75
2023-11-26,77
2023-12-03,70
2023-12-10,77
2023-12-17,87
2023-12-24,81
2023-12-31,79
2024-01-07,77
