,Civil Engineering
2018-12-30,56
2019-01-06,70
2019-01-13,60
2019-01-20,65
2019-01-27,73
2019-02-03,72
2019-02-10,62
2019-02-17,72
2019-02-24,72
2019-03-03,65
2019-03-10,74
2019-03-17,61
2019-03-24,74
2019-03-31,70
2019-04-07,52
2019-04-14,60
2019-04-21,40
2019-04-28,38
2019-05-05,44
2019-05-12,38
2019-05-19,47
2019-05-26,50
2019-06-02,56
2019-06-09,69
2019-06-16,54
2019-06-23,74
2019-06-30,76
2019-07-07,72
2019-07-14,66
2019-07-21,66
2019-07-28,59
2019-08-04,69
2019-08-11,71
2019-08-18,69
2019-08-25,81
2019-09-01,81
2019-09-08,68
2019-09-15,61
2019-09-22,48
2019-09-29,51
2019-10-06,46
2019-10-13,56
2019-10-20,58
2019-10-27,64
2019-11-03,63
2019-11-10,47
2019-11-17,67
2019-11-24,71
2019-12-01,72
2019-12-08,58
2019-12-15,57
2019-12-22,57
2019-12-29,70
2020-01-05,61
2020-01-12,64
2020-01-19,75
2020-01-26,68
2020-02-02,70
2020-02-09,71
2020-02-16,78
2020-02-23,79
2020-03-01,77
2020-03-08,62
2020-03-15,35
2020-03-22,37
2020-03-29,26
2020-04-05,31
2020-04-12,31
2020-04-19,40
2020-04-26,33
2020-05-03,38
2020-05-10,46
2020-05-17,44
2020-05-24,49
2020-05-31,44
2020-06-07,48
2020-06-14,41
2020-06-21,52
2020-06-28,46
2020-07-05,57
2020-07-12,48
2020-07-19,51
2020-07-26,61
2020-08-02,45
2020-08-09,55
2020-08-16,60
2020-08-23,56
2020-08-30,62
2020-09-06,54
2020-09-13,64
2020-09-20,61
2020-09-27,49
2020-10-04,50
2020-10-11,56
2020-10-18,42
2020-10-25,33
2020-11-01,39
2020-11-08,43
2020-11-15,48
2020-11-22,41
2020-11-29,47
2020-12-06,46
2020-12-13,43
2020-12-20,46
2020-12-27,38
2021-01-03,36
2021-01-10,43
2021-01-17,46
2021-01-24,44
2021-01-31,64
2021-02-07,46
2021-02-14,51
2021-02-21,54
2021-02-28,54
2021-03-07,58
2021-03-14,54
2021-03-21,56
2021-03-28,55
2021-04-04,47
2021-04-11,48
2021-04-18,54
2021-04-25,43
2021-05-02,46
2021-05-09,33
2021-05-16,42
2021-05-23,40
2021-05-30,40
2021-06-06,50
2021-06-13,57
2021-06-20,49
2021-06-27,47
2021-07-04,58
2021-07-11,54
2021-07-18,56
2021-07-25,51
2021-08-01,53
2021-08-08,52
2021-08-15,51
2021-08-22,43
2021-08-29,39
2021-09-05,47
2021-09-12,58
2021-09-19,50
2021-09-26,50
2021-10-03,51
2021-10-10,48
2021-10-17,49
2021-10-24,41
2021-10-31,40
2021-11-07,49
2021-11-14,45
2021-11-21,56
2021-11-28,56
2021-12-05,48
2021-12-12,51
2021-12-19,55
2021-12-26,64
2022-01-02,100
2022-01-09,86
2022-01-16,84
2022-01-23,76
2022-01-30,88
2022-02-06,88
2022-02-13,88
2022-02-20,90
2022-02-27,89
2022-03-06,90
2022-03-13,92
2022-03-20,92
2022-03-27,71
2022-04-03,60
2022-04-10,46
2022-04-17,69
2022-04-24,67
2022-05-01,64
2022-05-08,59
2022-05-15,63
2022-05-22,77
2022-05-29,69
2022-06-05,59
2022-06-12,61
2022-06-19,77
2022-06-26,59
2022-07-03,58
2022-07-10,59
2022-07-17,71
2022-07-24,61
2022-07-31,72
2022-08-07,74
2022-08-14,75
2022-08-21,57
2022-08-28,63
2022-09-04,67
2022-09-11,82
2022-09-18,72
2022-09-25,81
2022-10-02,73
2022-10-09,73
2022-10-16,60
2022-10-23,68
2022-10-30,74
2022-11-06,62
2022-11-13,75
2022-11-20,73
2022-11-27,71
2022-12-04,67
2022-12-11,71
2022-12-18,70
2022-12-25,69
2023-01-01,59
2023-01-08,78
2023-01-15,64
2023-01-22,65
2023-01-29,65
2023-02-05,70
2023-02-12,75
2023-02-19,69
2023-02-26,67
2023-03-05,67
2023-03-12,72
2023-03-19,59
2023-03-26,62
2023-04-02,48
2023-04-09,49
2023-04-16,63
2023-04-23,68
2023-04-30,60
2023-05-07,69
2023-05-14,60
2023-05-21,76
2023-05-28,67
2023-06-04,68
2023-06-11,72
2023-06-18,74
2023-06-25,63
2023-07-02,76
2023-07-09,94
2023-07-16,81
2023-07-23,80
2023-07-30,86
2023-08-06,72
2023-08-13,94
2023-08-20,77
2023-08-27,69
2023-09-03,69
2023-09-10,75
2023-09-17,76
2023-09-24,68
2023-10-01,66
2023-10-08,71
2023-10-15,60
2023-10-22,58
2023-10-29,61
2023-11-05,64
2023-11-12,72
2023-11-19,55
2023-11-26,61
2023-12-03,72
2023-12-10,73
2023-12-17,65
2023-12-24,78
2023-12-31,64
2024-01-07,61
