,Agrochemicals
2018-12-30,49
2019-01-06,51
2019-01-13,46
2019-01-20,50
2019-01-27,53
2019-02-03,53
2019-02-10,57
2019-02-17,55
2019-02-24,51
2019-03-03,54
2019-03-10,58
2019-03-17,51
2019-03-24,56
2019-03-31,53
2019-04-07,50
2019-04-14,46
2019-04-21,49
2019-04-28,48
2019-05-05,51
2019-05-12,54
2019-05-19,51
2019-05-26,57
2019-06-02,59
2019-06-09,58
2019-06-16,57
2019-06-23,61
2019-06-30,61
2019-07-07,54
2019-07-14,61
2019-07-21,66
2019-07-28,65
2019-08-04,59
2019-08-11,58
2019-08-18,65
2019-08-25,65
2019-09-01,59
2019-09-08,63
2019-09-15,70
2019-09-22,67
2019-09-29,59
2019-10-06,53
2019-10-13,59
2019-10-20,54
2019-10-27,51
2019-11-03,58
2019-11-10,57
2019-11-17,60
2019-11-24,58
2019-12-01,56
2019-12-08,56
2019-12-15,55
2019-12-22,54
2019-12-29,56
2020-01-05,59
2020-01-12,55
2020-01-19,52
2020-01-26,57
2020-02-02,55
2020-02-09,57
2020-02-16,53
2020-02-23,56
2020-03-01,60
2020-03-08,56
2020-03-15,84
2020-03-22,60
2020-03-29,58
2020-04-05,68
2020-04-12,62
2020-04-19,65
2020-04-26,63
2020-05-03,73
2020-05-10,70
2020-05-17,71
2020-05-24,71
2020-05-31,71
2020-06-07,72
2020-06-14,70
2020-06-21,77
2020-06-28,75
2020-07-05,79
2020-07-12,80
2020-07-19,84
2020-07-26,85
2020-08-02,80
2020-08-09,83
2020-08-16,82
2020-08-23,80
2020-08-30,80
2020-09-06,78
2020-09-13,75
2020-09-20,73
2020-09-27,69
2020-10-04,71
2020-10-11,67
2020-10-18,63
2020-10-25,60
2020-11-01,59
2020-11-08,55
2020-11-15,54
2020-11-22,60
2020-11-29,61
2020-12-06,67
2020-12-13,67
2020-12-20,70
2020-12-27,71
2021-01-03,70
2021-01-10,64
2021-01-17,84
2021-01-24,70
2021-01-31,71
2021-02-07,67
2021-02-14,74
2021-02-21,76
2021-02-28,77
2021-03-07,64
2021-03-14,75
2021-03-21,66
2021-03-28,60
2021-04-04,64
2021-04-11,60
2021-04-18,62
2021-04-25,59
2021-05-02,59
2021-05-09,78
2021-05-16,79
2021-05-23,75
2021-05-30,74
2021-06-06,77
2021-06-13,78
2021-06-20,89
2021-06-27,82
2021-07-04,83
2021-07-11,78
2021-07-18,82
2021-07-25,82
2021-08-01,82
2021-08-08,85
2021-08-15,75
2021-08-22,72
2021-08-29,74
2021-09-05,67
2021-09-12,69
2021-09-19,67
2021-09-26,68
2021-10-03,68
2021-10-10,57
2021-10-17,66
2021-10-24,67
2021-10-31,49
2021-11-07,62
2021-11-14,61
2021-11-21,62
2021-11-28,62
2021-12-05,62
2021-12-12,66
2021-12-19,67
2021-12-26,68
2022-01-02,78
2022-01-09,66
2022-01-16,67
2022-01-23,73
2022-01-30,74
2022-02-06,69
2022-02-13,78
2022-02-20,78
2022-02-27,78
2022-03-06,79
2022-03-13,77
2022-03-20,82
2022-03-27,79
2022-04-03,81
2022-04-10,69
2022-04-17,74
2022-04-24,76
2022-05-01,72
2022-05-08,75
2022-05-15,90
2022-05-22,82
2022-05-29,82
2022-06-05,75
2022-06-12,77
2022-06-19,81
2022-06-26,78
2022-07-03,83
2022-07-10,88
2022-07-17,89
2022-07-24,90
2022-07-31,94
2022-08-07,84
2022-08-14,81
2022-08-21,88
2022-08-28,84
2022-09-04,84
2022-09-11,83
2022-09-18,86
2022-09-25,78
2022-10-02,70
2022-10-09,81
2022-10-16,84
2022-10-23,64
2022-10-30,81
2022-11-06,78
2022-11-13,79
2022-11-20,78
2022-11-27,80
2022-12-04,80
2022-12-11,84
2022-12-18,82
2022-12-25,83
2023-01-01,78
2023-01-08,75
2023-01-15,74
2023-01-22,70
2023-01-29,80
2023-02-05,74
2023-02-12,76
2023-02-19,77
2023-02-26,82
2023-03-05,66
2023-03-12,74
2023-03-19,75
2023-03-26,69
2023-04-02,67
2023-04-09,68
2023-04-16,70
2023-04-23,74
2023-04-30,71
2023-05-07,70
2023-05-14,71
2023-05-21,77
2023-05-28,79
2023-06-04,77
2023-06-11,78
2023-06-18,88
2023-06-25,80
2023-07-02,88
2023-07-09,88
2023-07-16,90
2023-07-23,92
2023-07-30,97
2023-08-06,100
2023-08-13,91
2023-08-20,92
2023-08-27,88
2023-09-03,93
2023-09-10,92
2023-09-17,82
2023-09-24,89
2023-10-01,86
2023-10-08,85
2023-10-15,81
2023-10-22,72
2023-10-29,82
2023-11-05,76
2023-11-12,69
2023-11-19,81
2023-11-26,81
2023-12-03,80
2023-12-10,88
2023-12-17,87
2023-12-24,95
2023-12-31,89
2024-01-07,83
