,Apparel
2018-12-30,66
2019-01-06,64
2019-01-13,60
2019-01-20,63
2019-01-27,59
2019-02-03,61
2019-02-10,59
2019-02-17,58
2019-02-24,54
2019-03-03,59
2019-03-10,58
2019-03-17,59
2019-03-24,57
2019-03-31,62
2019-04-07,60
2019-04-14,57
2019-04-21,56
2019-04-28,62
2019-05-05,60
2019-05-12,57
2019-05-19,58
2019-05-26,58
2019-06-02,55
2019-06-09,56
2019-06-16,53
2019-06-23,56
2019-06-30,52
2019-07-07,54
2019-07-14,55
2019-07-21,54
2019-07-28,60
2019-08-04,58
2019-08-11,54
2019-08-18,58
2019-08-25,58
2019-09-01,54
2019-09-08,62
2019-09-15,65
2019-09-22,65
2019-09-29,72
2019-10-06,63
2019-10-13,68
2019-10-20,66
2019-10-27,60
2019-11-03,73
2019-11-10,75
2019-11-17,66
2019-11-24,62
2019-12-01,62
2019-12-08,61
2019-12-15,64
2019-12-22,74
2019-12-29,67
2020-01-05,63
2020-01-12,58
2020-01-19,63
2020-01-26,60
2020-02-02,60
2020-02-09,59
2020-02-16,57
2020-02-23,53
2020-03-01,54
2020-03-08,52
2020-03-15,51
2020-03-22,32
2020-03-29,29
2020-04-05,31
2020-04-12,28
2020-04-19,28
2020-04-26,30
2020-05-03,30
2020-05-10,32
2020-05-17,37
2020-05-24,40
2020-05-31,44
2020-06-07,46
2020-06-14,44
2020-06-21,51
2020-06-28,50
2020-07-05,51
2020-07-12,51
2020-07-19,55
2020-07-26,60
2020-08-02,59
2020-08-09,60
2020-08-16,57
2020-08-23,56
2020-08-30,56
2020-09-06,57
2020-09-13,60
2020-09-20,70
2020-09-27,69
2020-10-04,81
2020-10-11,85
2020-10-18,93
2020-10-25,98
2020-11-01,100
2020-11-08,90
2020-11-15,81
2020-11-22,76
2020-11-29,80
2020-12-06,78
2020-12-13,71
2020-12-20,77
2020-12-27,75
2021-01-03,70
2021-01-10,66
2021-01-17,68
2021-01-24,65
2021-01-31,69
2021-02-07,67
2021-02-14,68
2021-02-21,65
2021-02-28,67
2021-03-07,69
2021-03-14,65
2021-03-21,66
2021-03-28,65
2021-04-04,63
2021-04-11,82
2021-04-18,61
2021-04-25,62
2021-05-02,64
2021-05-09,51
2021-05-16,52
2021-05-23,52
2021-05-30,62
2021-06-06,57
2021-06-13,58
2021-06-20,64
2021-06-27,65
2021-07-04,65
2021-07-11,66
2021-07-18,68
2021-07-25,66
2021-08-01,64
2021-08-08,69
2021-08-15,72
2021-08-22,66
2021-08-29,63
2021-09-05,62
2021-09-12,66
2021-09-19,73
2021-09-26,72
2021-10-03,87
2021-10-10,65
2021-10-17,68
2021-10-24,70
2021-10-31,65
2021-11-07,71
2021-11-14,76
2021-11-21,69
2021-11-28,68
2021-12-05,70
2021-12-12,70
2021-12-19,76
2021-12-26,69
2022-01-02,68
2022-01-09,65
2022-01-16,63
2022-01-23,69
2022-01-30,73
2022-02-06,66
2022-02-13,74
2022-02-20,74
2022-02-27,73
2022-03-06,71
2022-03-13,70
2022-03-20,73
2022-03-27,77
2022-04-03,75
2022-04-10,85
2022-04-17,84
2022-04-24,86
2022-05-01,87
2022-05-08,82
2022-05-15,79
2022-05-22,82
2022-05-29,74
2022-06-05,75
2022-06-12,75
2022-06-19,78
2022-06-26,75
2022-07-03,81
2022-07-10,77
2022-07-17,78
2022-07-24,75
2022-07-31,81
2022-08-07,83
2022-08-14,80
2022-08-21,79
2022-08-28,81
2022-09-04,74
2022-09-11,82
2022-09-18,87
2022-09-25,87
2022-10-02,83
2022-10-09,91
2022-10-16,91
2022-10-23,82
2022-10-30,82
2022-11-06,88
2022-11-13,88
2022-11-20,86
2022-11-27,88
2022-12-04,86
2022-12-11,91
2022-12-18,91
2022-12-25,96
2023-01-01,89
2023-01-08,88
2023-01-15,83
2023-01-22,87
2023-01-29,86
2023-02-05,86
2023-02-12,86
2023-02-19,83
2023-02-26,79
2023-03-05,75
2023-03-12,78
2023-03-19,80
2023-03-26,79
2023-04-02,91
2023-04-09,87
2023-04-16,88
2023-04-23,87
2023-04-30,86
2023-05-07,82
2023-05-14,87
2023-05-21,87
2023-05-28,85
2023-06-04,82
2023-06-11,83
2023-06-18,82
2023-06-25,84
2023-07-02,85
2023-07-09,81
2023-07-16,85
2023-07-23,82
2023-07-30,83
2023-08-06,84
2023-08-13,84
2023-08-20,83
2023-08-27,81
2023-09-03,79
2023-09-10,81
2023-09-17,82
2023-09-24,85
2023-10-01,92
2023-10-08,91
2023-10-15,87
2023-10-22,83
2023-10-29,86
2023-11-05,93
2023-11-12,79
2023-11-19,90
2023-11-26,90
2023-12-03,90
2023-12-10,91
2023-12-17,93
2023-12-24,100
2023-12-31,89
2024-01-07,90
