,Investment
2018-12-30,36
2019-01-06,45
2019-01-13,45
2019-01-20,48
2019-01-27,37
2019-02-03,48
2019-02-10,45
2019-02-17,42
2019-02-24,41
2019-03-03,41
2019-03-10,41
2019-03-17,47
2019-03-24,45
2019-03-31,44
2019-04-07,36
2019-04-14,35
2019-04-21,22
2019-04-28,38
2019-05-05,38
2019-05-12,35
2019-05-19,40
2019-05-26,46
2019-06-02,42
2019-06-09,46
2019-06-16,46
2019-06-23,38
2019-06-30,49
2019-07-07,45
2019-07-14,40
2019-07-21,47
2019-07-28,47
2019-08-04,43
2019-08-11,46
2019-08-18,44
2019-08-25,39
2019-09-01,37
2019-09-08,49
2019-09-15,46
2019-09-22,44
2019-09-29,40
2019-10-06,41
2019-10-13,46
2019-10-20,53
2019-10-27,43
2019-11-03,48
2019-11-10,33
2019-11-17,37
2019-11-24,49
2019-12-01,51
2019-12-08,41
2019-12-15,41
2019-12-22,38
2019-12-29,46
2020-01-05,56
2020-01-12,53
2020-01-19,53
2020-01-26,44
2020-02-02,45
2020-02-09,49
2020-02-16,41
2020-02-23,47
2020-03-01,42
2020-03-08,42
2020-03-15,33
2020-03-22,26
2020-03-29,27
2020-04-05,33
2020-04-12,38
2020-04-19,33
2020-04-26,35
2020-05-03,40
2020-05-10,44
2020-05-17,45
2020-05-24,48
2020-05-31,48
2020-06-07,47
2020-06-14,52
2020-06-21,45
2020-06-28,43
2020-07-05,46
2020-07-12,43
2020-07-19,47
2020-07-26,43
2020-08-02,37
2020-08-09,52
2020-08-16,45
2020-08-23,42
2020-08-30,43
2020-09-06,53
2020-09-13,55
2020-09-20,60
2020-09-27,45
2020-10-04,37
2020-10-11,52
2020-10-18,43
2020-10-25,38
2020-11-01,42
2020-11-08,51
2020-11-15,54
2020-11-22,53
2020-11-29,43
2020-12-06,45
2020-12-13,54
2020-12-20,48
2020-12-27,43
2021-01-03,51
2021-01-10,61
2021-01-17,62
2021-01-24,56
2021-01-31,60
2021-02-07,57
2021-02-14,58
2021-02-21,49
2021-02-28,42
2021-03-07,48
2021-03-14,53
2021-03-21,51
2021-03-28,54
2021-04-04,56
2021-04-11,45
2021-04-18,64
2021-04-25,48
2021-05-02,52
2021-05-09,50
2021-05-16,58
2021-05-23,51
2021-05-30,59
2021-06-06,67
2021-06-13,62
2021-06-20,58
2021-06-27,54
2021-07-04,50
2021-07-11,52
2021-07-18,54
2021-07-25,52
2021-08-01,50
2021-08-08,55
2021-08-15,54
2021-08-22,64
2021-08-29,52
2021-09-05,58
2021-09-12,65
2021-09-19,51
2021-09-26,62
2021-10-03,53
2021-10-10,48
2021-10-17,43
2021-10-24,59
2021-10-31,49
2021-11-07,51
2021-11-14,59
2021-11-21,52
2021-11-28,55
2021-12-05,52
2021-12-12,48
2021-12-19,43
2021-12-26,51
2022-01-02,64
2022-01-09,60
2022-01-16,60
2022-01-23,69
2022-01-30,65
2022-02-06,66
2022-02-13,62
2022-02-20,59
2022-02-27,56
2022-03-06,60
2022-03-13,70
2022-03-20,57
2022-03-27,61
2022-04-03,54
2022-04-10,46
2022-04-17,62
2022-04-24,68
2022-05-01,61
2022-05-08,45
2022-05-15,56
2022-05-22,56
2022-05-29,61
2022-06-05,51
2022-06-12,52
2022-06-19,52
2022-06-26,55
2022-07-03,50
2022-07-10,49
2022-07-17,45
2022-07-24,52
2022-07-31,60
2022-08-07,52
2022-08-14,63
2022-08-21,54
2022-08-28,50
2022-09-04,66
2022-09-11,83
2022-09-18,59
2022-09-25,52
2022-10-02,58
2022-10-09,58
2022-10-16,53
2022-10-23,52
2022-10-30,60
2022-11-06,53
2022-11-13,57
2022-11-20,45
2022-11-27,45
2022-12-04,48
2022-12-11,46
2022-12-18,53
2022-12-25,38
2023-01-01,50
2023-01-08,50
2023-01-15,48
2023-01-22,56
2023-01-29,52
2023-02-05,67
2023-02-12,66
2023-02-19,63
2023-02-26,63
2023-03-05,67
2023-03-12,74
2023-03-19,73
2023-03-26,64
2023-04-02,60
2023-04-09,49
2023-04-16,58
2023-04-23,60
2023-04-30,61
2023-05-07,71
2023-05-14,71
2023-05-21,69
2023-05-28,60
2023-06-04,62
2023-06-11,73
2023-06-18,62
2023-06-25,54
2023-07-02,62
2023-07-09,72
2023-07-16,72
2023-07-23,67
2023-07-30,74
2023-08-06,100
2023-08-13,93
2023-08-20,70
2023-08-27,57
2023-09-03,58
2023-09-10,51
2023-09-17,57
2023-09-24,56
2023-10-01,58
2023-10-08,53
2023-10-15,52
2023-10-22,49
2023-10-29,53
2023-11-05,51
2023-11-12,63
2023-11-19,56
2023-11-26,63
2023-12-03,59
2023-12-10,50
2023-12-17,48
2023-12-24,50
2023-12-31,55
2024-01-07,58
