,Financial Planning
2018-12-30,47
2019-01-06,49
2019-01-13,46
2019-01-20,50
2019-01-27,47
2019-02-03,45
2019-02-10,46
2019-02-17,48
2019-02-24,45
2019-03-03,43
2019-03-10,42
2019-03-17,41
2019-03-24,50
2019-03-31,45
2019-04-07,45
2019-04-14,42
2019-04-21,44
2019-04-28,46
2019-05-05,46
2019-05-12,48
2019-05-19,53
2019-05-26,56
2019-06-02,47
2019-06-09,51
2019-06-16,48
2019-06-23,47
2019-06-30,43
2019-07-07,46
2019-07-14,57
2019-07-21,51
2019-07-28,47
2019-08-04,45
2019-08-11,41
2019-08-18,48
2019-08-25,57
2019-09-01,46
2019-09-08,47
2019-09-15,50
2019-09-22,57
2019-09-29,45
2019-10-06,38
2019-10-13,55
2019-10-20,40
2019-10-27,36
2019-11-03,44
2019-11-10,51
2019-11-17,54
2019-11-24,46
2019-12-01,46
2019-12-08,47
2019-12-15,52
2019-12-22,49
2019-12-29,45
2020-01-05,48
2020-01-12,44
2020-01-19,51
2020-01-26,49
2020-02-02,46
2020-02-09,46
2020-02-16,45
2020-02-23,46
2020-03-01,47
2020-03-08,41
2020-03-15,41
2020-03-22,23
2020-03-29,36
2020-04-05,39
2020-04-12,35
2020-04-19,31
2020-04-26,30
2020-05-03,28
2020-05-10,36
2020-05-17,34
2020-05-24,34
2020-05-31,37
2020-06-07,39
2020-06-14,46
2020-06-21,46
2020-06-28,45
2020-07-05,47
2020-07-12,48
2020-07-19,48
2020-07-26,46
2020-08-02,51
2020-08-09,54
2020-08-16,52
2020-08-23,50
2020-08-30,51
2020-09-06,55
2020-09-13,53
2020-09-20,51
2020-09-27,47
2020-10-04,47
2020-10-11,52
2020-10-18,49
2020-10-25,42
2020-11-01,44
2020-11-08,37
2020-11-15,40
2020-11-22,43
2020-11-29,41
2020-12-06,44
2020-12-13,49
2020-12-20,52
2020-12-27,49
2021-01-03,53
2021-01-10,46
2021-01-17,48
2021-01-24,40
2021-01-31,49
2021-02-07,54
2021-02-14,51
2021-02-21,44
2021-02-28,46
2021-03-07,46
2021-03-14,47
2021-03-21,44
2021-03-28,42
2021-04-04,58
2021-04-11,50
2021-04-18,46
2021-04-25,39
2021-05-02,37
2021-05-09,37
2021-05-16,35
2021-05-23,38
2021-05-30,54
2021-06-06,58
2021-06-13,61
2021-06-20,52
2021-06-27,49
2021-07-04,47
2021-07-11,54
2021-07-18,53
2021-07-25,54
2021-08-01,53
2021-08-08,52
2021-08-15,47
2021-08-22,48
2021-08-29,49
2021-09-05,47
2021-09-12,49
2021-09-19,43
2021-09-26,46
2021-10-03,42
2021-10-10,35
2021-10-17,43
2021-10-24,40
2021-10-31,29
2021-11-07,44
2021-11-14,46
2021-11-21,47
2021-11-28,53
2021-12-05,53
2021-12-12,54
2021-12-19,59
2021-12-26,100
2022-01-02,81
2022-01-09,81
2022-01-16,73
2022-01-23,69
2022-01-30,66
2022-02-06,58
2022-02-13,62
2022-02-20,67
2022-02-27,64
2022-03-06,63
2022-03-13,55
2022-03-20,63
2022-03-27,52
2022-04-03,50
2022-04-10,44
2022-04-17,46
2022-04-24,48
2022-05-01,43
2022-05-08,47
2022-05-15,45
2022-05-22,52
2022-05-29,49
2022-06-05,48
2022-06-12,49
2022-06-19,55
2022-06-26,56
2022-07-03,52
2022-07-10,53
2022-07-17,55
2022-07-24,59
2022-07-31,54
2022-08-07,51
2022-08-14,46
2022-08-21,56
2022-08-28,47
2022-09-04,48
2022-09-11,50
2022-09-18,56
2022-09-25,50
2022-10-02,43
2022-10-09,51
2022-10-16,45
2022-10-23,35
2022-10-30,55
2022-11-06,57
2022-11-13,59
2022-11-20,66
2022-11-27,51
2022-12-04,49
2022-12-11,52
2022-12-18,53
2022-12-25,52
2023-01-01,53
2023-01-08,69
2023-01-15,59
2023-01-22,48
2023-01-29,53
2023-02-05,55
2023-02-12,54
2023-02-19,59
2023-02-26,68
2023-03-05,49
2023-03-12,56
2023-03-19,52
2023-03-26,57
2023-04-02,58
2023-04-09,55
2023-04-16,65
2023-04-23,62
2023-04-30,50
2023-05-07,46
2023-05-14,45
2023-05-21,43
2023-05-28,45
2023-06-04,44
2023-06-11,48
2023-06-18,48
2023-06-25,48
2023-07-02,50
2023-07-09,50
2023-07-16,53
2023-07-23,54
2023-07-30,53
2023-08-06,54
2023-08-13,51
2023-08-20,49
2023-08-27,42
2023-09-03,45
2023-09-10,44
2023-09-17,42
2023-09-24,45
2023-10-01,46
2023-10-08,47
2023-10-15,45
2023-10-22,38
2023-10-29,37
2023-11-05,38
2023-11-12,34
2023-11-19,39
2023-11-26,42
2023-12-03,40
2023-12-10,43
2023-12-17,49
2023-12-24,46
2023-12-31,44
2024-01-07,45
