,Food Production
2018-12-30,51
2019-01-06,56
2019-01-13,53
2019-01-20,53
2019-01-27,59
2019-02-03,50
2019-02-10,63
2019-02-17,59
2019-02-24,54
2019-03-03,53
2019-03-10,57
2019-03-17,57
2019-03-24,51
2019-03-31,51
2019-04-07,33
2019-04-14,36
2019-04-21,33
2019-04-28,42
2019-05-05,43
2019-05-12,37
2019-05-19,50
2019-05-26,47
2019-06-02,57
2019-06-09,52
2019-06-16,62
2019-06-23,56
2019-06-30,49
2019-07-07,61
2019-07-14,49
2019-07-21,55
2019-07-28,54
2019-08-04,65
2019-08-11,54
2019-08-18,48
2019-08-25,47
2019-09-01,56
2019-09-08,47
2019-09-15,46
2019-09-22,52
2019-09-29,46
2019-10-06,43
2019-10-13,46
2019-10-20,56
2019-10-27,47
2019-11-03,42
2019-11-10,39
2019-11-17,45
2019-11-24,48
2019-12-01,53
2019-12-08,50
2019-12-15,50
2019-12-22,45
2019-12-29,50
2020-01-05,62
2020-01-12,56
2020-01-19,61
2020-01-26,50
2020-02-02,51
2020-02-09,58
2020-02-16,50
2020-02-23,47
2020-03-01,47
2020-03-08,57
2020-03-15,30
2020-03-22,40
2020-03-29,72
2020-04-05,82
2020-04-12,63
2020-04-19,56
2020-04-26,59
2020-05-03,58
2020-05-10,57
2020-05-17,52
2020-05-24,51
2020-05-31,46
2020-06-07,57
2020-06-14,53
2020-06-21,61
2020-06-28,51
2020-07-05,59
2020-07-12,61
2020-07-19,62
2020-07-26,59
2020-08-02,59
2020-08-09,54
2020-08-16,55
2020-08-23,52
2020-08-30,50
2020-09-06,54
2020-09-13,62
2020-09-20,52
2020-09-27,55
2020-10-04,54
2020-10-11,58
2020-10-18,52
2020-10-25,53
2020-11-01,52
2020-11-08,46
2020-11-15,58
2020-11-22,65
2020-11-29,55
2020-12-06,53
2020-12-13,62
2020-12-20,58
2020-12-27,54
2021-01-03,58
2021-01-10,66
2021-01-17,62
2021-01-24,60
2021-01-31,52
2021-02-07,62
2021-02-14,69
2021-02-21,51
2021-02-28,55
2021-03-07,58
2021-03-14,66
2021-03-21,72
2021-03-28,64
2021-04-04,69
2021-04-11,46
2021-04-18,73
2021-04-25,59
2021-05-02,60
2021-05-09,57
2021-05-16,61
2021-05-23,56
2021-05-30,68
2021-06-06,62
2021-06-13,75
2021-06-20,63
2021-06-27,76
2021-07-04,71
2021-07-11,68
2021-07-18,60
2021-07-25,60
2021-08-01,53
2021-08-08,61
2021-08-15,60
2021-08-22,74
2021-08-29,63
2021-09-05,71
2021-09-12,71
2021-09-19,61
2021-09-26,62
2021-10-03,64
2021-10-10,60
2021-10-17,55
2021-10-24,58
2021-10-31,57
2021-11-07,49
2021-11-14,55
2021-11-21,51
2021-11-28,55
2021-12-05,59
2021-12-12,57
2021-12-19,49
2021-12-26,53
2022-01-02,69
2022-01-09,83
2022-01-16,62
2022-01-23,84
2022-01-30,79
2022-02-06,86
2022-02-13,100
2022-02-20,92
2022-02-27,90
2022-03-06,83
2022-03-13,87
2022-03-20,91
2022-03-27,77
2022-04-03,57
2022-04-10,47
2022-04-17,70
2022-04-24,67
2022-05-01,76
2022-05-08,70
2022-05-15,69
2022-05-22,79
2022-05-29,84
2022-06-05,72
2022-06-12,83
2022-06-19,81
2022-06-26,79
2022-07-03,74
2022-07-10,71
2022-07-17,82
2022-07-24,72
2022-07-31,78
2022-08-07,74
2022-08-14,84
2022-08-21,71
2022-08-28,85
2022-09-04,77
2022-09-11,78
2022-09-18,92
2022-09-25,77
2022-10-02,81
2022-10-09,77
2022-10-16,81
2022-10-23,81
2022-10-30,80
2022-11-06,82
2022-11-13,89
2022-11-20,86
2022-11-27,76
2022-12-04,84
2022-12-11,83
2022-12-18,76
2022-12-25,79
2023-01-01,71
2023-01-08,79
2023-01-15,83
2023-01-22,83
2023-01-29,81
2023-02-05,93
2023-02-12,89
2023-02-19,90
2023-02-26,84
2023-03-05,78
2023-03-12,81
2023-03-19,76
2023-03-26,77
2023-04-02,79
2023-04-09,55
2023-04-16,68
2023-04-23,75
2023-04-30,77
2023-05-07,85
2023-05-14,80
2023-05-21,75
2023-05-28,78
2023-06-04,84
2023-06-11,85
2023-06-18,91
2023-06-25,81
2023-07-02,77
2023-07-09,92
2023-07-16,91
2023-07-23,92
2023-07-30,82
2023-08-06,83
2023-08-13,76
2023-08-20,76
2023-08-27,74
2023-09-03,77
2023-09-10,83
2023-09-17,83
2023-09-24,78
2023-10-01,84
2023-10-08,89
2023-10-15,83
2023-10-22,73
2023-10-29,86
2023-11-05,86
2023-11-12,83
2023-11-19,93
2023-11-26,94
2023-12-03,92
2023-12-10,95
2023-12-17,88
2023-12-24,78
2023-12-31,94
2024-01-07,85
