,Developer Jobs
2018-12-30,65
2019-01-06,68
2019-01-13,65
2019-01-20,73
2019-01-27,78
2019-02-03,71
2019-02-10,68
2019-02-17,70
2019-02-24,68
2019-03-03,71
2019-03-10,70
2019-03-17,69
2019-03-24,74
2019-03-31,68
2019-04-07,68
2019-04-14,60
2019-04-21,68
2019-04-28,66
2019-05-05,73
2019-05-12,74
2019-05-19,71
2019-05-26,77
2019-06-02,75
2019-06-09,78
2019-06-16,76
2019-06-23,82
2019-06-30,79
2019-07-07,77
2019-07-14,80
2019-07-21,82
2019-07-28,82
2019-08-04,67
2019-08-11,62
2019-08-18,81
2019-08-25,76
2019-09-01,66
2019-09-08,67
2019-09-15,75
2019-09-22,79
2019-09-29,68
2019-10-06,58
2019-10-13,70
2019-10-20,65
2019-10-27,60
2019-11-03,66
2019-11-10,69
2019-11-17,72
2019-11-24,66
2019-12-01,65
2019-12-08,65
2019-12-15,66
2019-12-22,62
2019-12-29,59
2020-01-05,65
2020-01-12,61
2020-01-19,71
2020-01-26,68
2020-02-02,65
2020-02-09,72
2020-02-16,65
2020-02-23,67
2020-03-01,65
2020-03-08,56
2020-03-15,50
2020-03-22,28
2020-03-29,30
2020-04-05,33
2020-04-12,33
2020-04-19,34
2020-04-26,35
2020-05-03,38
2020-05-10,43
2020-05-17,44
2020-05-24,45
2020-05-31,50
2020-06-07,51
2020-06-14,50
2020-06-21,54
2020-06-28,49
2020-07-05,52
2020-07-12,53
2020-07-19,56
2020-07-26,53
2020-08-02,52
2020-08-09,55
2020-08-16,57
2020-08-23,50
2020-08-30,51
2020-09-06,55
2020-09-13,55
2020-09-20,60
2020-09-27,54
2020-10-04,56
2020-10-11,56
2020-10-18,51
2020-10-25,50
2020-11-01,51
2020-11-08,50
2020-11-15,48
2020-11-22,51
2020-11-29,57
2020-12-06,53
2020-12-13,57
2020-12-20,56
2020-12-27,56
2021-01-03,59
2021-01-10,52
2021-01-17,56
2021-01-24,57
2021-01-31,60
2021-02-07,57
2021-02-14,62
2021-02-21,57
2021-02-28,61
2021-03-07,57
2021-03-14,61
2021-03-21,59
2021-03-28,53
2021-04-04,54
2021-04-11,55
2021-04-18,56
2021-04-25,48
2021-05-02,53
2021-05-09,49
2021-05-16,50
2021-05-23,51
2021-05-30,59
2021-06-06,55
2021-06-13,61
2021-06-20,58
2021-06-27,65
2021-07-04,59
2021-07-11,62
2021-07-18,61
2021-07-25,68
2021-08-01,65
2021-08-08,61
2021-08-15,58
2021-08-22,65
2021-08-29,63
2021-09-05,55
2021-09-12,64
2021-09-19,64
2021-09-26,62
2021-10-03,56
2021-10-10,57
2021-10-17,60
2021-10-24,57
2021-10-31,48
2021-11-07,57
2021-11-14,58
2021-11-21,63
2021-11-28,61
2021-12-05,61
2021-12-12,61
2021-12-19,61
2021-12-26,57
2022-01-02,71
2022-01-09,66
2022-01-16,64
2022-01-23,67
2022-01-30,70
2022-02-06,63
2022-02-13,82
2022-02-20,81
2022-02-27,81
2022-03-06,88
2022-03-13,77
2022-03-20,86
2022-03-27,81
2022-04-03,88
2022-04-10,69
2022-04-17,84
2022-04-24,83
2022-05-01,84
2022-05-08,84
2022-05-15,83
2022-05-22,84
2022-05-29,85
2022-06-05,85
2022-06-12,88
2022-06-19,90
2022-06-26,93
2022-07-03,88
2022-07-10,86
2022-07-17,95
2022-07-24,97
2022-07-31,86
2022-08-07,87
2022-08-14,84
2022-08-21,92
2022-08-28,81
2022-09-04,75
2022-09-11,94
2022-09-18,94
2022-09-25,87
2022-10-02,71
2022-10-09,92
2022-10-16,78
2022-10-23,65
2022-10-30,87
2022-11-06,82
2022-11-13,85
2022-11-20,79
2022-11-27,75
2022-12-04,71
2022-12-11,80
2022-12-18,72
2022-12-25,70
2023-01-01,81
2023-01-08,74
2023-01-15,77
2023-01-22,76
2023-01-29,78
2023-02-05,80
2023-02-12,77
2023-02-19,84
2023-02-26,75
2023-03-05,71
2023-03-12,79
2023-03-19,82
2023-03-26,77
2023-04-02,75
2023-04-09,93
2023-04-16,79
2023-04-23,80
2023-04-30,75
2023-05-07,79
2023-05-14,88
2023-05-21,79
2023-05-28,81
2023-06-04,82
2023-06-11,91
2023-06-18,90
2023-06-25,82
2023-07-02,92
2023-07-09,96
2023-07-16,95
2023-07-23,91
2023-07-30,100
2023-08-06,89
2023-08-13,77
2023-08-20,82
2023-08-27,75
2023-09-03,80
2023-09-10,82
2023-09-17,80
2023-09-24,82
2023-10-01,78
2023-10-08,79
2023-10-15,72
2023-10-22,62
2023-10-29,71
2023-11-05,64
2023-11-12,60
2023-11-19,68
2023-11-26,70
2023-12-03,68
2023-12-10,73
2023-12-17,72
2023-12-24,63
2023-12-31,68
2024-01-07,76
