,Advertising & Marketing
2018-12-30,77
2019-01-06,69
2019-01-13,63
2019-01-20,70
2019-01-27,70
2019-02-03,73
2019-02-10,79
2019-02-17,77
2019-02-24,73
2019-03-03,79
2019-03-10,81
2019-03-17,73
2019-03-24,76
2019-03-31,75
2019-04-07,76
2019-04-14,75
2019-04-21,67
2019-04-28,67
2019-05-05,74
2019-05-12,77
2019-05-19,70
2019-05-26,77
2019-06-02,74
2019-06-09,76
2019-06-16,75
2019-06-23,77
2019-06-30,79
2019-07-07,75
2019-07-14,81
2019-07-21,79
2019-07-28,74
2019-08-04,72
2019-08-11,67
2019-08-18,74
2019-08-25,73
2019-09-01,65
2019-09-08,68
2019-09-15,67
2019-09-22,70
2019-09-29,62
2019-10-06,60
2019-10-13,67
2019-10-20,59
2019-10-27,56
2019-11-03,73
2019-11-10,72
2019-11-17,72
2019-11-24,74
2019-12-01,72
2019-12-08,73
2019-12-15,75
2019-12-22,80
2019-12-29,77
2020-01-05,78
2020-01-12,75
2020-01-19,81
2020-01-26,81
2020-02-02,80
2020-02-09,78
2020-02-16,79
2020-02-23,79
2020-03-01,81
2020-03-08,74
2020-03-15,78
2020-03-22,66
2020-03-29,72
2020-04-05,71
2020-04-12,71
2020-04-19,68
2020-04-26,67
2020-05-03,69
2020-05-10,77
2020-05-17,71
2020-05-24,66
2020-05-31,72
2020-06-07,74
2020-06-14,72
2020-06-21,82
2020-06-28,76
2020-07-05,80
2020-07-12,81
2020-07-19,78
2020-07-26,83
2020-08-02,79
2020-08-09,80
2020-08-16,83
2020-08-23,81
2020-08-30,79
2020-09-06,81
2020-09-13,85
2020-09-20,82
2020-09-27,76
2020-10-04,78
2020-10-11,87
2020-10-18,78
2020-10-25,76
2020-11-01,73
2020-11-08,70
2020-11-15,74
2020-11-22,76
2020-11-29,72
2020-12-06,78
2020-12-13,78
2020-12-20,82
2020-12-27,76
2021-01-03,82
2021-01-10,72
2021-01-17,73
2021-01-24,69
2021-01-31,79
2021-02-07,72
2021-02-14,76
2021-02-21,77
2021-02-28,80
2021-03-07,78
2021-03-14,76
2021-03-21,77
2021-03-28,71
2021-04-04,74
2021-04-11,71
2021-04-18,72
2021-04-25,69
2021-05-02,71
2021-05-09,69
2021-05-16,69
2021-05-23,72
2021-05-30,77
2021-06-06,72
2021-06-13,77
2021-06-20,73
2021-06-27,74
2021-07-04,74
2021-07-11,75
2021-07-18,73
2021-07-25,76
2021-08-01,74
2021-08-08,75
2021-08-15,74
2021-08-22,71
2021-08-29,72
2021-09-05,71
2021-09-12,76
2021-09-19,76
2021-09-26,73
2021-10-03,74
2021-10-10,66
2021-10-17,72
2021-10-24,76
2021-10-31,65
2021-11-07,82
2021-11-14,80
2021-11-21,72
2021-11-28,75
2021-12-05,73
2021-12-12,76
2021-12-19,75
2021-12-26,73
2022-01-02,69
2022-01-09,71
2022-01-16,64
2022-01-23,68
2022-01-30,74
2022-02-06,71
2022-02-13,76
2022-02-20,71
2022-02-27,73
2022-03-06,76
2022-03-13,74
2022-03-20,83
2022-03-27,86
2022-04-03,91
2022-04-10,90
2022-04-17,89
2022-04-24,88
2022-05-01,92
2022-05-08,100
2022-05-15,96
2022-05-22,90
2022-05-29,85
2022-06-05,85
2022-06-12,85
2022-06-19,85
2022-06-26,86
2022-07-03,82
2022-07-10,86
2022-07-17,85
2022-07-24,83
2022-07-31,83
2022-08-07,77
2022-08-14,79
2022-08-21,89
2022-08-28,77
2022-09-04,83
2022-09-11,84
2022-09-18,87
2022-09-25,76
2022-10-02,72
2022-10-09,78
2022-10-16,74
2022-10-23,64
2022-10-30,77
2022-11-06,83
2022-11-13,83
2022-11-20,78
2022-11-27,77
2022-12-04,77
2022-12-11,81
2022-12-18,82
2022-12-25,80
2023-01-01,83
2023-01-08,84
2023-01-15,86
2023-01-22,80
2023-01-29,83
2023-02-05,80
2023-02-12,83
2023-02-19,84
2023-02-26,84
2023-03-05,77
2023-03-12,82
2023-03-19,77
2023-03-26,74
2023-04-02,79
2023-04-09,77
2023-04-16,74
2023-04-23,77
2023-04-30,73
2023-05-07,76
2023-05-14,76
2023-05-21,78
2023-05-28,73
2023-06-04,75
2023-06-11,83
2023-06-18,81
2023-06-25,84
2023-07-02,86
2023-07-09,93
2023-07-16,84
2023-07-23,90
2023-07-30,86
2023-08-06,88
2023-08-13,81
2023-08-20,83
2023-08-27,78
2023-09-03,79
2023-09-10,83
2023-09-17,92
2023-09-24,97
2023-10-01,84
2023-10-08,85
2023-10-15,79
2023-10-22,72
2023-10-29,80
2023-11-05,79
2023-11-12,73
2023-11-19,79
2023-11-26,78
2023-12-03,80
2023-12-10,80
2023-12-17,79
2023-12-24,75
2023-12-31,77
2024-01-07,81
