,Commercial Vehicles
2018-12-30,35
2019-01-06,34
2019-01-13,30
2019-01-20,30
2019-01-27,33
2019-02-03,32
2019-02-10,36
2019-02-17,33
2019-02-24,31
2019-03-03,28
2019-03-10,30
2019-03-17,33
2019-03-24,31
2019-03-31,28
2019-04-07,29
2019-04-14,28
2019-04-21,29
2019-04-28,27
2019-05-05,30
2019-05-12,30
2019-05-19,30
2019-05-26,33
2019-06-02,33
2019-06-09,29
2019-06-16,30
2019-06-23,30
2019-06-30,29
2019-07-07,29
2019-07-14,32
2019-07-21,32
2019-07-28,31
2019-08-04,33
2019-08-11,26
2019-08-18,32
2019-08-25,30
2019-09-01,29
2019-09-08,33
2019-09-15,32
2019-09-22,31
2019-09-29,28
2019-10-06,24
2019-10-13,29
2019-10-20,27
2019-10-27,25
2019-11-03,28
2019-11-10,27
2019-11-17,31
2019-11-24,29
2019-12-01,29
2019-12-08,28
2019-12-15,33
2019-12-22,29
2019-12-29,27
2020-01-05,31
2020-01-12,27
2020-01-19,30
2020-01-26,28
2020-02-02,26
2020-02-09,26
2020-02-16,30
2020-02-23,26
2020-03-01,25
2020-03-08,23
2020-03-15,25
2020-03-22,19
2020-03-29,20
2020-04-05,21
2020-04-12,23
2020-04-19,22
2020-04-26,23
2020-05-03,23
2020-05-10,25
2020-05-17,25
2020-05-24,24
2020-05-31,29
2020-06-07,27
2020-06-14,25
2020-06-21,25
2020-06-28,29
2020-07-05,31
2020-07-12,31
2020-07-19,31
2020-07-26,30
2020-08-02,31
2020-08-09,33
2020-08-16,32
2020-08-23,32
2020-08-30,32
2020-09-06,36
2020-09-13,36
2020-09-20,35
2020-09-27,45
2020-10-04,56
2020-10-11,56
2020-10-18,40
2020-10-25,37
2020-11-01,34
2020-11-08,30
2020-11-15,36
2020-11-22,34
2020-11-29,34
2020-12-06,39
2020-12-13,43
2020-12-20,48
2020-12-27,44
2021-01-03,42
2021-01-10,36
2021-01-17,43
2021-01-24,41
2021-01-31,41
2021-02-07,44
2021-02-14,41
2021-02-21,44
2021-02-28,46
2021-03-07,44
2021-03-14,40
2021-03-21,34
2021-03-28,31
2021-04-04,33
2021-04-11,32
2021-04-18,37
2021-04-25,32
2021-05-02,29
2021-05-09,30
2021-05-16,32
2021-05-23,31
2021-05-30,35
2021-06-06,38
2021-06-13,42
2021-06-20,43
2021-06-27,44
2021-07-04,48
2021-07-11,57
2021-07-18,59
2021-07-25,61
2021-08-01,54
2021-08-08,54
2021-08-15,51
2021-08-22,52
2021-08-29,48
2021-09-05,50
2021-09-12,54
2021-09-19,52
2021-09-26,50
2021-10-03,50
2021-10-10,37
2021-10-17,46
2021-10-24,49
2021-10-31,34
2021-11-07,42
2021-11-14,45
2021-11-21,49
2021-11-28,50
2021-12-05,52
2021-12-12,48
2021-12-19,48
2021-12-26,43
2022-01-02,48
2022-01-09,43
2022-01-16,47
2022-01-23,48
2022-01-30,52
2022-02-06,53
2022-02-13,61
2022-02-20,60
2022-02-27,59
2022-03-06,58
2022-03-13,45
2022-03-20,44
2022-03-27,42
2022-04-03,44
2022-04-10,47
2022-04-17,51
2022-04-24,48
2022-05-01,47
2022-05-08,46
2022-05-15,45
2022-05-22,48
2022-05-29,49
2022-06-05,51
2022-06-12,55
2022-06-19,57
2022-06-26,58
2022-07-03,63
2022-07-10,64
2022-07-17,72
2022-07-24,78
2022-07-31,100
2022-08-07,77
2022-08-14,72
2022-08-21,75
2022-08-28,70
2022-09-04,67
2022-09-11,70
2022-09-18,73
2022-09-25,65
2022-10-02,55
2022-10-09,65
2022-10-16,61
2022-10-23,50
2022-10-30,63
2022-11-06,60
2022-11-13,62
2022-11-20,59
2022-11-27,59
2022-12-04,57
2022-12-11,59
2022-12-18,60
2022-12-25,58
2023-01-01,58
2023-01-08,57
2023-01-15,58
2023-01-22,57
2023-01-29,63
2023-02-05,61
2023-02-12,59
2023-02-19,64
2023-02-26,64
2023-03-05,51
2023-03-12,51
2023-03-19,46
2023-03-26,41
2023-04-02,47
2023-04-09,48
2023-04-16,46
2023-04-23,48
2023-04-30,48
2023-05-07,46
2023-05-14,45
2023-05-21,44
2023-05-28,44
2023-06-04,47
2023-06-11,48
2023-06-18,48
2023-06-25,52
2023-07-02,57
2023-07-09,59
2023-07-16,56
2023-07-23,53
2023-07-30,55
2023-08-06,56
2023-08-13,53
2023-08-20,55
2023-08-27,50
2023-09-03,51
2023-09-10,54
2023-09-17,54
2023-09-24,49
2023-10-01,49
2023-10-08,52
2023-10-15,44
2023-10-22,40
2023-10-29,47
2023-11-05,45
2023-11-12,39
2023-11-19,49
2023-11-26,48
2023-12-03,51
2023-12-10,50
2023-12-17,48
2023-12-24,49
2023-12-31,49
2024-01-07,49
