,Home & Garden
2018-12-30,74
2019-01-06,74
2019-01-13,69
2019-01-20,73
2019-01-27,77
2019-02-03,75
2019-02-10,74
2019-02-17,79
2019-02-24,78
2019-03-03,73
2019-03-10,75
2019-03-17,82
2019-03-24,80
2019-03-31,67
2019-04-07,68
2019-04-14,76
2019-04-21,75
2019-04-28,76
2019-05-05,57
2019-05-12,59
2019-05-19,62
2019-05-26,60
2019-06-02,66
2019-06-09,72
2019-06-16,76
2019-06-23,84
2019-06-30,77
2019-07-07,79
2019-07-14,82
2019-07-21,74
2019-07-28,71
2019-08-04,67
2019-08-11,58
2019-08-18,72
2019-08-25,71
2019-09-01,66
2019-09-08,71
2019-09-15,68
2019-09-22,69
2019-09-29,71
2019-10-06,65
2019-10-13,70
2019-10-20,75
2019-10-27,70
2019-11-03,65
2019-11-10,69
2019-11-17,65
2019-11-24,65
2019-12-01,68
2019-12-08,67
2019-12-15,75
2019-12-22,76
2019-12-29,73
2020-01-05,71
2020-01-12,71
2020-01-19,71
2020-01-26,72
2020-02-02,73
2020-02-09,75
2020-02-16,71
2020-02-23,70
2020-03-01,68
2020-03-08,67
2020-03-15,64
2020-03-22,64
2020-03-29,65
2020-04-05,64
2020-04-12,64
2020-04-19,47
2020-04-26,41
2020-05-03,41
2020-05-10,44
2020-05-17,47
2020-05-24,49
2020-05-31,65
2020-06-07,57
2020-06-14,60
2020-06-21,63
2020-06-28,60
2020-07-05,69
2020-07-12,67
2020-07-19,66
2020-07-26,62
2020-08-02,77
2020-08-09,73
2020-08-16,67
2020-08-23,59
2020-08-30,56
2020-09-06,60
2020-09-13,62
2020-09-20,63
2020-09-27,68
2020-10-04,66
2020-10-11,67
2020-10-18,70
2020-10-25,73
2020-11-01,69
2020-11-08,69
2020-11-15,62
2020-11-22,76
2020-11-29,69
2020-12-06,69
2020-12-13,70
2020-12-20,76
2020-12-27,75
2021-01-03,70
2021-01-10,71
2021-01-17,73
2021-01-24,80
2021-01-31,75
2021-02-07,83
2021-02-14,74
2021-02-21,80
2021-02-28,91
2021-03-07,78
2021-03-14,85
2021-03-21,90
2021-03-28,100
2021-04-04,84
2021-04-11,74
2021-04-18,79
2021-04-25,78
2021-05-02,74
2021-05-09,72
2021-05-16,78
2021-05-23,77
2021-05-30,90
2021-06-06,89
2021-06-13,93
2021-06-20,90
2021-06-27,84
2021-07-04,83
2021-07-11,77
2021-07-18,74
2021-07-25,73
2021-08-01,78
2021-08-08,80
2021-08-15,95
2021-08-22,81
2021-08-29,85
2021-09-05,83
2021-09-12,80
2021-09-19,80
2021-09-26,82
2021-10-03,78
2021-10-10,76
2021-10-17,80
2021-10-24,84
2021-10-31,89
2021-11-07,84
2021-11-14,85
2021-11-21,85
2021-11-28,82
2021-12-05,86
2021-12-12,83
2021-12-19,89
2021-12-26,85
2022-01-02,82
2022-01-09,84
2022-01-16,78
2022-01-23,81
2022-01-30,89
2022-02-06,81
2022-02-13,83
2022-02-20,81
2022-02-27,83
2022-03-06,84
2022-03-13,84
2022-03-20,84
2022-03-27,83
2022-04-03,75
2022-04-10,79
2022-04-17,77
2022-04-24,72
2022-05-01,70
2022-05-08,77
2022-05-15,80
2022-05-22,82
2022-05-29,76
2022-06-05,72
2022-06-12,77
2022-06-19,72
2022-06-26,65
2022-07-03,64
2022-07-10,65
2022-07-17,74
2022-07-24,67
2022-07-31,75
2022-08-07,82
2022-08-14,86
2022-08-21,83
2022-08-28,81
2022-09-04,81
2022-09-11,75
2022-09-18,78
2022-09-25,70
2022-10-02,68
2022-10-09,75
2022-10-16,79
2022-10-23,77
2022-10-30,72
2022-11-06,69
2022-11-13,79
2022-11-20,74
2022-11-27,81
2022-12-04,81
2022-12-11,81
2022-12-18,78
2022-12-25,87
2023-01-01,74
2023-01-08,79
2023-01-15,82
2023-01-22,80
2023-01-29,84
2023-02-05,82
2023-02-12,83
2023-02-19,81
2023-02-26,81
2023-03-05,85
2023-03-12,82
2023-03-19,77
2023-03-26,76
2023-04-02,74
2023-04-09,70
2023-04-16,71
2023-04-23,76
2023-04-30,76
2023-05-07,74
2023-05-14,73
2023-05-21,75
2023-05-28,76
2023-06-04,81
2023-06-11,78
2023-06-18,70
2023-06-25,64
2023-07-02,69
2023-07-09,76
2023-07-16,73
2023-07-23,76
2023-07-30,72
2023-08-06,81
2023-08-13,89
2023-08-20,86
2023-08-27,87
2023-09-03,73
2023-09-10,84
2023-09-17,88
2023-09-24,80
2023-10-01,84
2023-10-08,82
2023-10-15,89
2023-10-22,89
2023-10-29,91
2023-11-05,93
2023-11-12,92
2023-11-19,90
2023-11-26,100
2023-12-03,95
2023-12-10,94
2023-12-17,92
2023-12-24,98
2023-12-31,97
2024-01-07,95
