,Hobbies & Leisure
2018-12-30,79
2019-01-06,41
2019-01-13,43
2019-01-20,43
2019-01-27,43
2019-02-03,41
2019-02-10,52
2019-02-17,41
2019-02-24,41
2019-03-03,39
2019-03-10,40
2019-03-17,39
2019-03-24,40
2019-03-31,38
2019-04-07,40
2019-04-14,43
2019-04-21,33
2019-04-28,37
2019-05-05,42
2019-05-12,38
2019-05-19,37
2019-05-26,40
2019-06-02,45
2019-06-09,41
2019-06-16,36
2019-06-23,38
2019-06-30,38
2019-07-07,40
2019-07-14,40
2019-07-21,42
2019-07-28,42
2019-08-04,44
2019-08-11,45
2019-08-18,41
2019-08-25,41
2019-09-01,41
2019-09-08,41
2019-09-15,38
2019-09-22,39
2019-09-29,43
2019-10-06,40
2019-10-13,39
2019-10-20,40
2019-10-27,37
2019-11-03,38
2019-11-10,36
2019-11-17,37
2019-11-24,40
2019-12-01,43
2019-12-08,41
2019-12-15,45
2019-12-22,65
2019-12-29,75
2020-01-05,39
2020-01-12,40
2020-01-19,41
2020-01-26,42
2020-02-02,41
2020-02-09,48
2020-02-16,41
2020-02-23,40
2020-03-01,38
2020-03-08,36
2020-03-15,32
2020-03-22,30
2020-03-29,32
2020-04-05,34
2020-04-12,40
2020-04-19,34
2020-04-26,32
2020-05-03,36
2020-05-10,38
2020-05-17,40
2020-05-24,39
2020-05-31,40
2020-06-07,39
2020-06-14,41
2020-06-21,44
2020-06-28,40
2020-07-05,42
2020-07-12,41
2020-07-19,46
2020-07-26,49
2020-08-02,42
2020-08-09,43
2020-08-16,41
2020-08-23,40
2020-08-30,42
2020-09-06,42
2020-09-13,41
2020-09-20,38
2020-09-27,44
2020-10-04,46
2020-10-11,44
2020-10-18,44
2020-10-25,44
2020-11-01,42
2020-11-08,43
2020-11-15,43
2020-11-22,46
2020-11-29,48
2020-12-06,49
2020-12-13,49
2020-12-20,76
2020-12-27,78
2021-01-03,46
2021-01-10,43
2021-01-17,42
2021-01-24,43
2021-01-31,43
2021-02-07,48
2021-02-14,47
2021-02-21,43
2021-02-28,41
2021-03-07,42
2021-03-14,43
2021-03-21,44
2021-03-28,48
2021-04-04,42
2021-04-11,43
2021-04-18,41
2021-04-25,45
2021-05-02,46
2021-05-09,57
2021-05-16,44
2021-05-23,40
2021-05-30,41
2021-06-06,42
2021-06-13,45
2021-06-20,49
2021-06-27,48
2021-07-04,46
2021-07-11,49
2021-07-18,55
2021-07-25,48
2021-08-01,46
2021-08-08,46
2021-08-15,44
2021-08-22,41
2021-08-29,41
2021-09-05,43
2021-09-12,43
2021-09-19,44
2021-09-26,48
2021-10-03,57
2021-10-10,46
2021-10-17,43
2021-10-24,44
2021-10-31,47
2021-11-07,46
2021-11-14,43
2021-11-21,43
2021-11-28,46
2021-12-05,51
2021-12-12,52
2021-12-19,73
2021-12-26,93
2022-01-02,58
2022-01-09,54
2022-01-16,46
2022-01-23,52
2022-01-30,51
2022-02-06,55
2022-02-13,62
2022-02-20,55
2022-02-27,55
2022-03-06,53
2022-03-13,52
2022-03-20,50
2022-03-27,45
2022-04-03,47
2022-04-10,56
2022-04-17,49
2022-04-24,52
2022-05-01,65
2022-05-08,51
2022-05-15,49
2022-05-22,53
2022-05-29,53
2022-06-05,50
2022-06-12,50
2022-06-19,54
2022-06-26,54
2022-07-03,61
2022-07-10,53
2022-07-17,54
2022-07-24,51
2022-07-31,51
2022-08-07,56
2022-08-14,54
2022-08-21,51
2022-08-28,50
2022-09-04,51
2022-09-11,49
2022-09-18,48
2022-09-25,55
2022-10-02,63
2022-10-09,50
2022-10-16,51
2022-10-23,52
2022-10-30,51
2022-11-06,49
2022-11-13,50
2022-11-20,50
2022-11-27,49
2022-12-04,55
2022-12-11,59
2022-12-18,72
2022-12-25,100
2023-01-01,64
2023-01-08,53
2023-01-15,50
2023-01-22,51
2023-01-29,53
2023-02-05,52
2023-02-12,59
2023-02-19,52
2023-02-26,50
2023-03-05,51
2023-03-12,50
2023-03-19,55
2023-03-26,51
2023-04-02,53
2023-04-09,59
2023-04-16,57
2023-04-23,50
2023-04-30,50
2023-05-07,52
2023-05-14,56
2023-05-21,50
2023-05-28,50
2023-06-04,54
2023-06-11,56
2023-06-18,54
2023-06-25,65
2023-07-02,52
2023-07-09,53
2023-07-16,51
2023-07-23,50
2023-07-30,60
2023-08-06,60
2023-08-13,64
2023-08-20,55
2023-08-27,50
2023-09-03,54
2023-09-10,48
2023-09-17,51
2023-09-24,54
2023-10-01,64
2023-10-08,50
2023-10-15,49
2023-10-22,49
2023-10-29,52
2023-11-05,49
2023-11-12,50
2023-11-19,50
2023-11-26,51
2023-12-03,53
2023-12-10,55
2023-12-17,57
2023-12-24,75
2023-12-31,93
2024-01-07,52
