,Flooring
2018-12-30,54
2019-01-06,66
2019-01-13,64
2019-01-20,56
2019-01-27,47
2019-02-03,47
2019-02-10,55
2019-02-17,46
2019-02-24,57
2019-03-03,45
2019-03-10,59
2019-03-17,51
2019-03-24,47
2019-03-31,0
2019-04-07,0
2019-04-14,44
2019-04-21,0
2019-04-28,56
2019-05-05,0
2019-05-12,40
2019-05-19,50
2019-05-26,39
2019-06-02,0
2019-06-09,62
2019-06-16,0
2019-06-23,66
2019-06-30,56
2019-07-07,57
2019-07-14,51
2019-07-21,67
2019-07-28,38
2019-08-04,54
2019-08-11,66
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,42
2019-09-15,0
2019-09-22,60
2019-09-29,38
2019-10-06,0
2019-10-13,35
2019-10-20,37
2019-10-27,59
2019-11-03,0
2019-11-10,43
2019-11-17,61
2019-11-24,42
2019-12-01,48
2019-12-08,43
2019-12-15,46
2019-12-22,71
2019-12-29,59
2020-01-05,0
2020-01-12,51
2020-01-19,67
2020-01-26,62
2020-02-02,56
2020-02-09,58
2020-02-16,32
2020-02-23,0
2020-03-01,39
2020-03-08,42
2020-03-15,0
2020-03-22,30
2020-03-29,45
2020-04-05,37
2020-04-12,55
2020-04-19,34
2020-04-26,0
2020-05-03,33
2020-05-10,0
2020-05-17,37
2020-05-24,0
2020-05-31,33
2020-06-07,36
2020-06-14,0
2020-06-21,47
2020-06-28,40
2020-07-05,61
2020-07-12,0
2020-07-19,39
2020-07-26,54
2020-08-02,63
2020-08-09,49
2020-08-16,41
2020-08-23,47
2020-08-30,0
2020-09-06,57
2020-09-13,61
2020-09-20,33
2020-09-27,63
2020-10-04,40
2020-10-11,46
2020-10-18,62
2020-10-25,71
2020-11-01,45
2020-11-08,49
2020-11-15,0
2020-11-22,0
2020-11-29,54
2020-12-06,0
2020-12-13,57
2020-12-20,51
2020-12-27,41
2021-01-03,55
2021-01-10,37
2021-01-17,0
2021-01-24,38
2021-01-31,75
2021-02-07,63
2021-02-14,0
2021-02-21,52
2021-02-28,67
2021-03-07,0
2021-03-14,41
2021-03-21,73
2021-03-28,37
2021-04-04,54
2021-04-11,78
2021-04-18,52
2021-04-25,45
2021-05-02,73
2021-05-09,40
2021-05-16,63
2021-05-23,49
2021-05-30,67
2021-06-06,52
2021-06-13,79
2021-06-20,59
2021-06-27,67
2021-07-04,60
2021-07-11,65
2021-07-18,65
2021-07-25,64
2021-08-01,54
2021-08-08,48
2021-08-15,68
2021-08-22,100
2021-08-29,64
2021-09-05,100
2021-09-12,57
2021-09-19,91
2021-09-26,75
2021-10-03,63
2021-10-10,42
2021-10-17,63
2021-10-24,64
2021-10-31,66
2021-11-07,62
2021-11-14,54
2021-11-21,62
2021-11-28,43
2021-12-05,68
2021-12-12,63
2021-12-19,56
2021-12-26,59
2022-01-02,87
2022-01-09,47
2022-01-16,73
2022-01-23,35
2022-01-30,67
2022-02-06,55
2022-02-13,49
2022-02-20,40
2022-02-27,49
2022-03-06,77
2022-03-13,69
2022-03-20,64
2022-03-27,78
2022-04-03,56
2022-04-10,54
2022-04-17,56
2022-04-24,63
2022-05-01,42
2022-05-08,32
2022-05-15,65
2022-05-22,34
2022-05-29,44
2022-06-05,33
2022-06-12,41
2022-06-19,55
2022-06-26,32
2022-07-03,59
2022-07-10,0
2022-07-17,37
2022-07-24,38
2022-07-31,37
2022-08-07,41
2022-08-14,54
2022-08-21,73
2022-08-28,0
2022-09-04,42
2022-09-11,53
2022-09-18,31
2022-09-25,0
2022-10-02,52
2022-10-09,53
2022-10-16,34
2022-10-23,40
2022-10-30,0
2022-11-06,71
2022-11-13,55
2022-11-20,38
2022-11-27,30
2022-12-04,35
2022-12-11,57
2022-12-18,50
2022-12-25,39
2023-01-01,83
2023-01-08,48
2023-01-15,0
2023-01-22,42
2023-01-29,51
2023-02-05,59
2023-02-12,34
2023-02-19,65
2023-02-26,40
2023-03-05,37
2023-03-12,60
2023-03-19,60
2023-03-26,50
2023-04-02,39
2023-04-09,52
2023-04-16,38
2023-04-23,35
2023-04-30,47
2023-05-07,43
2023-05-14,54
2023-05-21,39
2023-05-28,44
2023-06-04,42
2023-06-11,48
2023-06-18,46
2023-06-25,39
2023-07-02,29
2023-07-09,54
2023-07-16,46
2023-07-23,31
2023-07-30,48
2023-08-06,46
2023-08-13,59
2023-08-20,70
2023-08-27,80
2023-09-03,32
2023-09-10,60
2023-09-17,49
2023-09-24,38
2023-10-01,58
2023-10-08,48
2023-10-15,72
2023-10-22,45
2023-10-29,39
2023-11-05,51
2023-11-12,75
2023-11-19,66
2023-11-26,65
2023-12-03,63
2023-12-10,38
2023-12-17,41
2023-12-24,74
2023-12-31,68
2024-01-07,88
