,Credit & Lending
2018-12-30,54
2019-01-06,53
2019-01-13,53
2019-01-20,50
2019-01-27,51
2019-02-03,49
2019-02-10,54
2019-02-17,51
2019-02-24,53
2019-03-03,54
2019-03-10,58
2019-03-17,65
2019-03-24,70
2019-03-31,63
2019-04-07,55
2019-04-14,43
2019-04-21,36
2019-04-28,45
2019-05-05,54
2019-05-12,47
2019-05-19,52
2019-05-26,59
2019-06-02,53
2019-06-09,55
2019-06-16,58
2019-06-23,62
2019-06-30,59
2019-07-07,57
2019-07-14,57
2019-07-21,63
2019-07-28,65
2019-08-04,60
2019-08-11,55
2019-08-18,65
2019-08-25,69
2019-09-01,78
2019-09-08,79
2019-09-15,83
2019-09-22,75
2019-09-29,66
2019-10-06,76
2019-10-13,59
2019-10-20,60
2019-10-27,63
2019-11-03,59
2019-11-10,52
2019-11-17,61
2019-11-24,66
2019-12-01,66
2019-12-08,66
2019-12-15,78
2019-12-22,74
2019-12-29,68
2020-01-05,58
2020-01-12,59
2020-01-19,63
2020-01-26,62
2020-02-02,59
2020-02-09,65
2020-02-16,65
2020-02-23,67
2020-03-01,65
2020-03-08,58
2020-03-15,41
2020-03-22,40
2020-03-29,39
2020-04-05,41
2020-04-12,38
2020-04-19,42
2020-04-26,44
2020-05-03,33
2020-05-10,43
2020-05-17,45
2020-05-24,47
2020-05-31,46
2020-06-07,48
2020-06-14,61
2020-06-21,65
2020-06-28,66
2020-07-05,66
2020-07-12,67
2020-07-19,79
2020-07-26,81
2020-08-02,61
2020-08-09,74
2020-08-16,69
2020-08-23,69
2020-08-30,62
2020-09-06,69
2020-09-13,64
2020-09-20,59
2020-09-27,58
2020-10-04,57
2020-10-11,59
2020-10-18,53
2020-10-25,49
2020-11-01,42
2020-11-08,49
2020-11-15,59
2020-11-22,58
2020-11-29,61
2020-12-06,65
2020-12-13,63
2020-12-20,69
2020-12-27,57
2021-01-03,58
2021-01-10,52
2021-01-17,53
2021-01-24,54
2021-01-31,54
2021-02-07,59
2021-02-14,59
2021-02-21,54
2021-02-28,63
2021-03-07,58
2021-03-14,63
2021-03-21,73
2021-03-28,77
2021-04-04,68
2021-04-11,45
2021-04-18,63
2021-04-25,58
2021-05-02,63
2021-05-09,54
2021-05-16,61
2021-05-23,50
2021-05-30,60
2021-06-06,61
2021-06-13,60
2021-06-20,58
2021-06-27,59
2021-07-04,62
2021-07-11,63
2021-07-18,60
2021-07-25,62
2021-08-01,59
2021-08-08,59
2021-08-15,54
2021-08-22,52
2021-08-29,53
2021-09-05,50
2021-09-12,55
2021-09-19,55
2021-09-26,60
2021-10-03,54
2021-10-10,52
2021-10-17,50
2021-10-24,56
2021-10-31,56
2021-11-07,58
2021-11-14,62
2021-11-21,60
2021-11-28,67
2021-12-05,70
2021-12-12,70
2021-12-19,71
2021-12-26,67
2022-01-02,79
2022-01-09,75
2022-01-16,73
2022-01-23,89
2022-01-30,75
2022-02-06,80
2022-02-13,73
2022-02-20,74
2022-02-27,87
2022-03-06,85
2022-03-13,96
2022-03-20,87
2022-03-27,82
2022-04-03,79
2022-04-10,68
2022-04-17,78
2022-04-24,79
2022-05-01,81
2022-05-08,61
2022-05-15,66
2022-05-22,78
2022-05-29,72
2022-06-05,68
2022-06-12,66
2022-06-19,66
2022-06-26,70
2022-07-03,67
2022-07-10,62
2022-07-17,70
2022-07-24,70
2022-07-31,69
2022-08-07,71
2022-08-14,77
2022-08-21,77
2022-08-28,83
2022-09-04,74
2022-09-11,71
2022-09-18,76
2022-09-25,74
2022-10-02,69
2022-10-09,73
2022-10-16,71
2022-10-23,77
2022-10-30,73
2022-11-06,67
2022-11-13,72
2022-11-20,76
2022-11-27,78
2022-12-04,80
2022-12-11,81
2022-12-18,89
2022-12-25,85
2023-01-01,71
2023-01-08,72
2023-01-15,71
2023-01-22,100
2023-01-29,73
2023-02-05,71
2023-02-12,76
2023-02-19,80
2023-02-26,76
2023-03-05,74
2023-03-12,78
2023-03-19,88
2023-03-26,82
2023-04-02,86
2023-04-09,67
2023-04-16,71
2023-04-23,75
2023-04-30,67
2023-05-07,73
2023-05-14,83
2023-05-21,89
2023-05-28,76
2023-06-04,82
2023-06-11,78
2023-06-18,85
2023-06-25,83
2023-07-02,95
2023-07-09,85
2023-07-16,90
2023-07-23,90
2023-07-30,85
2023-08-06,88
2023-08-13,84
2023-08-20,84
2023-08-27,90
2023-09-03,86
2023-09-10,86
2023-09-17,88
2023-09-24,86
2023-10-01,84
2023-10-08,80
2023-10-15,81
2023-10-22,80
2023-10-29,79
2023-11-05,75
2023-11-12,84
2023-11-19,83
2023-11-26,88
2023-12-03,86
2023-12-10,87
2023-12-17,100
2023-12-24,85
2023-12-31,81
2024-01-07,81
