,Exportation
2018-12-30,47
2019-01-06,60
2019-01-13,52
2019-01-20,55
2019-01-27,70
2019-02-03,52
2019-02-10,57
2019-02-17,59
2019-02-24,58
2019-03-03,60
2019-03-10,71
2019-03-17,53
2019-03-24,52
2019-03-31,50
2019-04-07,46
2019-04-14,40
2019-04-21,40
2019-04-28,40
2019-05-05,57
2019-05-12,47
2019-05-19,60
2019-05-26,70
2019-06-02,54
2019-06-09,64
2019-06-16,56
2019-06-23,58
2019-06-30,57
2019-07-07,61
2019-07-14,53
2019-07-21,59
2019-07-28,63
2019-08-04,57
2019-08-11,52
2019-08-18,70
2019-08-25,64
2019-09-01,57
2019-09-08,61
2019-09-15,56
2019-09-22,59
2019-09-29,66
2019-10-06,62
2019-10-13,62
2019-10-20,59
2019-10-27,56
2019-11-03,56
2019-11-10,49
2019-11-17,62
2019-11-24,69
2019-12-01,67
2019-12-08,51
2019-12-15,59
2019-12-22,50
2019-12-29,53
2020-01-05,56
2020-01-12,59
2020-01-19,59
2020-01-26,60
2020-02-02,60
2020-02-09,66
2020-02-16,68
2020-02-23,59
2020-03-01,66
2020-03-08,55
2020-03-15,35
2020-03-22,43
2020-03-29,47
2020-04-05,48
2020-04-12,45
2020-04-19,64
2020-04-26,52
2020-05-03,67
2020-05-10,67
2020-05-17,85
2020-05-24,68
2020-05-31,71
2020-06-07,68
2020-06-14,68
2020-06-21,65
2020-06-28,72
2020-07-05,72
2020-07-12,62
2020-07-19,75
2020-07-26,69
2020-08-02,51
2020-08-09,76
2020-08-16,81
2020-08-23,79
2020-08-30,61
2020-09-06,79
2020-09-13,80
2020-09-20,77
2020-09-27,65
2020-10-04,60
2020-10-11,58
2020-10-18,48
2020-10-25,53
2020-11-01,53
2020-11-08,55
2020-11-15,59
2020-11-22,58
2020-11-29,58
2020-12-06,57
2020-12-13,55
2020-12-20,41
2020-12-27,47
2021-01-03,52
2021-01-10,48
2021-01-17,61
2021-01-24,52
2021-01-31,57
2021-02-07,62
2021-02-14,52
2021-02-21,63
2021-02-28,58
2021-03-07,55
2021-03-14,55
2021-03-21,50
2021-03-28,51
2021-04-04,61
2021-04-11,38
2021-04-18,47
2021-04-25,49
2021-05-02,46
2021-05-09,48
2021-05-16,56
2021-05-23,46
2021-05-30,52
2021-06-06,52
2021-06-13,52
2021-06-20,41
2021-06-27,49
2021-07-04,55
2021-07-11,57
2021-07-18,44
2021-07-25,51
2021-08-01,55
2021-08-08,49
2021-08-15,51
2021-08-22,65
2021-08-29,55
2021-09-05,55
2021-09-12,64
2021-09-19,61
2021-09-26,68
2021-10-03,62
2021-10-10,58
2021-10-17,51
2021-10-24,47
2021-10-31,51
2021-11-07,52
2021-11-14,48
2021-11-21,60
2021-11-28,51
2021-12-05,54
2021-12-12,49
2021-12-19,39
2021-12-26,56
2022-01-02,68
2022-01-09,68
2022-01-16,74
2022-01-23,76
2022-01-30,71
2022-02-06,79
2022-02-13,76
2022-02-20,81
2022-02-27,90
2022-03-06,100
2022-03-13,90
2022-03-20,81
2022-03-27,66
2022-04-03,61
2022-04-10,56
2022-04-17,74
2022-04-24,75
2022-05-01,71
2022-05-08,61
2022-05-15,72
2022-05-22,79
2022-05-29,84
2022-06-05,78
2022-06-12,66
2022-06-19,75
2022-06-26,75
2022-07-03,72
2022-07-10,68
2022-07-17,61
2022-07-24,66
2022-07-31,65
2022-08-07,63
2022-08-14,73
2022-08-21,77
2022-08-28,69
2022-09-04,74
2022-09-11,81
2022-09-18,75
2022-09-25,71
2022-10-02,76
2022-10-09,79
2022-10-16,68
2022-10-23,65
2022-10-30,69
2022-11-06,61
2022-11-13,76
2022-11-20,69
2022-11-27,66
2022-12-04,65
2022-12-11,69
2022-12-18,65
2022-12-25,55
2023-01-01,61
2023-01-08,70
2023-01-15,74
2023-01-22,72
2023-01-29,67
2023-02-05,78
2023-02-12,69
2023-02-19,76
2023-02-26,77
2023-03-05,75
2023-03-12,83
2023-03-19,74
2023-03-26,78
2023-04-02,64
2023-04-09,55
2023-04-16,75
2023-04-23,66
2023-04-30,55
2023-05-07,72
2023-05-14,71
2023-05-21,75
2023-05-28,74
2023-06-04,73
2023-06-11,73
2023-06-18,80
2023-06-25,63
2023-07-02,68
2023-07-09,78
2023-07-16,65
2023-07-23,71
2023-07-30,63
2023-08-06,65
2023-08-13,81
2023-08-20,83
2023-08-27,71
2023-09-03,71
2023-09-10,61
2023-09-17,65
2023-09-24,58
2023-10-01,66
2023-10-08,65
2023-10-15,62
2023-10-22,67
2023-10-29,61
2023-11-05,58
2023-11-12,62
2023-11-19,74
2023-11-26,63
2023-12-03,73
2023-12-10,57
2023-12-17,58
2023-12-24,42
2023-12-31,66
2024-01-07,66
