,Consumer Electronics
2018-12-30,71
2019-01-06,67
2019-01-13,66
2019-01-20,69
2019-01-27,72
2019-02-03,77
2019-02-10,76
2019-02-17,68
2019-02-24,82
2019-03-03,67
2019-03-10,66
2019-03-17,76
2019-03-24,72
2019-03-31,68
2019-04-07,63
2019-04-14,76
2019-04-21,66
2019-04-28,69
2019-05-05,60
2019-05-12,65
2019-05-19,65
2019-05-26,60
2019-06-02,63
2019-06-09,72
2019-06-16,73
2019-06-23,62
2019-06-30,70
2019-07-07,77
2019-07-14,74
2019-07-21,72
2019-07-28,73
2019-08-04,62
2019-08-11,61
2019-08-18,65
2019-08-25,65
2019-09-01,67
2019-09-08,67
2019-09-15,56
2019-09-22,64
2019-09-29,72
2019-10-06,70
2019-10-13,69
2019-10-20,69
2019-10-27,64
2019-11-03,68
2019-11-10,64
2019-11-17,69
2019-11-24,72
2019-12-01,67
2019-12-08,70
2019-12-15,83
2019-12-22,81
2019-12-29,73
2020-01-05,73
2020-01-12,70
2020-01-19,72
2020-01-26,62
2020-02-02,62
2020-02-09,69
2020-02-16,76
2020-02-23,65
2020-03-01,67
2020-03-08,66
2020-03-15,58
2020-03-22,55
2020-03-29,57
2020-04-05,54
2020-04-12,46
2020-04-19,37
2020-04-26,40
2020-05-03,42
2020-05-10,45
2020-05-17,43
2020-05-24,51
2020-05-31,49
2020-06-07,56
2020-06-14,53
2020-06-21,54
2020-06-28,48
2020-07-05,49
2020-07-12,48
2020-07-19,54
2020-07-26,52
2020-08-02,61
2020-08-09,55
2020-08-16,46
2020-08-23,50
2020-08-30,40
2020-09-06,41
2020-09-13,55
2020-09-20,50
2020-09-27,50
2020-10-04,58
2020-10-11,71
2020-10-18,60
2020-10-25,67
2020-11-01,61
2020-11-08,57
2020-11-15,58
2020-11-22,61
2020-11-29,67
2020-12-06,66
2020-12-13,66
2020-12-20,74
2020-12-27,73
2021-01-03,68
2021-01-10,69
2021-01-17,67
2021-01-24,65
2021-01-31,63
2021-02-07,68
2021-02-14,64
2021-02-21,67
2021-02-28,75
2021-03-07,75
2021-03-14,75
2021-03-21,76
2021-03-28,74
2021-04-04,75
2021-04-11,63
2021-04-18,74
2021-04-25,63
2021-05-02,65
2021-05-09,66
2021-05-16,65
2021-05-23,68
2021-05-30,75
2021-06-06,72
2021-06-13,71
2021-06-20,79
2021-06-27,72
2021-07-04,70
2021-07-11,68
2021-07-18,73
2021-07-25,72
2021-08-01,74
2021-08-08,74
2021-08-15,73
2021-08-22,78
2021-08-29,61
2021-09-05,70
2021-09-12,71
2021-09-19,65
2021-09-26,69
2021-10-03,71
2021-10-10,64
2021-10-17,70
2021-10-24,77
2021-10-31,71
2021-11-07,76
2021-11-14,78
2021-11-21,73
2021-11-28,73
2021-12-05,76
2021-12-12,78
2021-12-19,82
2021-12-26,77
2022-01-02,79
2022-01-09,81
2022-01-16,72
2022-01-23,72
2022-01-30,79
2022-02-06,78
2022-02-13,73
2022-02-20,67
2022-02-27,78
2022-03-06,69
2022-03-13,81
2022-03-20,76
2022-03-27,71
2022-04-03,69
2022-04-10,77
2022-04-17,72
2022-04-24,68
2022-05-01,63
2022-05-08,74
2022-05-15,75
2022-05-22,71
2022-05-29,67
2022-06-05,74
2022-06-12,80
2022-06-19,74
2022-06-26,73
2022-07-03,64
2022-07-10,75
2022-07-17,75
2022-07-24,78
2022-07-31,68
2022-08-07,77
2022-08-14,73
2022-08-21,77
2022-08-28,76
2022-09-04,76
2022-09-11,75
2022-09-18,75
2022-09-25,68
2022-10-02,76
2022-10-09,74
2022-10-16,76
2022-10-23,75
2022-10-30,76
2022-11-06,75
2022-11-13,76
2022-11-20,73
2022-11-27,73
2022-12-04,77
2022-12-11,76
2022-12-18,82
2022-12-25,87
2023-01-01,75
2023-01-08,71
2023-01-15,81
2023-01-22,80
2023-01-29,76
2023-02-05,78
2023-02-12,75
2023-02-19,81
2023-02-26,73
2023-03-05,77
2023-03-12,74
2023-03-19,71
2023-03-26,77
2023-04-02,75
2023-04-09,71
2023-04-16,70
2023-04-23,70
2023-04-30,72
2023-05-07,70
2023-05-14,73
2023-05-21,74
2023-05-28,72
2023-06-04,80
2023-06-11,72
2023-06-18,74
2023-06-25,67
2023-07-02,74
2023-07-09,75
2023-07-16,73
2023-07-23,71
2023-07-30,81
2023-08-06,89
2023-08-13,98
2023-08-20,84
2023-08-27,86
2023-09-03,84
2023-09-10,82
2023-09-17,90
2023-09-24,83
2023-10-01,83
2023-10-08,86
2023-10-15,89
2023-10-22,86
2023-10-29,87
2023-11-05,85
2023-11-12,87
2023-11-19,90
2023-11-26,87
2023-12-03,89
2023-12-10,96
2023-12-17,98
2023-12-24,96
2023-12-31,100
2024-01-07,89
