,Arts & Entertainment
2018-12-30,90
2019-01-06,84
2019-01-13,82
2019-01-20,80
2019-01-27,79
2019-02-03,82
2019-02-10,85
2019-02-17,84
2019-02-24,83
2019-03-03,81
2019-03-10,80
2019-03-17,80
2019-03-24,82
2019-03-31,84
2019-04-07,82
2019-04-14,84
2019-04-21,100
2019-04-28,91
2019-05-05,88
2019-05-12,86
2019-05-19,80
2019-05-26,80
2019-06-02,84
2019-06-09,81
2019-06-16,80
2019-06-23,83
2019-06-30,85
2019-07-07,83
2019-07-14,81
2019-07-21,82
2019-07-28,88
2019-08-04,90
2019-08-11,86
2019-08-18,86
2019-08-25,81
2019-09-01,81
2019-09-08,83
2019-09-15,79
2019-09-22,81
2019-09-29,78
2019-10-06,80
2019-10-13,79
2019-10-20,77
2019-10-27,74
2019-11-03,72
2019-11-10,76
2019-11-17,73
2019-11-24,73
2019-12-01,79
2019-12-08,74
2019-12-15,79
2019-12-22,84
2019-12-29,84
2020-01-05,76
2020-01-12,75
2020-01-19,76
2020-01-26,70
2020-02-02,76
2020-02-09,73
2020-02-16,76
2020-02-23,70
2020-03-01,70
2020-03-08,67
2020-03-15,80
2020-03-22,81
2020-03-29,81
2020-04-05,87
2020-04-12,88
2020-04-19,78
2020-04-26,86
2020-05-03,82
2020-05-10,72
2020-05-17,72
2020-05-24,74
2020-05-31,73
2020-06-07,71
2020-06-14,74
2020-06-21,74
2020-06-28,72
2020-07-05,73
2020-07-12,77
2020-07-19,75
2020-07-26,71
2020-08-02,75
2020-08-09,71
2020-08-16,69
2020-08-23,68
2020-08-30,69
2020-09-06,68
2020-09-13,67
2020-09-20,69
2020-09-27,68
2020-10-04,71
2020-10-11,81
2020-10-18,79
2020-10-25,83
2020-11-01,78
2020-11-08,81
2020-11-15,81
2020-11-22,79
2020-11-29,78
2020-12-06,78
2020-12-13,78
2020-12-20,82
2020-12-27,81
2021-01-03,74
2021-01-10,75
2021-01-17,73
2021-01-24,66
2021-01-31,69
2021-02-07,66
2021-02-14,70
2021-02-21,70
2021-02-28,67
2021-03-07,65
2021-03-14,67
2021-03-21,67
2021-03-28,69
2021-04-04,62
2021-04-11,64
2021-04-18,64
2021-04-25,71
2021-05-02,80
2021-05-09,77
2021-05-16,82
2021-05-23,81
2021-05-30,83
2021-06-06,82
2021-06-13,81
2021-06-20,81
2021-06-27,78
2021-07-04,81
2021-07-11,77
2021-07-18,79
2021-07-25,74
2021-08-01,73
2021-08-08,76
2021-08-15,80
2021-08-22,80
2021-08-29,80
2021-09-05,83
2021-09-12,81
2021-09-19,81
2021-09-26,75
2021-10-03,74
2021-10-10,79
2021-10-17,75
2021-10-24,72
2021-10-31,75
2021-11-07,75
2021-11-14,72
2021-11-21,68
2021-11-28,68
2021-12-05,73
2021-12-12,74
2021-12-19,78
2021-12-26,82
2022-01-02,88
2022-01-09,82
2022-01-16,75
2022-01-23,81
2022-01-30,85
2022-02-06,83
2022-02-13,91
2022-02-20,86
2022-02-27,97
2022-03-06,84
2022-03-13,85
2022-03-20,85
2022-03-27,77
2022-04-03,89
2022-04-10,88
2022-04-17,87
2022-04-24,87
2022-05-01,94
2022-05-08,90
2022-05-15,85
2022-05-22,90
2022-05-29,91
2022-06-05,90
2022-06-12,83
2022-06-19,86
2022-06-26,89
2022-07-03,98
2022-07-10,96
2022-07-17,91
2022-07-24,87
2022-07-31,93
2022-08-07,83
2022-08-14,81
2022-08-21,89
2022-08-28,84
2022-09-04,85
2022-09-11,81
2022-09-18,84
2022-09-25,82
2022-10-02,80
2022-10-09,84
2022-10-16,83
2022-10-23,84
2022-10-30,81
2022-11-06,84
2022-11-13,83
2022-11-20,79
2022-11-27,79
2022-12-04,83
2022-12-11,85
2022-12-18,91
2022-12-25,93
2023-01-01,81
2023-01-08,78
2023-01-15,83
2023-01-22,84
2023-01-29,82
2023-02-05,78
2023-02-12,83
2023-02-19,79
2023-02-26,77
2023-03-05,77
2023-03-12,76
2023-03-19,76
2023-03-26,73
2023-04-02,76
2023-04-09,76
2023-04-16,75
2023-04-23,78
2023-04-30,79
2023-05-07,75
2023-05-14,77
2023-05-21,77
2023-05-28,78
2023-06-04,77
2023-06-11,81
2023-06-18,83
2023-06-25,84
2023-07-02,76
2023-07-09,86
2023-07-16,85
2023-07-23,77
2023-07-30,84
2023-08-06,86
2023-08-13,89
2023-08-20,80
2023-08-27,80
2023-09-03,77
2023-09-10,81
2023-09-17,80
2023-09-24,80
2023-10-01,78
2023-10-08,79
2023-10-15,87
2023-10-22,82
2023-10-29,78
2023-11-05,82
2023-11-12,81
2023-11-19,79
2023-11-26,79
2023-12-03,81
2023-12-10,81
2023-12-17,84
2023-12-24,86
2023-12-31,86
2024-01-07,81
