,Manufacturing
2018-12-30,13
2019-01-06,12
2019-01-13,15
2019-01-20,0
2019-01-27,12
2019-02-03,11
2019-02-10,18
2019-02-17,16
2019-02-24,15
2019-03-03,16
2019-03-10,11
2019-03-17,25
2019-03-24,22
2019-03-31,0
2019-04-07,19
2019-04-14,20
2019-04-21,11
2019-04-28,18
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,13
2019-06-09,0
2019-06-16,24
2019-06-23,0
2019-06-30,12
2019-07-07,15
2019-07-14,20
2019-07-21,12
2019-07-28,16
2019-08-04,21
2019-08-11,0
2019-08-18,14
2019-08-25,0
2019-09-01,15
2019-09-08,17
2019-09-15,25
2019-09-22,19
2019-09-29,21
2019-10-06,12
2019-10-13,17
2019-10-20,12
2019-10-27,17
2019-11-03,12
2019-11-10,20
2019-11-17,11
2019-11-24,0
2019-12-01,17
2019-12-08,11
2019-12-15,0
2019-12-22,11
2019-12-29,12
2020-01-05,14
2020-01-12,18
2020-01-19,13
2020-01-26,19
2020-02-02,16
2020-02-09,15
2020-02-16,14
2020-02-23,0
2020-03-01,20
2020-03-08,39
2020-03-15,43
2020-03-22,75
2020-03-29,86
2020-04-05,87
2020-04-12,100
2020-04-19,70
2020-04-26,67
2020-05-03,51
2020-05-10,56
2020-05-17,41
2020-05-24,44
2020-05-31,29
2020-06-07,25
2020-06-14,29
2020-06-21,27
2020-06-28,23
2020-07-05,24
2020-07-12,17
2020-07-19,28
2020-07-26,18
2020-08-02,29
2020-08-09,22
2020-08-16,34
2020-08-23,19
2020-08-30,16
2020-09-06,18
2020-09-13,11
2020-09-20,14
2020-09-27,15
2020-10-04,20
2020-10-11,18
2020-10-18,17
2020-10-25,16
2020-11-01,22
2020-11-08,13
2020-11-15,20
2020-11-22,14
2020-11-29,20
2020-12-06,17
2020-12-13,20
2020-12-20,18
2020-12-27,25
2021-01-03,15
2021-01-10,17
2021-01-17,21
2021-01-24,16
2021-01-31,25
2021-02-07,19
2021-02-14,25
2021-02-21,25
2021-02-28,25
2021-03-07,18
2021-03-14,11
2021-03-21,23
2021-03-28,14
2021-04-04,26
2021-04-11,15
2021-04-18,25
2021-04-25,24
2021-05-02,24
2021-05-09,23
2021-05-16,24
2021-05-23,32
2021-05-30,32
2021-06-06,21
2021-06-13,20
2021-06-20,22
2021-06-27,19
2021-07-04,23
2021-07-11,14
2021-07-18,12
2021-07-25,25
2021-08-01,20
2021-08-08,21
2021-08-15,27
2021-08-22,14
2021-08-29,14
2021-09-05,15
2021-09-12,24
2021-09-19,13
2021-09-26,17
2021-10-03,17
2021-10-10,14
2021-10-17,19
2021-10-24,14
2021-10-31,22
2021-11-07,17
2021-11-14,17
2021-11-21,30
2021-11-28,31
2021-12-05,13
2021-12-12,0
2021-12-19,19
2021-12-26,17
2022-01-02,18
2022-01-09,38
2022-01-16,29
2022-01-23,27
2022-01-30,29
2022-02-06,17
2022-02-13,26
2022-02-20,21
2022-02-27,23
2022-03-06,18
2022-03-13,20
2022-03-20,18
2022-03-27,11
2022-04-03,15
2022-04-10,13
2022-04-17,7
2022-04-24,19
2022-05-01,16
2022-05-08,21
2022-05-15,18
2022-05-22,0
2022-05-29,10
2022-06-05,19
2022-06-12,13
2022-06-19,14
2022-06-26,17
2022-07-03,14
2022-07-10,0
2022-07-17,13
2022-07-24,12
2022-07-31,16
2022-08-07,11
2022-08-14,16
2022-08-21,12
2022-08-28,16
2022-09-04,11
2022-09-11,10
2022-09-18,11
2022-09-25,23
2022-10-02,10
2022-10-09,17
2022-10-16,11
2022-10-23,15
2022-10-30,18
2022-11-06,8
2022-11-13,14
2022-11-20,15
2022-11-27,9
2022-12-04,12
2022-12-11,12
2022-12-18,16
2022-12-25,15
2023-01-01,21
2023-01-08,11
2023-01-15,16
2023-01-22,13
2023-01-29,14
2023-02-05,14
2023-02-12,15
2023-02-19,16
2023-02-26,15
2023-03-05,22
2023-03-12,11
2023-03-19,10
2023-03-26,16
2023-04-02,14
2023-04-09,20
2023-04-16,11
2023-04-23,18
2023-04-30,0
2023-05-07,14
2023-05-14,24
2023-05-21,17
2023-05-28,17
2023-06-04,26
2023-06-11,20
2023-06-18,16
2023-06-25,0
2023-07-02,12
2023-07-09,0
2023-07-16,13
2023-07-23,20
2023-07-30,11
2023-08-06,18
2023-08-13,19
2023-08-20,9
2023-08-27,16
2023-09-03,13
2023-09-10,14
2023-09-17,15
2023-09-24,11
2023-10-01,14
2023-10-08,9
2023-10-15,15
2023-10-22,15
2023-10-29,0
2023-11-05,12
2023-11-12,15
2023-11-19,18
2023-11-26,14
2023-12-03,15
2023-12-10,18
2023-12-17,12
2023-12-24,18
2023-12-31,14
2024-01-07,10
