,Retail Trade
2018-12-30,41
2019-01-06,33
2019-01-13,41
2019-01-20,47
2019-01-27,56
2019-02-03,58
2019-02-10,53
2019-02-17,45
2019-02-24,47
2019-03-03,36
2019-03-10,45
2019-03-17,44
2019-03-24,50
2019-03-31,0
2019-04-07,44
2019-04-14,40
2019-04-21,54
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,32
2019-06-02,40
2019-06-09,49
2019-06-16,44
2019-06-23,41
2019-06-30,41
2019-07-07,44
2019-07-14,42
2019-07-21,54
2019-07-28,61
2019-08-04,57
2019-08-11,34
2019-08-18,0
2019-08-25,72
2019-09-01,67
2019-09-08,56
2019-09-15,33
2019-09-22,77
2019-09-29,57
2019-10-06,37
2019-10-13,59
2019-10-20,45
2019-10-27,45
2019-11-03,32
2019-11-10,42
2019-11-17,62
2019-11-24,33
2019-12-01,52
2019-12-08,36
2019-12-15,66
2019-12-22,66
2019-12-29,44
2020-01-05,67
2020-01-12,43
2020-01-19,43
2020-01-26,39
2020-02-02,47
2020-02-09,35
2020-02-16,32
2020-02-23,67
2020-03-01,40
2020-03-08,48
2020-03-15,47
2020-03-22,31
2020-03-29,39
2020-04-05,0
2020-04-12,34
2020-04-19,36
2020-04-26,29
2020-05-03,41
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,39
2020-06-07,0
2020-06-14,40
2020-06-21,34
2020-06-28,40
2020-07-05,44
2020-07-12,31
2020-07-19,48
2020-07-26,0
2020-08-02,64
2020-08-09,39
2020-08-16,40
2020-08-23,30
2020-08-30,0
2020-09-06,0
2020-09-13,33
2020-09-20,31
2020-09-27,45
2020-10-04,53
2020-10-11,68
2020-10-18,0
2020-10-25,54
2020-11-01,46
2020-11-08,40
2020-11-15,41
2020-11-22,0
2020-11-29,30
2020-12-06,44
2020-12-13,46
2020-12-20,62
2020-12-27,37
2021-01-03,60
2021-01-10,34
2021-01-17,38
2021-01-24,61
2021-01-31,55
2021-02-07,47
2021-02-14,39
2021-02-21,50
2021-02-28,56
2021-03-07,46
2021-03-14,57
2021-03-21,0
2021-03-28,45
2021-04-04,57
2021-04-11,64
2021-04-18,43
2021-04-25,47
2021-05-02,58
2021-05-09,49
2021-05-16,44
2021-05-23,52
2021-05-30,48
2021-06-06,45
2021-06-13,50
2021-06-20,51
2021-06-27,0
2021-07-04,47
2021-07-11,63
2021-07-18,40
2021-07-25,57
2021-08-01,52
2021-08-08,48
2021-08-15,38
2021-08-22,58
2021-08-29,42
2021-09-05,45
2021-09-12,50
2021-09-19,43
2021-09-26,0
2021-10-03,93
2021-10-10,40
2021-10-17,78
2021-10-24,62
2021-10-31,61
2021-11-07,0
2021-11-14,57
2021-11-21,37
2021-11-28,50
2021-12-05,82
2021-12-12,0
2021-12-19,62
2021-12-26,53
2022-01-02,60
2022-01-09,65
2022-01-16,38
2022-01-23,65
2022-01-30,69
2022-02-06,72
2022-02-13,51
2022-02-20,57
2022-02-27,70
2022-03-06,44
2022-03-13,52
2022-03-20,37
2022-03-27,59
2022-04-03,36
2022-04-10,47
2022-04-17,49
2022-04-24,52
2022-05-01,38
2022-05-08,67
2022-05-15,80
2022-05-22,60
2022-05-29,45
2022-06-05,70
2022-06-12,44
2022-06-19,54
2022-06-26,55
2022-07-03,71
2022-07-10,47
2022-07-17,41
2022-07-24,51
2022-07-31,38
2022-08-07,55
2022-08-14,85
2022-08-21,60
2022-08-28,57
2022-09-04,60
2022-09-11,69
2022-09-18,70
2022-09-25,53
2022-10-02,52
2022-10-09,44
2022-10-16,48
2022-10-23,54
2022-10-30,50
2022-11-06,57
2022-11-13,56
2022-11-20,41
2022-11-27,62
2022-12-04,28
2022-12-11,60
2022-12-18,52
2022-12-25,59
2023-01-01,57
2023-01-08,77
2023-01-15,53
2023-01-22,62
2023-01-29,52
2023-02-05,58
2023-02-12,46
2023-02-19,55
2023-02-26,67
2023-03-05,65
2023-03-12,41
2023-03-19,50
2023-03-26,42
2023-04-02,53
2023-04-09,46
2023-04-16,56
2023-04-23,41
2023-04-30,89
2023-05-07,58
2023-05-14,62
2023-05-21,61
2023-05-28,39
2023-06-04,60
2023-06-11,70
2023-06-18,62
2023-06-25,51
2023-07-02,75
2023-07-09,45
2023-07-16,77
2023-07-23,36
2023-07-30,66
2023-08-06,71
2023-08-13,81
2023-08-20,62
2023-08-27,80
2023-09-03,54
2023-09-10,77
2023-09-17,97
2023-09-24,35
2023-10-01,45
2023-10-08,78
2023-10-15,75
2023-10-22,59
2023-10-29,64
2023-11-05,80
2023-11-12,100
2023-11-19,48
2023-11-26,96
2023-12-03,61
2023-12-10,67
2023-12-17,48
2023-12-24,79
2023-12-31,65
2024-01-07,73
