,Computer Hardware
2018-12-30,57
2019-01-06,56
2019-01-13,63
2019-01-20,59
2019-01-27,65
2019-02-03,66
2019-02-10,72
2019-02-17,72
2019-02-24,69
2019-03-03,64
2019-03-10,61
2019-03-17,64
2019-03-24,68
2019-03-31,63
2019-04-07,55
2019-04-14,65
2019-04-21,60
2019-04-28,59
2019-05-05,50
2019-05-12,57
2019-05-19,59
2019-05-26,55
2019-06-02,55
2019-06-09,64
2019-06-16,63
2019-06-23,62
2019-06-30,55
2019-07-07,63
2019-07-14,64
2019-07-21,66
2019-07-28,67
2019-08-04,61
2019-08-11,53
2019-08-18,64
2019-08-25,61
2019-09-01,66
2019-09-08,61
2019-09-15,57
2019-09-22,64
2019-09-29,60
2019-10-06,61
2019-10-13,64
2019-10-20,62
2019-10-27,66
2019-11-03,67
2019-11-10,66
2019-11-17,66
2019-11-24,63
2019-12-01,62
2019-12-08,60
2019-12-15,60
2019-12-22,71
2019-12-29,60
2020-01-05,60
2020-01-12,62
2020-01-19,68
2020-01-26,65
2020-02-02,63
2020-02-09,71
2020-02-16,66
2020-02-23,64
2020-03-01,69
2020-03-08,62
2020-03-15,62
2020-03-22,55
2020-03-29,54
2020-04-05,57
2020-04-12,52
2020-04-19,43
2020-04-26,41
2020-05-03,38
2020-05-10,45
2020-05-17,42
2020-05-24,45
2020-05-31,56
2020-06-07,62
2020-06-14,50
2020-06-21,55
2020-06-28,57
2020-07-05,61
2020-07-12,55
2020-07-19,59
2020-07-26,54
2020-08-02,58
2020-08-09,58
2020-08-16,57
2020-08-23,47
2020-08-30,49
2020-09-06,49
2020-09-13,53
2020-09-20,53
2020-09-27,55
2020-10-04,60
2020-10-11,61
2020-10-18,61
2020-10-25,68
2020-11-01,55
2020-11-08,68
2020-11-15,58
2020-11-22,60
2020-11-29,55
2020-12-06,61
2020-12-13,61
2020-12-20,63
2020-12-27,63
2021-01-03,70
2021-01-10,70
2021-01-17,73
2021-01-24,67
2021-01-31,69
2021-02-07,69
2021-02-14,72
2021-02-21,72
2021-02-28,76
2021-03-07,70
2021-03-14,73
2021-03-21,73
2021-03-28,84
2021-04-04,69
2021-04-11,59
2021-04-18,70
2021-04-25,69
2021-05-02,71
2021-05-09,71
2021-05-16,73
2021-05-23,79
2021-05-30,77
2021-06-06,76
2021-06-13,73
2021-06-20,89
2021-06-27,70
2021-07-04,72
2021-07-11,71
2021-07-18,65
2021-07-25,70
2021-08-01,70
2021-08-08,74
2021-08-15,78
2021-08-22,71
2021-08-29,75
2021-09-05,71
2021-09-12,75
2021-09-19,72
2021-09-26,70
2021-10-03,69
2021-10-10,70
2021-10-17,72
2021-10-24,72
2021-10-31,72
2021-11-07,70
2021-11-14,69
2021-11-21,72
2021-11-28,67
2021-12-05,73
2021-12-12,73
2021-12-19,69
2021-12-26,69
2022-01-02,68
2022-01-09,70
2022-01-16,70
2022-01-23,74
2022-01-30,74
2022-02-06,82
2022-02-13,80
2022-02-20,75
2022-02-27,75
2022-03-06,79
2022-03-13,75
2022-03-20,68
2022-03-27,67
2022-04-03,66
2022-04-10,72
2022-04-17,64
2022-04-24,61
2022-05-01,57
2022-05-08,72
2022-05-15,69
2022-05-22,69
2022-05-29,67
2022-06-05,68
2022-06-12,71
2022-06-19,70
2022-06-26,67
2022-07-03,62
2022-07-10,57
2022-07-17,63
2022-07-24,62
2022-07-31,67
2022-08-07,74
2022-08-14,73
2022-08-21,71
2022-08-28,77
2022-09-04,75
2022-09-11,72
2022-09-18,65
2022-09-25,63
2022-10-02,67
2022-10-09,69
2022-10-16,69
2022-10-23,60
2022-10-30,66
2022-11-06,66
2022-11-13,72
2022-11-20,67
2022-11-27,70
2022-12-04,69
2022-12-11,72
2022-12-18,71
2022-12-25,76
2023-01-01,80
2023-01-08,81
2023-01-15,77
2023-01-22,85
2023-01-29,91
2023-02-05,81
2023-02-12,77
2023-02-19,76
2023-02-26,79
2023-03-05,81
2023-03-12,77
2023-03-19,77
2023-03-26,71
2023-04-02,82
2023-04-09,77
2023-04-16,75
2023-04-23,78
2023-04-30,81
2023-05-07,82
2023-05-14,82
2023-05-21,81
2023-05-28,71
2023-06-04,85
2023-06-11,90
2023-06-18,84
2023-06-25,64
2023-07-02,74
2023-07-09,82
2023-07-16,78
2023-07-23,78
2023-07-30,81
2023-08-06,98
2023-08-13,98
2023-08-20,92
2023-08-27,89
2023-09-03,90
2023-09-10,97
2023-09-17,94
2023-09-24,93
2023-10-01,92
2023-10-08,96
2023-10-15,91
2023-10-22,89
2023-10-29,88
2023-11-05,83
2023-11-12,88
2023-11-19,99
2023-11-26,92
2023-12-03,94
2023-12-10,97
2023-12-17,96
2023-12-24,100
2023-12-31,91
2024-01-07,93
