,Doctors' Offices
2018-12-30,66
2019-01-06,65
2019-01-13,62
2019-01-20,65
2019-01-27,64
2019-02-03,65
2019-02-10,69
2019-02-17,70
2019-02-24,62
2019-03-03,66
2019-03-10,66
2019-03-17,67
2019-03-24,72
2019-03-31,64
2019-04-07,67
2019-04-14,66
2019-04-21,62
2019-04-28,67
2019-05-05,66
2019-05-12,68
2019-05-19,63
2019-05-26,71
2019-06-02,66
2019-06-09,77
2019-06-16,75
2019-06-23,71
2019-06-30,83
2019-07-07,70
2019-07-14,76
2019-07-21,73
2019-07-28,76
2019-08-04,70
2019-08-11,69
2019-08-18,81
2019-08-25,79
2019-09-01,73
2019-09-08,77
2019-09-15,78
2019-09-22,78
2019-09-29,69
2019-10-06,66
2019-10-13,74
2019-10-20,60
2019-10-27,66
2019-11-03,72
2019-11-10,67
2019-11-17,74
2019-11-24,69
2019-12-01,71
2019-12-08,66
2019-12-15,66
2019-12-22,72
2019-12-29,64
2020-01-05,67
2020-01-12,63
2020-01-19,69
2020-01-26,65
2020-02-02,63
2020-02-09,67
2020-02-16,65
2020-02-23,70
2020-03-01,67
2020-03-08,61
2020-03-15,65
2020-03-22,55
2020-03-29,60
2020-04-05,51
2020-04-12,49
2020-04-19,49
2020-04-26,51
2020-05-03,48
2020-05-10,55
2020-05-17,54
2020-05-24,53
2020-05-31,54
2020-06-07,58
2020-06-14,62
2020-06-21,64
2020-06-28,87
2020-07-05,65
2020-07-12,63
2020-07-19,65
2020-07-26,62
2020-08-02,81
2020-08-09,64
2020-08-16,65
2020-08-23,65
2020-08-30,67
2020-09-06,69
2020-09-13,70
2020-09-20,65
2020-09-27,66
2020-10-04,66
2020-10-11,68
2020-10-18,65
2020-10-25,62
2020-11-01,61
2020-11-08,53
2020-11-15,63
2020-11-22,63
2020-11-29,61
2020-12-06,66
2020-12-13,66
2020-12-20,67
2020-12-27,66
2021-01-03,66
2021-01-10,62
2021-01-17,64
2021-01-24,63
2021-01-31,63
2021-02-07,64
2021-02-14,67
2021-02-21,68
2021-02-28,68
2021-03-07,64
2021-03-14,69
2021-03-21,69
2021-03-28,69
2021-04-04,75
2021-04-11,70
2021-04-18,70
2021-04-25,66
2021-05-02,70
2021-05-09,68
2021-05-16,69
2021-05-23,84
2021-05-30,78
2021-06-06,68
2021-06-13,69
2021-06-20,69
2021-06-27,100
2021-07-04,68
2021-07-11,72
2021-07-18,73
2021-07-25,74
2021-08-01,69
2021-08-08,72
2021-08-15,69
2021-08-22,69
2021-08-29,67
2021-09-05,67
2021-09-12,69
2021-09-19,68
2021-09-26,69
2021-10-03,73
2021-10-10,73
2021-10-17,68
2021-10-24,64
2021-10-31,66
2021-11-07,69
2021-11-14,64
2021-11-21,60
2021-11-28,65
2021-12-05,63
2021-12-12,62
2021-12-19,66
2021-12-26,80
2022-01-02,72
2022-01-09,68
2022-01-16,65
2022-01-23,72
2022-01-30,69
2022-02-06,65
2022-02-13,72
2022-02-20,66
2022-02-27,65
2022-03-06,67
2022-03-13,64
2022-03-20,70
2022-03-27,69
2022-04-03,69
2022-04-10,64
2022-04-17,63
2022-04-24,66
2022-05-01,66
2022-05-08,64
2022-05-15,66
2022-05-22,69
2022-05-29,72
2022-06-05,67
2022-06-12,71
2022-06-19,73
2022-06-26,97
2022-07-03,71
2022-07-10,74
2022-07-17,75
2022-07-24,75
2022-07-31,75
2022-08-07,73
2022-08-14,75
2022-08-21,78
2022-08-28,71
2022-09-04,76
2022-09-11,80
2022-09-18,82
2022-09-25,74
2022-10-02,68
2022-10-09,93
2022-10-16,87
2022-10-23,69
2022-10-30,77
2022-11-06,82
2022-11-13,81
2022-11-20,81
2022-11-27,77
2022-12-04,75
2022-12-11,96
2022-12-18,90
2022-12-25,83
2023-01-01,80
2023-01-08,92
2023-01-15,83
2023-01-22,83
2023-01-29,80
2023-02-05,80
2023-02-12,82
2023-02-19,83
2023-02-26,86
2023-03-05,74
2023-03-12,80
2023-03-19,76
2023-03-26,76
2023-04-02,80
2023-04-09,76
2023-04-16,75
2023-04-23,74
2023-04-30,71
2023-05-07,70
2023-05-14,70
2023-05-21,69
2023-05-28,72
2023-06-04,69
2023-06-11,77
2023-06-18,77
2023-06-25,97
2023-07-02,81
2023-07-09,93
2023-07-16,93
2023-07-23,89
2023-07-30,89
2023-08-06,88
2023-08-13,86
2023-08-20,83
2023-08-27,80
2023-09-03,82
2023-09-10,80
2023-09-17,82
2023-09-24,83
2023-10-01,83
2023-10-08,79
2023-10-15,75
2023-10-22,70
2023-10-29,71
2023-11-05,69
2023-11-12,64
2023-11-19,71
2023-11-26,73
2023-12-03,71
2023-12-10,73
2023-12-17,77
2023-12-24,79
2023-12-31,75
2024-01-07,73
