,Home Furnishings
2018-12-30,47
2019-01-06,50
2019-01-13,44
2019-01-20,45
2019-01-27,42
2019-02-03,41
2019-02-10,45
2019-02-17,45
2019-02-24,38
2019-03-03,43
2019-03-10,45
2019-03-17,46
2019-03-24,46
2019-03-31,43
2019-04-07,42
2019-04-14,58
2019-04-21,45
2019-04-28,42
2019-05-05,43
2019-05-12,40
2019-05-19,42
2019-05-26,46
2019-06-02,44
2019-06-09,42
2019-06-16,41
2019-06-23,44
2019-06-30,42
2019-07-07,45
2019-07-14,47
2019-07-21,46
2019-07-28,48
2019-08-04,46
2019-08-11,43
2019-08-18,47
2019-08-25,47
2019-09-01,41
2019-09-08,46
2019-09-15,50
2019-09-22,48
2019-09-29,52
2019-10-06,45
2019-10-13,46
2019-10-20,49
2019-10-27,43
2019-11-03,42
2019-11-10,41
2019-11-17,43
2019-11-24,39
2019-12-01,42
2019-12-08,43
2019-12-15,42
2019-12-22,45
2019-12-29,43
2020-01-05,40
2020-01-12,39
2020-01-19,42
2020-01-26,40
2020-02-02,39
2020-02-09,39
2020-02-16,43
2020-02-23,40
2020-03-01,37
2020-03-08,34
2020-03-15,33
2020-03-22,22
2020-03-29,24
2020-04-05,28
2020-04-12,23
2020-04-19,24
2020-04-26,24
2020-05-03,26
2020-05-10,30
2020-05-17,32
2020-05-24,35
2020-05-31,37
2020-06-07,38
2020-06-14,39
2020-06-21,43
2020-06-28,45
2020-07-05,50
2020-07-12,46
2020-07-19,45
2020-07-26,45
2020-08-02,46
2020-08-09,49
2020-08-16,48
2020-08-23,48
2020-08-30,49
2020-09-06,51
2020-09-13,52
2020-09-20,49
2020-09-27,48
2020-10-04,49
2020-10-11,53
2020-10-18,55
2020-10-25,53
2020-11-01,50
2020-11-08,49
2020-11-15,45
2020-11-22,45
2020-11-29,45
2020-12-06,44
2020-12-13,46
2020-12-20,53
2020-12-27,48
2021-01-03,47
2021-01-10,46
2021-01-17,45
2021-01-24,48
2021-01-31,47
2021-02-07,46
2021-02-14,45
2021-02-21,46
2021-02-28,45
2021-03-07,43
2021-03-14,47
2021-03-21,43
2021-03-28,44
2021-04-04,42
2021-04-11,41
2021-04-18,39
2021-04-25,37
2021-05-02,38
2021-05-09,39
2021-05-16,40
2021-05-23,41
2021-05-30,47
2021-06-06,47
2021-06-13,51
2021-06-20,54
2021-06-27,53
2021-07-04,52
2021-07-11,51
2021-07-18,53
2021-07-25,54
2021-08-01,52
2021-08-08,55
2021-08-15,52
2021-08-22,51
2021-08-29,50
2021-09-05,48
2021-09-12,49
2021-09-19,51
2021-09-26,51
2021-10-03,52
2021-10-10,46
2021-10-17,48
2021-10-24,49
2021-10-31,49
2021-11-07,43
2021-11-14,43
2021-11-21,43
2021-11-28,43
2021-12-05,100
2021-12-12,45
2021-12-19,51
2021-12-26,46
2022-01-02,49
2022-01-09,46
2022-01-16,44
2022-01-23,47
2022-01-30,52
2022-02-06,46
2022-02-13,49
2022-02-20,50
2022-02-27,47
2022-03-06,47
2022-03-13,47
2022-03-20,49
2022-03-27,47
2022-04-03,47
2022-04-10,50
2022-04-17,47
2022-04-24,47
2022-05-01,49
2022-05-08,46
2022-05-15,48
2022-05-22,49
2022-05-29,52
2022-06-05,52
2022-06-12,51
2022-06-19,51
2022-06-26,51
2022-07-03,54
2022-07-10,54
2022-07-17,54
2022-07-24,53
2022-07-31,54
2022-08-07,51
2022-08-14,49
2022-08-21,55
2022-08-28,50
2022-09-04,51
2022-09-11,57
2022-09-18,60
2022-09-25,54
2022-10-02,54
2022-10-09,59
2022-10-16,61
2022-10-23,48
2022-10-30,51
2022-11-06,50
2022-11-13,49
2022-11-20,49
2022-11-27,47
2022-12-04,49
2022-12-11,48
2022-12-18,51
2022-12-25,55
2023-01-01,50
2023-01-08,49
2023-01-15,49
2023-01-22,50
2023-01-29,48
2023-02-05,52
2023-02-12,50
2023-02-19,52
2023-02-26,49
2023-03-05,46
2023-03-12,48
2023-03-19,47
2023-03-26,50
2023-04-02,52
2023-04-09,49
2023-04-16,48
2023-04-23,47
2023-04-30,48
2023-05-07,48
2023-05-14,49
2023-05-21,46
2023-05-28,47
2023-06-04,50
2023-06-11,52
2023-06-18,51
2023-06-25,52
2023-07-02,53
2023-07-09,51
2023-07-16,53
2023-07-23,53
2023-07-30,53
2023-08-06,54
2023-08-13,52
2023-08-20,52
2023-08-27,50
2023-09-03,52
2023-09-10,49
2023-09-17,52
2023-09-24,51
2023-10-01,54
2023-10-08,53
2023-10-15,50
2023-10-22,48
2023-10-29,52
2023-11-05,57
2023-11-12,48
2023-11-19,49
2023-11-26,51
2023-12-03,49
2023-12-10,52
2023-12-17,53
2023-12-24,54
2023-12-31,50
2024-01-07,49
