,Business News
2018-12-30,56
2019-01-06,55
2019-01-13,60
2019-01-20,50
2019-01-27,60
2019-02-03,48
2019-02-10,50
2019-02-17,66
2019-02-24,58
2019-03-03,56
2019-03-10,51
2019-03-17,55
2019-03-24,53
2019-03-31,49
2019-04-07,58
2019-04-14,47
2019-04-21,56
2019-04-28,41
2019-05-05,27
2019-05-12,38
2019-05-19,37
2019-05-26,41
2019-06-02,36
2019-06-09,39
2019-06-16,45
2019-06-23,41
2019-06-30,46
2019-07-07,43
2019-07-14,42
2019-07-21,38
2019-07-28,47
2019-08-04,45
2019-08-11,38
2019-08-18,54
2019-08-25,52
2019-09-01,39
2019-09-08,50
2019-09-15,49
2019-09-22,36
2019-09-29,39
2019-10-06,49
2019-10-13,45
2019-10-20,52
2019-10-27,43
2019-11-03,59
2019-11-10,40
2019-11-17,46
2019-11-24,43
2019-12-01,47
2019-12-08,36
2019-12-15,58
2019-12-22,54
2019-12-29,60
2020-01-05,54
2020-01-12,54
2020-01-19,65
2020-01-26,61
2020-02-02,70
2020-02-09,67
2020-02-16,58
2020-02-23,77
2020-03-01,78
2020-03-08,100
2020-03-15,85
2020-03-22,48
2020-03-29,60
2020-04-05,55
2020-04-12,42
2020-04-19,46
2020-04-26,32
2020-05-03,32
2020-05-10,29
2020-05-17,40
2020-05-24,33
2020-05-31,38
2020-06-07,41
2020-06-14,28
2020-06-21,31
2020-06-28,43
2020-07-05,31
2020-07-12,40
2020-07-19,32
2020-07-26,37
2020-08-02,34
2020-08-09,34
2020-08-16,35
2020-08-23,31
2020-08-30,29
2020-09-06,31
2020-09-13,40
2020-09-20,35
2020-09-27,34
2020-10-04,38
2020-10-11,49
2020-10-18,42
2020-10-25,48
2020-11-01,53
2020-11-08,42
2020-11-15,42
2020-11-22,53
2020-11-29,43
2020-12-06,51
2020-12-13,46
2020-12-20,58
2020-12-27,57
2021-01-03,63
2021-01-10,65
2021-01-17,57
2021-01-24,59
2021-01-31,61
2021-02-07,58
2021-02-14,59
2021-02-21,63
2021-02-28,76
2021-03-07,64
2021-03-14,72
2021-03-21,65
2021-03-28,61
2021-04-04,74
2021-04-11,62
2021-04-18,58
2021-04-25,70
2021-05-02,52
2021-05-09,58
2021-05-16,51
2021-05-23,52
2021-05-30,48
2021-06-06,61
2021-06-13,48
2021-06-20,58
2021-06-27,48
2021-07-04,45
2021-07-11,59
2021-07-18,48
2021-07-25,46
2021-08-01,51
2021-08-08,60
2021-08-15,58
2021-08-22,65
2021-08-29,51
2021-09-05,50
2021-09-12,63
2021-09-19,56
2021-09-26,52
2021-10-03,69
2021-10-10,56
2021-10-17,61
2021-10-24,61
2021-10-31,62
2021-11-07,64
2021-11-14,61
2021-11-21,74
2021-11-28,68
2021-12-05,58
2021-12-12,68
2021-12-19,73
2021-12-26,69
2022-01-02,82
2022-01-09,63
2022-01-16,60
2022-01-23,77
2022-01-30,61
2022-02-06,68
2022-02-13,75
2022-02-20,78
2022-02-27,73
2022-03-06,71
2022-03-13,74
2022-03-20,59
2022-03-27,53
2022-04-03,66
2022-04-10,70
2022-04-17,70
2022-04-24,68
2022-05-01,57
2022-05-08,64
2022-05-15,61
2022-05-22,63
2022-05-29,65
2022-06-05,66
2022-06-12,64
2022-06-19,64
2022-06-26,59
2022-07-03,51
2022-07-10,57
2022-07-17,56
2022-07-24,54
2022-07-31,54
2022-08-07,61
2022-08-14,69
2022-08-21,62
2022-08-28,53
2022-09-04,56
2022-09-11,73
2022-09-18,60
2022-09-25,51
2022-10-02,63
2022-10-09,52
2022-10-16,70
2022-10-23,56
2022-10-30,53
2022-11-06,73
2022-11-13,76
2022-11-20,70
2022-11-27,64
2022-12-04,66
2022-12-11,67
2022-12-18,64
2022-12-25,71
2023-01-01,83
2023-01-08,59
2023-01-15,66
2023-01-22,69
2023-01-29,77
2023-02-05,69
2023-02-12,70
2023-02-19,78
2023-02-26,71
2023-03-05,64
2023-03-12,69
2023-03-19,68
2023-03-26,64
2023-04-02,82
2023-04-09,68
2023-04-16,47
2023-04-23,63
2023-04-30,59
2023-05-07,64
2023-05-14,56
2023-05-21,49
2023-05-28,55
2023-06-04,61
2023-06-11,53
2023-06-18,52
2023-06-25,44
2023-07-02,54
2023-07-09,54
2023-07-16,58
2023-07-23,60
2023-07-30,67
2023-08-06,63
2023-08-13,77
2023-08-20,60
2023-08-27,65
2023-09-03,69
2023-09-10,58
2023-09-17,72
2023-09-24,71
2023-10-01,58
2023-10-08,70
2023-10-15,65
2023-10-22,66
2023-10-29,70
2023-11-05,65
2023-11-12,67
2023-11-19,83
2023-11-26,72
2023-12-03,73
2023-12-10,71
2023-12-17,83
2023-12-24,84
2023-12-31,81
2024-01-07,87
