,Rail Transport
2018-12-30,70
2019-01-06,99
2019-01-13,83
2019-01-20,74
2019-01-27,67
2019-02-03,59
2019-02-10,76
2019-02-17,86
2019-02-24,78
2019-03-03,100
2019-03-10,75
2019-03-17,70
2019-03-24,83
2019-03-31,70
2019-04-07,75
2019-04-14,68
2019-04-21,65
2019-04-28,62
2019-05-05,61
2019-05-12,69
2019-05-19,65
2019-05-26,63
2019-06-02,68
2019-06-09,63
2019-06-16,53
2019-06-23,53
2019-06-30,51
2019-07-07,52
2019-07-14,48
2019-07-21,50
2019-07-28,49
2019-08-04,56
2019-08-11,57
2019-08-18,49
2019-08-25,46
2019-09-01,47
2019-09-08,41
2019-09-15,41
2019-09-22,42
2019-09-29,49
2019-10-06,46
2019-10-13,48
2019-10-20,50
2019-10-27,50
2019-11-03,48
2019-11-10,44
2019-11-17,44
2019-11-24,43
2019-12-01,44
2019-12-08,43
2019-12-15,45
2019-12-22,49
2019-12-29,45
2020-01-05,46
2020-01-12,42
2020-01-19,38
2020-01-26,38
2020-02-02,39
2020-02-09,39
2020-02-16,41
2020-02-23,40
2020-03-01,42
2020-03-08,35
2020-03-15,33
2020-03-22,12
2020-03-29,10
2020-04-05,12
2020-04-12,9
2020-04-19,7
2020-04-26,7
2020-05-03,8
2020-05-10,39
2020-05-17,25
2020-05-24,15
2020-05-31,19
2020-06-07,17
2020-06-14,14
2020-06-21,16
2020-06-28,16
2020-07-05,16
2020-07-12,14
2020-07-19,14
2020-07-26,14
2020-08-02,15
2020-08-09,19
2020-08-16,18
2020-08-23,17
2020-08-30,20
2020-09-06,24
2020-09-13,22
2020-09-20,24
2020-09-27,22
2020-10-04,23
2020-10-11,24
2020-10-18,26
2020-10-25,25
2020-11-01,25
2020-11-08,25
2020-11-15,30
2020-11-22,29
2020-11-29,32
2020-12-06,31
2020-12-13,44
2020-12-20,39
2020-12-27,35
2021-01-03,38
2021-01-10,34
2021-01-17,38
2021-01-24,32
2021-01-31,35
2021-02-07,38
2021-02-14,37
2021-02-21,39
2021-02-28,36
2021-03-07,34
2021-03-14,32
2021-03-21,35
2021-03-28,30
2021-04-04,30
2021-04-11,29
2021-04-18,24
2021-04-25,23
2021-05-02,20
2021-05-09,19
2021-05-16,17
2021-05-23,19
2021-05-30,23
2021-06-06,27
2021-06-13,28
2021-06-20,29
2021-06-27,31
2021-07-04,30
2021-07-11,33
2021-07-18,31
2021-07-25,30
2021-08-01,29
2021-08-08,34
2021-08-15,38
2021-08-22,34
2021-08-29,31
2021-09-05,33
2021-09-12,33
2021-09-19,32
2021-09-26,32
2021-10-03,32
2021-10-10,35
2021-10-17,37
2021-10-24,37
2021-10-31,34
2021-11-07,39
2021-11-14,43
2021-11-21,39
2021-11-28,35
2021-12-05,37
2021-12-12,38
2021-12-19,42
2021-12-26,34
2022-01-02,34
2022-01-09,43
2022-01-16,30
2022-01-23,30
2022-01-30,35
2022-02-06,36
2022-02-13,40
2022-02-20,38
2022-02-27,37
2022-03-06,42
2022-03-13,44
2022-03-20,45
2022-03-27,45
2022-04-03,44
2022-04-10,52
2022-04-17,48
2022-04-24,49
2022-05-01,56
2022-05-08,55
2022-05-15,56
2022-05-22,59
2022-05-29,59
2022-06-05,62
2022-06-12,59
2022-06-19,53
2022-06-26,47
2022-07-03,46
2022-07-10,44
2022-07-17,46
2022-07-24,44
2022-07-31,50
2022-08-07,54
2022-08-14,53
2022-08-21,46
2022-08-28,45
2022-09-04,47
2022-09-11,46
2022-09-18,46
2022-09-25,48
2022-10-02,47
2022-10-09,49
2022-10-16,54
2022-10-23,47
2022-10-30,50
2022-11-06,47
2022-11-13,48
2022-11-20,48
2022-11-27,48
2022-12-04,47
2022-12-11,48
2022-12-18,63
2022-12-25,55
2023-01-01,46
2023-01-08,44
2023-01-15,48
2023-01-22,45
2023-01-29,46
2023-02-05,48
2023-02-12,46
2023-02-19,49
2023-02-26,47
2023-03-05,42
2023-03-12,44
2023-03-19,43
2023-03-26,41
2023-04-02,46
2023-04-09,45
2023-04-16,43
2023-04-23,51
2023-04-30,53
2023-05-07,52
2023-05-14,53
2023-05-21,55
2023-05-28,56
2023-06-04,52
2023-06-11,50
2023-06-18,49
2023-06-25,48
2023-07-02,43
2023-07-09,44
2023-07-16,40
2023-07-23,41
2023-07-30,38
2023-08-06,44
2023-08-13,41
2023-08-20,43
2023-08-27,44
2023-09-03,42
2023-09-10,42
2023-09-17,38
2023-09-24,45
2023-10-01,43
2023-10-08,41
2023-10-15,46
2023-10-22,42
2023-10-29,43
2023-11-05,50
2023-11-12,48
2023-11-19,57
2023-11-26,52
2023-12-03,48
2023-12-10,50
2023-12-17,55
2023-12-24,56
2023-12-31,47
2024-01-07,44
