,Fast Food
2018-12-30,46
2019-01-06,34
2019-01-13,35
2019-01-20,39
2019-01-27,38
2019-02-03,40
2019-02-10,39
2019-02-17,40
2019-02-24,39
2019-03-03,35
2019-03-10,37
2019-03-17,37
2019-03-24,40
2019-03-31,40
2019-04-07,41
2019-04-14,47
2019-04-21,30
2019-04-28,34
2019-05-05,34
2019-05-12,31
2019-05-19,37
2019-05-26,40
2019-06-02,41
2019-06-09,41
2019-06-16,44
2019-06-23,42
2019-06-30,44
2019-07-07,41
2019-07-14,44
2019-07-21,46
2019-07-28,45
2019-08-04,46
2019-08-11,45
2019-08-18,43
2019-08-25,44
2019-09-01,41
2019-09-08,43
2019-09-15,38
2019-09-22,44
2019-09-29,44
2019-10-06,40
2019-10-13,40
2019-10-20,41
2019-10-27,39
2019-11-03,39
2019-11-10,41
2019-11-17,42
2019-11-24,40
2019-12-01,49
2019-12-08,48
2019-12-15,49
2019-12-22,52
2019-12-29,50
2020-01-05,40
2020-01-12,37
2020-01-19,39
2020-01-26,35
2020-02-02,38
2020-02-09,46
2020-02-16,39
2020-02-23,38
2020-03-01,34
2020-03-08,33
2020-03-15,24
2020-03-22,21
2020-03-29,43
2020-04-05,46
2020-04-12,50
2020-04-19,42
2020-04-26,41
2020-05-03,36
2020-05-10,42
2020-05-17,35
2020-05-24,36
2020-05-31,36
2020-06-07,33
2020-06-14,35
2020-06-21,34
2020-06-28,37
2020-07-05,32
2020-07-12,36
2020-07-19,40
2020-07-26,45
2020-08-02,48
2020-08-09,40
2020-08-16,38
2020-08-23,37
2020-08-30,38
2020-09-06,37
2020-09-13,31
2020-09-20,36
2020-09-27,39
2020-10-04,32
2020-10-11,36
2020-10-18,33
2020-10-25,34
2020-11-01,43
2020-11-08,39
2020-11-15,37
2020-11-22,40
2020-11-29,47
2020-12-06,45
2020-12-13,49
2020-12-20,58
2020-12-27,55
2021-01-03,37
2021-01-10,35
2021-01-17,36
2021-01-24,38
2021-01-31,35
2021-02-07,37
2021-02-14,45
2021-02-21,41
2021-02-28,39
2021-03-07,40
2021-03-14,38
2021-03-21,40
2021-03-28,41
2021-04-04,39
2021-04-11,42
2021-04-18,36
2021-04-25,40
2021-05-02,45
2021-05-09,53
2021-05-16,49
2021-05-23,51
2021-05-30,71
2021-06-06,66
2021-06-13,59
2021-06-20,56
2021-06-27,50
2021-07-04,43
2021-07-11,43
2021-07-18,50
2021-07-25,51
2021-08-01,47
2021-08-08,49
2021-08-15,52
2021-08-22,68
2021-08-29,64
2021-09-05,63
2021-09-12,58
2021-09-19,51
2021-09-26,70
2021-10-03,45
2021-10-10,42
2021-10-17,45
2021-10-24,53
2021-10-31,55
2021-11-07,53
2021-11-14,54
2021-11-21,49
2021-11-28,51
2021-12-05,56
2021-12-12,57
2021-12-19,73
2021-12-26,73
2022-01-02,63
2022-01-09,55
2022-01-16,55
2022-01-23,60
2022-01-30,66
2022-02-06,62
2022-02-13,80
2022-02-20,63
2022-02-27,60
2022-03-06,61
2022-03-13,62
2022-03-20,61
2022-03-27,57
2022-04-03,69
2022-04-10,73
2022-04-17,66
2022-04-24,68
2022-05-01,76
2022-05-08,81
2022-05-15,68
2022-05-22,66
2022-05-29,70
2022-06-05,64
2022-06-12,69
2022-06-19,70
2022-06-26,67
2022-07-03,72
2022-07-10,79
2022-07-17,70
2022-07-24,71
2022-07-31,77
2022-08-07,72
2022-08-14,67
2022-08-21,61
2022-08-28,65
2022-09-04,65
2022-09-11,60
2022-09-18,55
2022-09-25,66
2022-10-02,53
2022-10-09,61
2022-10-16,62
2022-10-23,61
2022-10-30,58
2022-11-06,59
2022-11-13,54
2022-11-20,58
2022-11-27,57
2022-12-04,67
2022-12-11,64
2022-12-18,75
2022-12-25,96
2023-01-01,62
2023-01-08,51
2023-01-15,56
2023-01-22,57
2023-01-29,57
2023-02-05,57
2023-02-12,68
2023-02-19,58
2023-02-26,51
2023-03-05,56
2023-03-12,59
2023-03-19,57
2023-03-26,56
2023-04-02,58
2023-04-09,63
2023-04-16,62
2023-04-23,63
2023-04-30,64
2023-05-07,64
2023-05-14,59
2023-05-21,67
2023-05-28,70
2023-06-04,67
2023-06-11,65
2023-06-18,68
2023-06-25,71
2023-07-02,67
2023-07-09,65
2023-07-16,59
2023-07-23,69
2023-07-30,81
2023-08-06,74
2023-08-13,69
2023-08-20,70
2023-08-27,70
2023-09-03,66
2023-09-10,62
2023-09-17,57
2023-09-24,68
2023-10-01,69
2023-10-08,60
2023-10-15,60
2023-10-22,62
2023-10-29,60
2023-11-05,76
2023-11-12,100
2023-11-19,86
2023-11-26,68
2023-12-03,86
2023-12-10,80
2023-12-17,77
2023-12-24,90
2023-12-31,72
2024-01-07,54
