,Boats & Watercraft
2018-12-30,91
2019-01-06,58
2019-01-13,65
2019-01-20,88
2019-01-27,77
2019-02-03,72
2019-02-10,71
2019-02-17,94
2019-02-24,67
2019-03-03,55
2019-03-10,65
2019-03-17,55
2019-03-24,84
2019-03-31,49
2019-04-07,66
2019-04-14,62
2019-04-21,49
2019-04-28,82
2019-05-05,48
2019-05-12,72
2019-05-19,36
2019-05-26,67
2019-06-02,53
2019-06-09,58
2019-06-16,33
2019-06-23,69
2019-06-30,63
2019-07-07,65
2019-07-14,47
2019-07-21,77
2019-07-28,73
2019-08-04,73
2019-08-11,49
2019-08-18,66
2019-08-25,43
2019-09-01,64
2019-09-08,67
2019-09-15,79
2019-09-22,42
2019-09-29,55
2019-10-06,67
2019-10-13,62
2019-10-20,72
2019-10-27,46
2019-11-03,54
2019-11-10,49
2019-11-17,63
2019-11-24,55
2019-12-01,82
2019-12-08,74
2019-12-15,41
2019-12-22,72
2019-12-29,86
2020-01-05,70
2020-01-12,61
2020-01-19,71
2020-01-26,59
2020-02-02,69
2020-02-09,73
2020-02-16,63
2020-02-23,60
2020-03-01,56
2020-03-08,47
2020-03-15,46
2020-03-22,35
2020-03-29,57
2020-04-05,44
2020-04-12,29
2020-04-19,31
2020-04-26,43
2020-05-03,40
2020-05-10,19
2020-05-17,44
2020-05-24,44
2020-05-31,20
2020-06-07,33
2020-06-14,30
2020-06-21,31
2020-06-28,51
2020-07-05,36
2020-07-12,51
2020-07-19,56
2020-07-26,38
2020-08-02,48
2020-08-09,31
2020-08-16,47
2020-08-23,44
2020-08-30,38
2020-09-06,30
2020-09-13,55
2020-09-20,37
2020-09-27,51
2020-10-04,52
2020-10-11,26
2020-10-18,38
2020-10-25,37
2020-11-01,36
2020-11-08,55
2020-11-15,54
2020-11-22,47
2020-11-29,47
2020-12-06,48
2020-12-13,65
2020-12-20,69
2020-12-27,70
2021-01-03,68
2021-01-10,89
2021-01-17,72
2021-01-24,81
2021-01-31,80
2021-02-07,79
2021-02-14,81
2021-02-21,64
2021-02-28,69
2021-03-07,64
2021-03-14,64
2021-03-21,70
2021-03-28,67
2021-04-04,63
2021-04-11,59
2021-04-18,47
2021-04-25,46
2021-05-02,42
2021-05-09,46
2021-05-16,56
2021-05-23,54
2021-05-30,59
2021-06-06,31
2021-06-13,47
2021-06-20,69
2021-06-27,55
2021-07-04,52
2021-07-11,61
2021-07-18,61
2021-07-25,79
2021-08-01,58
2021-08-08,69
2021-08-15,64
2021-08-22,69
2021-08-29,50
2021-09-05,71
2021-09-12,56
2021-09-19,71
2021-09-26,65
2021-10-03,53
2021-10-10,59
2021-10-17,62
2021-10-24,57
2021-10-31,70
2021-11-07,76
2021-11-14,75
2021-11-21,68
2021-11-28,81
2021-12-05,64
2021-12-12,75
2021-12-19,100
2021-12-26,88
2022-01-02,88
2022-01-09,76
2022-01-16,88
2022-01-23,67
2022-01-30,67
2022-02-06,81
2022-02-13,66
2022-02-20,75
2022-02-27,89
2022-03-06,66
2022-03-13,70
2022-03-20,79
2022-03-27,67
2022-04-03,57
2022-04-10,65
2022-04-17,62
2022-04-24,39
2022-05-01,62
2022-05-08,74
2022-05-15,51
2022-05-22,59
2022-05-29,81
2022-06-05,47
2022-06-12,60
2022-06-19,57
2022-06-26,55
2022-07-03,73
2022-07-10,46
2022-07-17,69
2022-07-24,37
2022-07-31,54
2022-08-07,80
2022-08-14,73
2022-08-21,58
2022-08-28,49
2022-09-04,74
2022-09-11,55
2022-09-18,47
2022-09-25,67
2022-10-02,65
2022-10-09,37
2022-10-16,62
2022-10-23,45
2022-10-30,61
2022-11-06,53
2022-11-13,61
2022-11-20,51
2022-11-27,61
2022-12-04,68
2022-12-11,55
2022-12-18,70
2022-12-25,57
2023-01-01,72
2023-01-08,72
2023-01-15,61
2023-01-22,72
2023-01-29,75
2023-02-05,68
2023-02-12,68
2023-02-19,60
2023-02-26,63
2023-03-05,66
2023-03-12,73
2023-03-19,65
2023-03-26,58
2023-04-02,59
2023-04-09,58
2023-04-16,56
2023-04-23,67
2023-04-30,57
2023-05-07,56
2023-05-14,70
2023-05-21,65
2023-05-28,66
2023-06-04,63
2023-06-11,57
2023-06-18,56
2023-06-25,64
2023-07-02,56
2023-07-09,74
2023-07-16,73
2023-07-23,56
2023-07-30,45
2023-08-06,67
2023-08-13,73
2023-08-20,70
2023-08-27,85
2023-09-03,59
2023-09-10,67
2023-09-17,58
2023-09-24,45
2023-10-01,57
2023-10-08,72
2023-10-15,69
2023-10-22,73
2023-10-29,69
2023-11-05,75
2023-11-12,71
2023-11-19,81
2023-11-26,60
2023-12-03,81
2023-12-10,84
2023-12-17,81
2023-12-24,66
2023-12-31,73
2024-01-07,77
