,Fitness
2018-12-30,46
2019-01-06,57
2019-01-13,59
2019-01-20,56
2019-01-27,66
2019-02-03,69
2019-02-10,58
2019-02-17,68
2019-02-24,58
2019-03-03,61
2019-03-10,63
2019-03-17,69
2019-03-24,59
2019-03-31,52
2019-04-07,54
2019-04-14,64
2019-04-21,53
2019-04-28,41
2019-05-05,47
2019-05-12,48
2019-05-19,41
2019-05-26,38
2019-06-02,47
2019-06-09,61
2019-06-16,62
2019-06-23,68
2019-06-30,65
2019-07-07,48
2019-07-14,75
2019-07-21,55
2019-07-28,56
2019-08-04,50
2019-08-11,53
2019-08-18,54
2019-08-25,59
2019-09-01,51
2019-09-08,57
2019-09-15,54
2019-09-22,45
2019-09-29,60
2019-10-06,54
2019-10-13,58
2019-10-20,56
2019-10-27,52
2019-11-03,50
2019-11-10,50
2019-11-17,46
2019-11-24,49
2019-12-01,40
2019-12-08,44
2019-12-15,51
2019-12-22,65
2019-12-29,56
2020-01-05,57
2020-01-12,59
2020-01-19,58
2020-01-26,59
2020-02-02,57
2020-02-09,68
2020-02-16,65
2020-02-23,59
2020-03-01,57
2020-03-08,59
2020-03-15,70
2020-03-22,64
2020-03-29,53
2020-04-05,55
2020-04-12,41
2020-04-19,49
2020-04-26,45
2020-05-03,49
2020-05-10,53
2020-05-17,53
2020-05-24,61
2020-05-31,56
2020-06-07,59
2020-06-14,55
2020-06-21,57
2020-06-28,56
2020-07-05,47
2020-07-12,58
2020-07-19,47
2020-07-26,32
2020-08-02,62
2020-08-09,60
2020-08-16,56
2020-08-23,47
2020-08-30,44
2020-09-06,47
2020-09-13,56
2020-09-20,40
2020-09-27,50
2020-10-04,53
2020-10-11,50
2020-10-18,49
2020-10-25,73
2020-11-01,54
2020-11-08,52
2020-11-15,56
2020-11-22,59
2020-11-29,60
2020-12-06,54
2020-12-13,51
2020-12-20,66
2020-12-27,63
2021-01-03,57
2021-01-10,69
2021-01-17,62
2021-01-24,57
2021-01-31,59
2021-02-07,63
2021-02-14,55
2021-02-21,59
2021-02-28,65
2021-03-07,54
2021-03-14,64
2021-03-21,59
2021-03-28,63
2021-04-04,60
2021-04-11,53
2021-04-18,52
2021-04-25,43
2021-05-02,48
2021-05-09,54
2021-05-16,49
2021-05-23,66
2021-05-30,54
2021-06-06,64
2021-06-13,58
2021-06-20,71
2021-06-27,63
2021-07-04,63
2021-07-11,50
2021-07-18,57
2021-07-25,54
2021-08-01,64
2021-08-08,58
2021-08-15,60
2021-08-22,66
2021-08-29,52
2021-09-05,62
2021-09-12,55
2021-09-19,49
2021-09-26,47
2021-10-03,55
2021-10-10,54
2021-10-17,53
2021-10-24,57
2021-10-31,46
2021-11-07,59
2021-11-14,61
2021-11-21,67
2021-11-28,64
2021-12-05,57
2021-12-12,59
2021-12-19,58
2021-12-26,70
2022-01-02,63
2022-01-09,54
2022-01-16,57
2022-01-23,57
2022-01-30,61
2022-02-06,53
2022-02-13,60
2022-02-20,67
2022-02-27,65
2022-03-06,52
2022-03-13,56
2022-03-20,59
2022-03-27,53
2022-04-03,45
2022-04-10,53
2022-04-17,46
2022-04-24,45
2022-05-01,46
2022-05-08,56
2022-05-15,54
2022-05-22,59
2022-05-29,60
2022-06-05,65
2022-06-12,64
2022-06-19,100
2022-06-26,46
2022-07-03,51
2022-07-10,50
2022-07-17,53
2022-07-24,59
2022-07-31,54
2022-08-07,68
2022-08-14,54
2022-08-21,61
2022-08-28,55
2022-09-04,63
2022-09-11,56
2022-09-18,55
2022-09-25,44
2022-10-02,52
2022-10-09,63
2022-10-16,54
2022-10-23,53
2022-10-30,62
2022-11-06,59
2022-11-13,53
2022-11-20,53
2022-11-27,54
2022-12-04,63
2022-12-11,62
2022-12-18,53
2022-12-25,67
2023-01-01,64
2023-01-08,62
2023-01-15,59
2023-01-22,58
2023-01-29,61
2023-02-05,68
2023-02-12,70
2023-02-19,62
2023-02-26,70
2023-03-05,54
2023-03-12,57
2023-03-19,50
2023-03-26,53
2023-04-02,55
2023-04-09,58
2023-04-16,60
2023-04-23,49
2023-04-30,54
2023-05-07,58
2023-05-14,57
2023-05-21,58
2023-05-28,57
2023-06-04,62
2023-06-11,63
2023-06-18,57
2023-06-25,45
2023-07-02,58
2023-07-09,54
2023-07-16,56
2023-07-23,57
2023-07-30,58
2023-08-06,57
2023-08-13,69
2023-08-20,59
2023-08-27,58
2023-09-03,65
2023-09-10,57
2023-09-17,68
2023-09-24,65
2023-10-01,59
2023-10-08,62
2023-10-15,52
2023-10-22,61
2023-10-29,67
2023-11-05,55
2023-11-12,70
2023-11-19,75
2023-11-26,72
2023-12-03,67
2023-12-10,67
2023-12-17,57
2023-12-24,59
2023-12-31,63
2024-01-07,83
