,Business Operations
2018-12-30,49
2019-01-06,48
2019-01-13,66
2019-01-20,58
2019-01-27,57
2019-02-03,73
2019-02-10,72
2019-02-17,77
2019-02-24,80
2019-03-03,83
2019-03-10,66
2019-03-17,87
2019-03-24,76
2019-03-31,71
2019-04-07,65
2019-04-14,78
2019-04-21,79
2019-04-28,66
2019-05-05,52
2019-05-12,63
2019-05-19,61
2019-05-26,57
2019-06-02,45
2019-06-09,76
2019-06-16,74
2019-06-23,72
2019-06-30,70
2019-07-07,69
2019-07-14,74
2019-07-21,87
2019-07-28,73
2019-08-04,68
2019-08-11,46
2019-08-18,65
2019-08-25,74
2019-09-01,59
2019-09-08,80
2019-09-15,72
2019-09-22,80
2019-09-29,71
2019-10-06,74
2019-10-13,88
2019-10-20,89
2019-10-27,68
2019-11-03,76
2019-11-10,62
2019-11-17,86
2019-11-24,71
2019-12-01,67
2019-12-08,65
2019-12-15,56
2019-12-22,65
2019-12-29,56
2020-01-05,62
2020-01-12,68
2020-01-19,94
2020-01-26,84
2020-02-02,82
2020-02-09,81
2020-02-16,86
2020-02-23,85
2020-03-01,76
2020-03-08,70
2020-03-15,67
2020-03-22,54
2020-03-29,54
2020-04-05,53
2020-04-12,42
2020-04-19,27
2020-04-26,28
2020-05-03,38
2020-05-10,38
2020-05-17,39
2020-05-24,42
2020-05-31,55
2020-06-07,55
2020-06-14,54
2020-06-21,60
2020-06-28,60
2020-07-05,59
2020-07-12,73
2020-07-19,76
2020-07-26,50
2020-08-02,83
2020-08-09,74
2020-08-16,62
2020-08-23,51
2020-08-30,49
2020-09-06,57
2020-09-13,56
2020-09-20,57
2020-09-27,57
2020-10-04,70
2020-10-11,63
2020-10-18,55
2020-10-25,72
2020-11-01,73
2020-11-08,72
2020-11-15,65
2020-11-22,64
2020-11-29,54
2020-12-06,65
2020-12-13,67
2020-12-20,54
2020-12-27,64
2021-01-03,62
2021-01-10,64
2021-01-17,84
2021-01-24,79
2021-01-31,80
2021-02-07,69
2021-02-14,76
2021-02-21,84
2021-02-28,93
2021-03-07,80
2021-03-14,91
2021-03-21,76
2021-03-28,88
2021-04-04,78
2021-04-11,59
2021-04-18,75
2021-04-25,63
2021-05-02,63
2021-05-09,54
2021-05-16,74
2021-05-23,67
2021-05-30,66
2021-06-06,79
2021-06-13,72
2021-06-20,61
2021-06-27,65
2021-07-04,59
2021-07-11,71
2021-07-18,45
2021-07-25,53
2021-08-01,68
2021-08-08,77
2021-08-15,78
2021-08-22,77
2021-08-29,80
2021-09-05,75
2021-09-12,69
2021-09-19,74
2021-09-26,78
2021-10-03,76
2021-10-10,81
2021-10-17,71
2021-10-24,88
2021-10-31,90
2021-11-07,74
2021-11-14,96
2021-11-21,100
2021-11-28,81
2021-12-05,89
2021-12-12,82
2021-12-19,82
2021-12-26,67
2022-01-02,73
2022-01-09,80
2022-01-16,72
2022-01-23,80
2022-01-30,82
2022-02-06,83
2022-02-13,95
2022-02-20,96
2022-02-27,88
2022-03-06,83
2022-03-13,86
2022-03-20,96
2022-03-27,88
2022-04-03,77
2022-04-10,90
2022-04-17,94
2022-04-24,89
2022-05-01,68
2022-05-08,98
2022-05-15,87
2022-05-22,94
2022-05-29,81
2022-06-05,87
2022-06-12,91
2022-06-19,85
2022-06-26,83
2022-07-03,63
2022-07-10,60
2022-07-17,71
2022-07-24,63
2022-07-31,84
2022-08-07,80
2022-08-14,84
2022-08-21,86
2022-08-28,85
2022-09-04,82
2022-09-11,92
2022-09-18,91
2022-09-25,83
2022-10-02,79
2022-10-09,82
2022-10-16,88
2022-10-23,96
2022-10-30,75
2022-11-06,84
2022-11-13,81
2022-11-20,80
2022-11-27,78
2022-12-04,79
2022-12-11,74
2022-12-18,82
2022-12-25,72
2023-01-01,63
2023-01-08,71
2023-01-15,75
2023-01-22,80
2023-01-29,82
2023-02-05,74
2023-02-12,86
2023-02-19,87
2023-02-26,84
2023-03-05,78
2023-03-12,84
2023-03-19,69
2023-03-26,64
2023-04-02,65
2023-04-09,73
2023-04-16,58
2023-04-23,68
2023-04-30,76
2023-05-07,72
2023-05-14,90
2023-05-21,82
2023-05-28,70
2023-06-04,79
2023-06-11,75
2023-06-18,78
2023-06-25,39
2023-07-02,55
2023-07-09,66
2023-07-16,71
2023-07-23,63
2023-07-30,71
2023-08-06,86
2023-08-13,79
2023-08-20,86
2023-08-27,92
2023-09-03,81
2023-09-10,74
2023-09-17,82
2023-09-24,70
2023-10-01,70
2023-10-08,76
2023-10-15,74
2023-10-22,79
2023-10-29,82
2023-11-05,81
2023-11-12,84
2023-11-19,95
2023-11-26,96
2023-12-03,86
2023-12-10,88
2023-12-17,93
2023-12-24,83
2023-12-31,59
2024-01-07,79
