,Aviation
2018-12-30,58
2019-01-06,60
2019-01-13,58
2019-01-20,59
2019-01-27,59
2019-02-03,62
2019-02-10,64
2019-02-17,65
2019-02-24,100
2019-03-03,83
2019-03-10,93
2019-03-17,75
2019-03-24,78
2019-03-31,59
2019-04-07,55
2019-04-14,65
2019-04-21,59
2019-04-28,52
2019-05-05,60
2019-05-12,64
2019-05-19,55
2019-05-26,74
2019-06-02,73
2019-06-09,73
2019-06-16,72
2019-06-23,76
2019-06-30,68
2019-07-07,72
2019-07-14,78
2019-07-21,77
2019-07-28,74
2019-08-04,69
2019-08-11,62
2019-08-18,74
2019-08-25,75
2019-09-01,70
2019-09-08,70
2019-09-15,71
2019-09-22,69
2019-09-29,59
2019-10-06,54
2019-10-13,64
2019-10-20,64
2019-10-27,60
2019-11-03,65
2019-11-10,65
2019-11-17,74
2019-11-24,66
2019-12-01,63
2019-12-08,64
2019-12-15,68
2019-12-22,65
2019-12-29,64
2020-01-05,63
2020-01-12,59
2020-01-19,57
2020-01-26,58
2020-02-02,55
2020-02-09,56
2020-02-16,58
2020-02-23,56
2020-03-01,56
2020-03-08,47
2020-03-15,51
2020-03-22,35
2020-03-29,35
2020-04-05,38
2020-04-12,35
2020-04-19,35
2020-04-26,36
2020-05-03,40
2020-05-10,44
2020-05-17,52
2020-05-24,55
2020-05-31,59
2020-06-07,54
2020-06-14,53
2020-06-21,55
2020-06-28,61
2020-07-05,48
2020-07-12,48
2020-07-19,52
2020-07-26,60
2020-08-02,62
2020-08-09,60
2020-08-16,55
2020-08-23,57
2020-08-30,50
2020-09-06,51
2020-09-13,55
2020-09-20,52
2020-09-27,49
2020-10-04,47
2020-10-11,43
2020-10-18,44
2020-10-25,43
2020-11-01,38
2020-11-08,33
2020-11-15,42
2020-11-22,43
2020-11-29,48
2020-12-06,46
2020-12-13,50
2020-12-20,53
2020-12-27,53
2021-01-03,48
2021-01-10,46
2021-01-17,50
2021-01-24,52
2021-01-31,50
2021-02-07,48
2021-02-14,44
2021-02-21,48
2021-02-28,46
2021-03-07,46
2021-03-14,46
2021-03-21,46
2021-03-28,46
2021-04-04,42
2021-04-11,47
2021-04-18,42
2021-04-25,41
2021-05-02,43
2021-05-09,44
2021-05-16,43
2021-05-23,46
2021-05-30,50
2021-06-06,49
2021-06-13,52
2021-06-20,50
2021-06-27,51
2021-07-04,51
2021-07-11,51
2021-07-18,48
2021-07-25,50
2021-08-01,46
2021-08-08,49
2021-08-15,50
2021-08-22,44
2021-08-29,43
2021-09-05,46
2021-09-12,44
2021-09-19,47
2021-09-26,46
2021-10-03,48
2021-10-10,39
2021-10-17,37
2021-10-24,36
2021-10-31,30
2021-11-07,41
2021-11-14,40
2021-11-21,42
2021-11-28,43
2021-12-05,46
2021-12-12,43
2021-12-19,41
2021-12-26,40
2022-01-02,46
2022-01-09,44
2022-01-16,42
2022-01-23,48
2022-01-30,49
2022-02-06,51
2022-02-13,54
2022-02-20,58
2022-02-27,73
2022-03-06,56
2022-03-13,52
2022-03-20,60
2022-03-27,54
2022-04-03,51
2022-04-10,51
2022-04-17,53
2022-04-24,57
2022-05-01,57
2022-05-08,55
2022-05-15,66
2022-05-22,61
2022-05-29,58
2022-06-05,61
2022-06-12,59
2022-06-19,64
2022-06-26,59
2022-07-03,61
2022-07-10,64
2022-07-17,61
2022-07-24,60
2022-07-31,55
2022-08-07,56
2022-08-14,60
2022-08-21,57
2022-08-28,53
2022-09-04,50
2022-09-11,56
2022-09-18,59
2022-09-25,51
2022-10-02,54
2022-10-09,56
2022-10-16,52
2022-10-23,45
2022-10-30,52
2022-11-06,50
2022-11-13,52
2022-11-20,51
2022-11-27,52
2022-12-04,56
2022-12-11,58
2022-12-18,60
2022-12-25,60
2023-01-01,58
2023-01-08,54
2023-01-15,64
2023-01-22,54
2023-01-29,60
2023-02-05,58
2023-02-12,55
2023-02-19,57
2023-02-26,57
2023-03-05,50
2023-03-12,56
2023-03-19,53
2023-03-26,50
2023-04-02,51
2023-04-09,49
2023-04-16,51
2023-04-23,51
2023-04-30,51
2023-05-07,52
2023-05-14,54
2023-05-21,53
2023-05-28,52
2023-06-04,55
2023-06-11,58
2023-06-18,62
2023-06-25,57
2023-07-02,57
2023-07-09,56
2023-07-16,67
2023-07-23,63
2023-07-30,60
2023-08-06,59
2023-08-13,54
2023-08-20,57
2023-08-27,56
2023-09-03,52
2023-09-10,68
2023-09-17,53
2023-09-24,54
2023-10-01,54
2023-10-08,53
2023-10-15,51
2023-10-22,47
2023-10-29,62
2023-11-05,50
2023-11-12,48
2023-11-19,53
2023-11-26,54
2023-12-03,52
2023-12-10,55
2023-12-17,56
2023-12-24,58
2023-12-31,58
2024-01-07,66
