,Autos & Vehicles
2018-12-30,71
2019-01-06,66
2019-01-13,67
2019-01-20,69
2019-01-27,68
2019-02-03,66
2019-02-10,68
2019-02-17,68
2019-02-24,63
2019-03-03,67
2019-03-10,71
2019-03-17,70
2019-03-24,72
2019-03-31,68
2019-04-07,66
2019-04-14,72
2019-04-21,66
2019-04-28,65
2019-05-05,68
2019-05-12,69
2019-05-19,69
2019-05-26,74
2019-06-02,73
2019-06-09,68
2019-06-16,68
2019-06-23,75
2019-06-30,67
2019-07-07,70
2019-07-14,73
2019-07-21,73
2019-07-28,71
2019-08-04,68
2019-08-11,68
2019-08-18,75
2019-08-25,73
2019-09-01,82
2019-09-08,88
2019-09-15,88
2019-09-22,82
2019-09-29,74
2019-10-06,69
2019-10-13,70
2019-10-20,68
2019-10-27,64
2019-11-03,67
2019-11-10,66
2019-11-17,66
2019-11-24,65
2019-12-01,62
2019-12-08,61
2019-12-15,64
2019-12-22,72
2019-12-29,70
2020-01-05,68
2020-01-12,66
2020-01-19,67
2020-01-26,64
2020-02-02,67
2020-02-09,65
2020-02-16,67
2020-02-23,64
2020-03-01,64
2020-03-08,61
2020-03-15,62
2020-03-22,42
2020-03-29,46
2020-04-05,42
2020-04-12,41
2020-04-19,43
2020-04-26,41
2020-05-03,44
2020-05-10,47
2020-05-17,53
2020-05-24,56
2020-05-31,62
2020-06-07,63
2020-06-14,64
2020-06-21,70
2020-06-28,69
2020-07-05,71
2020-07-12,71
2020-07-19,73
2020-07-26,73
2020-08-02,74
2020-08-09,77
2020-08-16,82
2020-08-23,74
2020-08-30,78
2020-09-06,81
2020-09-13,79
2020-09-20,83
2020-09-27,86
2020-10-04,83
2020-10-11,83
2020-10-18,84
2020-10-25,89
2020-11-01,72
2020-11-08,73
2020-11-15,72
2020-11-22,73
2020-11-29,74
2020-12-06,73
2020-12-13,79
2020-12-20,87
2020-12-27,80
2021-01-03,78
2021-01-10,73
2021-01-17,76
2021-01-24,75
2021-01-31,77
2021-02-07,80
2021-02-14,74
2021-02-21,75
2021-02-28,74
2021-03-07,72
2021-03-14,75
2021-03-21,70
2021-03-28,72
2021-04-04,72
2021-04-11,75
2021-04-18,62
2021-04-25,68
2021-05-02,58
2021-05-09,64
2021-05-16,63
2021-05-23,64
2021-05-30,69
2021-06-06,73
2021-06-13,77
2021-06-20,78
2021-06-27,80
2021-07-04,81
2021-07-11,83
2021-07-18,87
2021-07-25,83
2021-08-01,80
2021-08-08,83
2021-08-15,82
2021-08-22,74
2021-08-29,76
2021-09-05,75
2021-09-12,74
2021-09-19,75
2021-09-26,74
2021-10-03,79
2021-10-10,68
2021-10-17,68
2021-10-24,67
2021-10-31,69
2021-11-07,66
2021-11-14,66
2021-11-21,67
2021-11-28,63
2021-12-05,68
2021-12-12,68
2021-12-19,71
2021-12-26,71
2022-01-02,77
2022-01-09,68
2022-01-16,71
2022-01-23,75
2022-01-30,80
2022-02-06,71
2022-02-13,81
2022-02-20,81
2022-02-27,82
2022-03-06,78
2022-03-13,79
2022-03-20,84
2022-03-27,90
2022-04-03,88
2022-04-10,85
2022-04-17,81
2022-04-24,90
2022-05-01,83
2022-05-08,86
2022-05-15,81
2022-05-22,100
2022-05-29,86
2022-06-05,84
2022-06-12,88
2022-06-19,89
2022-06-26,93
2022-07-03,88
2022-07-10,87
2022-07-17,91
2022-07-24,88
2022-07-31,94
2022-08-07,93
2022-08-14,91
2022-08-21,98
2022-08-28,88
2022-09-04,88
2022-09-11,89
2022-09-18,91
2022-09-25,93
2022-10-02,89
2022-10-09,89
2022-10-16,84
2022-10-23,85
2022-10-30,87
2022-11-06,84
2022-11-13,84
2022-11-20,82
2022-11-27,86
2022-12-04,83
2022-12-11,83
2022-12-18,88
2022-12-25,94
2023-01-01,87
2023-01-08,88
2023-01-15,88
2023-01-22,87
2023-01-29,87
2023-02-05,87
2023-02-12,90
2023-02-19,93
2023-02-26,87
2023-03-05,83
2023-03-12,87
2023-03-19,94
2023-03-26,88
2023-04-02,91
2023-04-09,87
2023-04-16,85
2023-04-23,89
2023-04-30,88
2023-05-07,84
2023-05-14,87
2023-05-21,84
2023-05-28,85
2023-06-04,88
2023-06-11,88
2023-06-18,94
2023-06-25,95
2023-07-02,93
2023-07-09,92
2023-07-16,91
2023-07-23,93
2023-07-30,92
2023-08-06,91
2023-08-13,92
2023-08-20,85
2023-08-27,90
2023-09-03,88
2023-09-10,83
2023-09-17,87
2023-09-24,84
2023-10-01,83
2023-10-08,85
2023-10-15,83
2023-10-22,80
2023-10-29,79
2023-11-05,81
2023-11-12,77
2023-11-19,80
2023-11-26,87
2023-12-03,86
2023-12-10,84
2023-12-17,88
2023-12-24,99
2023-12-31,91
2024-01-07,84
