,Jobs
2018-12-30,57
2019-01-06,69
2019-01-13,62
2019-01-20,66
2019-01-27,68
2019-02-03,62
2019-02-10,67
2019-02-17,59
2019-02-24,61
2019-03-03,56
2019-03-10,59
2019-03-17,57
2019-03-24,65
2019-03-31,57
2019-04-07,58
2019-04-14,67
2019-04-21,55
2019-04-28,47
2019-05-05,43
2019-05-12,44
2019-05-19,44
2019-05-26,46
2019-06-02,46
2019-06-09,63
2019-06-16,63
2019-06-23,67
2019-06-30,66
2019-07-07,65
2019-07-14,64
2019-07-21,60
2019-07-28,55
2019-08-04,48
2019-08-11,46
2019-08-18,66
2019-08-25,57
2019-09-01,57
2019-09-08,61
2019-09-15,60
2019-09-22,64
2019-09-29,68
2019-10-06,64
2019-10-13,68
2019-10-20,66
2019-10-27,53
2019-11-03,54
2019-11-10,56
2019-11-17,64
2019-11-24,54
2019-12-01,50
2019-12-08,59
2019-12-15,69
2019-12-22,70
2019-12-29,60
2020-01-05,69
2020-01-12,74
2020-01-19,70
2020-01-26,67
2020-02-02,65
2020-02-09,69
2020-02-16,71
2020-02-23,68
2020-03-01,57
2020-03-08,48
2020-03-15,37
2020-03-22,31
2020-03-29,33
2020-04-05,35
2020-04-12,29
2020-04-19,17
2020-04-26,15
2020-05-03,23
2020-05-10,26
2020-05-17,30
2020-05-24,25
2020-05-31,34
2020-06-07,34
2020-06-14,36
2020-06-21,37
2020-06-28,46
2020-07-05,49
2020-07-12,45
2020-07-19,45
2020-07-26,35
2020-08-02,48
2020-08-09,60
2020-08-16,45
2020-08-23,42
2020-08-30,47
2020-09-06,56
2020-09-13,53
2020-09-20,45
2020-09-27,60
2020-10-04,59
2020-10-11,60
2020-10-18,58
2020-10-25,67
2020-11-01,69
2020-11-08,52
2020-11-15,62
2020-11-22,62
2020-11-29,58
2020-12-06,69
2020-12-13,65
2020-12-20,69
2020-12-27,80
2021-01-03,81
2021-01-10,85
2021-01-17,77
2021-01-24,87
2021-01-31,82
2021-02-07,79
2021-02-14,78
2021-02-21,80
2021-02-28,91
2021-03-07,82
2021-03-14,75
2021-03-21,70
2021-03-28,77
2021-04-04,67
2021-04-11,47
2021-04-18,54
2021-04-25,52
2021-05-02,52
2021-05-09,50
2021-05-16,53
2021-05-23,52
2021-05-30,62
2021-06-06,57
2021-06-13,54
2021-06-20,54
2021-06-27,56
2021-07-04,64
2021-07-11,54
2021-07-18,42
2021-07-25,47
2021-08-01,60
2021-08-08,61
2021-08-15,70
2021-08-22,72
2021-08-29,71
2021-09-05,67
2021-09-12,73
2021-09-19,70
2021-09-26,68
2021-10-03,57
2021-10-10,61
2021-10-17,57
2021-10-24,70
2021-10-31,64
2021-11-07,67
2021-11-14,66
2021-11-21,68
2021-11-28,64
2021-12-05,64
2021-12-12,69
2021-12-19,71
2021-12-26,65
2022-01-02,71
2022-01-09,58
2022-01-16,64
2022-01-23,69
2022-01-30,68
2022-02-06,69
2022-02-13,71
2022-02-20,60
2022-02-27,72
2022-03-06,65
2022-03-13,58
2022-03-20,58
2022-03-27,56
2022-04-03,53
2022-04-10,56
2022-04-17,58
2022-04-24,56
2022-05-01,52
2022-05-08,63
2022-05-15,72
2022-05-22,64
2022-05-29,72
2022-06-05,74
2022-06-12,69
2022-06-19,70
2022-06-26,69
2022-07-03,59
2022-07-10,47
2022-07-17,66
2022-07-24,59
2022-07-31,76
2022-08-07,76
2022-08-14,77
2022-08-21,75
2022-08-28,74
2022-09-04,72
2022-09-11,74
2022-09-18,77
2022-09-25,71
2022-10-02,75
2022-10-09,66
2022-10-16,71
2022-10-23,65
2022-10-30,72
2022-11-06,70
2022-11-13,77
2022-11-20,70
2022-11-27,62
2022-12-04,68
2022-12-11,64
2022-12-18,68
2022-12-25,65
2023-01-01,72
2023-01-08,70
2023-01-15,77
2023-01-22,84
2023-01-29,81
2023-02-05,67
2023-02-12,79
2023-02-19,83
2023-02-26,74
2023-03-05,73
2023-03-12,69
2023-03-19,62
2023-03-26,65
2023-04-02,72
2023-04-09,63
2023-04-16,58
2023-04-23,66
2023-04-30,74
2023-05-07,83
2023-05-14,69
2023-05-21,71
2023-05-28,79
2023-06-04,79
2023-06-11,72
2023-06-18,76
2023-06-25,49
2023-07-02,69
2023-07-09,75
2023-07-16,73
2023-07-23,70
2023-07-30,75
2023-08-06,93
2023-08-13,100
2023-08-20,87
2023-08-27,93
2023-09-03,75
2023-09-10,69
2023-09-17,80
2023-09-24,72
2023-10-01,79
2023-10-08,80
2023-10-15,67
2023-10-22,84
2023-10-29,80
2023-11-05,83
2023-11-12,70
2023-11-19,88
2023-11-26,91
2023-12-03,90
2023-12-10,81
2023-12-17,87
2023-12-24,86
2023-12-31,86
2024-01-07,88
