,Mail & Package Delivery
2018-12-30,39
2019-01-06,67
2019-01-13,50
2019-01-20,54
2019-01-27,50
2019-02-03,48
2019-02-10,43
2019-02-17,57
2019-02-24,62
2019-03-03,59
2019-03-10,51
2019-03-17,67
2019-03-24,51
2019-03-31,53
2019-04-07,66
2019-04-14,65
2019-04-21,50
2019-04-28,45
2019-05-05,50
2019-05-12,62
2019-05-19,48
2019-05-26,66
2019-06-02,51
2019-06-09,58
2019-06-16,58
2019-06-23,59
2019-06-30,57
2019-07-07,63
2019-07-14,55
2019-07-21,57
2019-07-28,53
2019-08-04,47
2019-08-11,37
2019-08-18,54
2019-08-25,39
2019-09-01,47
2019-09-08,58
2019-09-15,35
2019-09-22,58
2019-09-29,41
2019-10-06,59
2019-10-13,57
2019-10-20,58
2019-10-27,49
2019-11-03,56
2019-11-10,45
2019-11-17,57
2019-11-24,54
2019-12-01,56
2019-12-08,69
2019-12-15,79
2019-12-22,62
2019-12-29,53
2020-01-05,60
2020-01-12,47
2020-01-19,47
2020-01-26,44
2020-02-02,46
2020-02-09,66
2020-02-16,43
2020-02-23,47
2020-03-01,54
2020-03-08,54
2020-03-15,62
2020-03-22,41
2020-03-29,24
2020-04-05,39
2020-04-12,29
2020-04-19,20
2020-04-26,17
2020-05-03,25
2020-05-10,21
2020-05-17,24
2020-05-24,23
2020-05-31,31
2020-06-07,37
2020-06-14,33
2020-06-21,29
2020-06-28,45
2020-07-05,52
2020-07-12,28
2020-07-19,38
2020-07-26,38
2020-08-02,45
2020-08-09,62
2020-08-16,58
2020-08-23,38
2020-08-30,47
2020-09-06,46
2020-09-13,59
2020-09-20,49
2020-09-27,46
2020-10-04,55
2020-10-11,54
2020-10-18,51
2020-10-25,55
2020-11-01,54
2020-11-08,56
2020-11-15,42
2020-11-22,43
2020-11-29,60
2020-12-06,65
2020-12-13,68
2020-12-20,72
2020-12-27,59
2021-01-03,56
2021-01-10,67
2021-01-17,63
2021-01-24,53
2021-01-31,76
2021-02-07,57
2021-02-14,58
2021-02-21,62
2021-02-28,66
2021-03-07,84
2021-03-14,83
2021-03-21,70
2021-03-28,85
2021-04-04,73
2021-04-11,50
2021-04-18,64
2021-04-25,67
2021-05-02,100
2021-05-09,80
2021-05-16,82
2021-05-23,74
2021-05-30,66
2021-06-06,75
2021-06-13,80
2021-06-20,75
2021-06-27,86
2021-07-04,99
2021-07-11,96
2021-07-18,74
2021-07-25,70
2021-08-01,69
2021-08-08,69
2021-08-15,74
2021-08-22,60
2021-08-29,69
2021-09-05,59
2021-09-12,68
2021-09-19,52
2021-09-26,54
2021-10-03,57
2021-10-10,56
2021-10-17,64
2021-10-24,74
2021-10-31,75
2021-11-07,87
2021-11-14,71
2021-11-21,77
2021-11-28,60
2021-12-05,83
2021-12-12,62
2021-12-19,71
2021-12-26,58
2022-01-02,73
2022-01-09,56
2022-01-16,64
2022-01-23,52
2022-01-30,56
2022-02-06,63
2022-02-13,62
2022-02-20,58
2022-02-27,62
2022-03-06,67
2022-03-13,71
2022-03-20,49
2022-03-27,51
2022-04-03,51
2022-04-10,67
2022-04-17,75
2022-04-24,82
2022-05-01,50
2022-05-08,50
2022-05-15,52
2022-05-22,54
2022-05-29,56
2022-06-05,59
2022-06-12,62
2022-06-19,68
2022-06-26,67
2022-07-03,57
2022-07-10,47
2022-07-17,40
2022-07-24,54
2022-07-31,58
2022-08-07,41
2022-08-14,51
2022-08-21,44
2022-08-28,50
2022-09-04,52
2022-09-11,60
2022-09-18,68
2022-09-25,49
2022-10-02,48
2022-10-09,43
2022-10-16,48
2022-10-23,49
2022-10-30,57
2022-11-06,50
2022-11-13,52
2022-11-20,46
2022-11-27,59
2022-12-04,60
2022-12-11,72
2022-12-18,71
2022-12-25,61
2023-01-01,53
2023-01-08,56
2023-01-15,62
2023-01-22,54
2023-01-29,59
2023-02-05,64
2023-02-12,55
2023-02-19,46
2023-02-26,57
2023-03-05,56
2023-03-12,68
2023-03-19,72
2023-03-26,61
2023-04-02,59
2023-04-09,79
2023-04-16,87
2023-04-23,66
2023-04-30,56
2023-05-07,54
2023-05-14,59
2023-05-21,47
2023-05-28,64
2023-06-04,68
2023-06-11,69
2023-06-18,49
2023-06-25,43
2023-07-02,55
2023-07-09,57
2023-07-16,42
2023-07-23,53
2023-07-30,48
2023-08-06,47
2023-08-13,62
2023-08-20,66
2023-08-27,59
2023-09-03,57
2023-09-10,62
2023-09-17,66
2023-09-24,52
2023-10-01,44
2023-10-08,63
2023-10-15,67
2023-10-22,65
2023-10-29,62
2023-11-05,58
2023-11-12,58
2023-11-19,65
2023-11-26,69
2023-12-03,62
2023-12-10,70
2023-12-17,71
2023-12-24,90
2023-12-31,66
2024-01-07,60
