,Architecture
2018-12-30,100
2019-01-06,90
2019-01-13,88
2019-01-20,65
2019-01-27,83
2019-02-03,90
2019-02-10,82
2019-02-17,74
2019-02-24,80
2019-03-03,74
2019-03-10,87
2019-03-17,90
2019-03-24,78
2019-03-31,67
2019-04-07,57
2019-04-14,74
2019-04-21,76
2019-04-28,74
2019-05-05,67
2019-05-12,71
2019-05-19,66
2019-05-26,66
2019-06-02,79
2019-06-09,71
2019-06-16,81
2019-06-23,84
2019-06-30,76
2019-07-07,73
2019-07-14,70
2019-07-21,83
2019-07-28,74
2019-08-04,87
2019-08-11,70
2019-08-18,73
2019-08-25,64
2019-09-01,68
2019-09-08,77
2019-09-15,84
2019-09-22,81
2019-09-29,67
2019-10-06,71
2019-10-13,73
2019-10-20,59
2019-10-27,73
2019-11-03,67
2019-11-10,65
2019-11-17,79
2019-11-24,68
2019-12-01,62
2019-12-08,58
2019-12-15,68
2019-12-22,72
2019-12-29,78
2020-01-05,86
2020-01-12,88
2020-01-19,75
2020-01-26,64
2020-02-02,65
2020-02-09,68
2020-02-16,82
2020-02-23,72
2020-03-01,62
2020-03-08,63
2020-03-15,58
2020-03-22,54
2020-03-29,55
2020-04-05,62
2020-04-12,62
2020-04-19,59
2020-04-26,63
2020-05-03,62
2020-05-10,54
2020-05-17,65
2020-05-24,74
2020-05-31,63
2020-06-07,65
2020-06-14,72
2020-06-21,79
2020-06-28,70
2020-07-05,74
2020-07-12,69
2020-07-19,76
2020-07-26,76
2020-08-02,75
2020-08-09,69
2020-08-16,76
2020-08-23,65
2020-08-30,62
2020-09-06,77
2020-09-13,75
2020-09-20,73
2020-09-27,63
2020-10-04,67
2020-10-11,71
2020-10-18,75
2020-10-25,69
2020-11-01,68
2020-11-08,67
2020-11-15,81
2020-11-22,71
2020-11-29,70
2020-12-06,68
2020-12-13,84
2020-12-20,68
2020-12-27,87
2021-01-03,76
2021-01-10,74
2021-01-17,69
2021-01-24,70
2021-01-31,59
2021-02-07,65
2021-02-14,71
2021-02-21,59
2021-02-28,66
2021-03-07,67
2021-03-14,62
2021-03-21,81
2021-03-28,86
2021-04-04,69
2021-04-11,58
2021-04-18,66
2021-04-25,69
2021-05-02,64
2021-05-09,80
2021-05-16,75
2021-05-23,62
2021-05-30,75
2021-06-06,71
2021-06-13,72
2021-06-20,74
2021-06-27,66
2021-07-04,71
2021-07-11,82
2021-07-18,87
2021-07-25,75
2021-08-01,73
2021-08-08,60
2021-08-15,78
2021-08-22,70
2021-08-29,84
2021-09-05,70
2021-09-12,75
2021-09-19,85
2021-09-26,76
2021-10-03,74
2021-10-10,67
2021-10-17,54
2021-10-24,57
2021-10-31,74
2021-11-07,69
2021-11-14,59
2021-11-21,68
2021-11-28,65
2021-12-05,63
2021-12-12,58
2021-12-19,66
2021-12-26,82
2022-01-02,89
2022-01-09,84
2022-01-16,73
2022-01-23,83
2022-01-30,90
2022-02-06,86
2022-02-13,92
2022-02-20,86
2022-02-27,89
2022-03-06,97
2022-03-13,82
2022-03-20,83
2022-03-27,71
2022-04-03,74
2022-04-10,64
2022-04-17,81
2022-04-24,81
2022-05-01,81
2022-05-08,69
2022-05-15,74
2022-05-22,74
2022-05-29,76
2022-06-05,75
2022-06-12,73
2022-06-19,77
2022-06-26,83
2022-07-03,75
2022-07-10,78
2022-07-17,79
2022-07-24,75
2022-07-31,79
2022-08-07,72
2022-08-14,84
2022-08-21,81
2022-08-28,90
2022-09-04,98
2022-09-11,77
2022-09-18,98
2022-09-25,80
2022-10-02,86
2022-10-09,80
2022-10-16,78
2022-10-23,77
2022-10-30,74
2022-11-06,76
2022-11-13,85
2022-11-20,78
2022-11-27,78
2022-12-04,66
2022-12-11,76
2022-12-18,78
2022-12-25,72
2023-01-01,74
2023-01-08,85
2023-01-15,79
2023-01-22,76
2023-01-29,74
2023-02-05,75
2023-02-12,77
2023-02-19,81
2023-02-26,77
2023-03-05,88
2023-03-12,70
2023-03-19,78
2023-03-26,86
2023-04-02,71
2023-04-09,68
2023-04-16,81
2023-04-23,67
2023-04-30,76
2023-05-07,74
2023-05-14,72
2023-05-21,72
2023-05-28,79
2023-06-04,73
2023-06-11,89
2023-06-18,77
2023-06-25,82
2023-07-02,77
2023-07-09,83
2023-07-16,88
2023-07-23,85
2023-07-30,71
2023-08-06,79
2023-08-13,84
2023-08-20,77
2023-08-27,81
2023-09-03,80
2023-09-10,69
2023-09-17,79
2023-09-24,80
2023-10-01,72
2023-10-08,73
2023-10-15,75
2023-10-22,78
2023-10-29,71
2023-11-05,74
2023-11-12,69
2023-11-19,76
2023-11-26,76
2023-12-03,78
2023-12-10,72
2023-12-17,73
2023-12-24,73
2023-12-31,96
2024-01-07,86
