,Fire & Security Services
2018-12-30,49
2019-01-06,51
2019-01-13,46
2019-01-20,49
2019-01-27,51
2019-02-03,49
2019-02-10,49
2019-02-17,57
2019-02-24,56
2019-03-03,58
2019-03-10,55
2019-03-17,48
2019-03-24,47
2019-03-31,44
2019-04-07,39
2019-04-14,43
2019-04-21,40
2019-04-28,40
2019-05-05,40
2019-05-12,42
2019-05-19,39
2019-05-26,47
2019-06-02,43
2019-06-09,49
2019-06-16,51
2019-06-23,65
2019-06-30,61
2019-07-07,68
2019-07-14,60
2019-07-21,52
2019-07-28,53
2019-08-04,49
2019-08-11,47
2019-08-18,52
2019-08-25,56
2019-09-01,56
2019-09-08,51
2019-09-15,52
2019-09-22,50
2019-09-29,42
2019-10-06,39
2019-10-13,44
2019-10-20,41
2019-10-27,39
2019-11-03,48
2019-11-10,51
2019-11-17,52
2019-11-24,52
2019-12-01,48
2019-12-08,44
2019-12-15,45
2019-12-22,47
2019-12-29,46
2020-01-05,49
2020-01-12,42
2020-01-19,48
2020-01-26,52
2020-02-02,47
2020-02-09,49
2020-02-16,50
2020-02-23,54
2020-03-01,52
2020-03-08,40
2020-03-15,40
2020-03-22,23
2020-03-29,24
2020-04-05,27
2020-04-12,27
2020-04-19,27
2020-04-26,27
2020-05-03,30
2020-05-10,32
2020-05-17,32
2020-05-24,34
2020-05-31,36
2020-06-07,40
2020-06-14,35
2020-06-21,38
2020-06-28,39
2020-07-05,40
2020-07-12,41
2020-07-19,43
2020-07-26,42
2020-08-02,37
2020-08-09,41
2020-08-16,43
2020-08-23,46
2020-08-30,45
2020-09-06,45
2020-09-13,44
2020-09-20,48
2020-09-27,48
2020-10-04,42
2020-10-11,46
2020-10-18,39
2020-10-25,34
2020-11-01,40
2020-11-08,35
2020-11-15,36
2020-11-22,36
2020-11-29,38
2020-12-06,32
2020-12-13,45
2020-12-20,47
2020-12-27,41
2021-01-03,47
2021-01-10,38
2021-01-17,51
2021-01-24,39
2021-01-31,42
2021-02-07,43
2021-02-14,46
2021-02-21,44
2021-02-28,41
2021-03-07,38
2021-03-14,42
2021-03-21,42
2021-03-28,33
2021-04-04,36
2021-04-11,31
2021-04-18,29
2021-04-25,28
2021-05-02,27
2021-05-09,29
2021-05-16,28
2021-05-23,32
2021-05-30,35
2021-06-06,33
2021-06-13,43
2021-06-20,41
2021-06-27,44
2021-07-04,46
2021-07-11,47
2021-07-18,43
2021-07-25,46
2021-08-01,44
2021-08-08,47
2021-08-15,50
2021-08-22,49
2021-08-29,50
2021-09-05,46
2021-09-12,48
2021-09-19,50
2021-09-26,52
2021-10-03,45
2021-10-10,36
2021-10-17,41
2021-10-24,40
2021-10-31,31
2021-11-07,41
2021-11-14,41
2021-11-21,42
2021-11-28,40
2021-12-05,43
2021-12-12,41
2021-12-19,44
2021-12-26,46
2022-01-02,58
2022-01-09,50
2022-01-16,49
2022-01-23,48
2022-01-30,53
2022-02-06,47
2022-02-13,56
2022-02-20,58
2022-02-27,57
2022-03-06,53
2022-03-13,46
2022-03-20,55
2022-03-27,55
2022-04-03,56
2022-04-10,50
2022-04-17,55
2022-04-24,62
2022-05-01,45
2022-05-08,50
2022-05-15,52
2022-05-22,56
2022-05-29,51
2022-06-05,52
2022-06-12,54
2022-06-19,57
2022-06-26,59
2022-07-03,56
2022-07-10,58
2022-07-17,62
2022-07-24,74
2022-07-31,63
2022-08-07,49
2022-08-14,50
2022-08-21,53
2022-08-28,54
2022-09-04,53
2022-09-11,62
2022-09-18,66
2022-09-25,63
2022-10-02,52
2022-10-09,61
2022-10-16,54
2022-10-23,41
2022-10-30,56
2022-11-06,55
2022-11-13,61
2022-11-20,57
2022-11-27,65
2022-12-04,61
2022-12-11,63
2022-12-18,62
2022-12-25,63
2023-01-01,61
2023-01-08,60
2023-01-15,60
2023-01-22,55
2023-01-29,66
2023-02-05,57
2023-02-12,55
2023-02-19,60
2023-02-26,63
2023-03-05,62
2023-03-12,83
2023-03-19,100
2023-03-26,86
2023-04-02,92
2023-04-09,74
2023-04-16,61
2023-04-23,63
2023-04-30,49
2023-05-07,52
2023-05-14,56
2023-05-21,54
2023-05-28,57
2023-06-04,58
2023-06-11,67
2023-06-18,72
2023-06-25,78
2023-07-02,81
2023-07-09,79
2023-07-16,68
2023-07-23,76
2023-07-30,71
2023-08-06,73
2023-08-13,71
2023-08-20,69
2023-08-27,70
2023-09-03,58
2023-09-10,63
2023-09-17,67
2023-09-24,65
2023-10-01,67
2023-10-08,59
2023-10-15,54
2023-10-22,46
2023-10-29,54
2023-11-05,47
2023-11-12,38
2023-11-19,50
2023-11-26,50
2023-12-03,52
2023-12-10,59
2023-12-17,63
2023-12-24,59
2023-12-31,56
2024-01-07,57
