,Auto Financing
2018-12-30,63
2019-01-06,69
2019-01-13,63
2019-01-20,80
2019-01-27,66
2019-02-03,62
2019-02-10,74
2019-02-17,55
2019-02-24,62
2019-03-03,68
2019-03-10,71
2019-03-17,71
2019-03-24,80
2019-03-31,61
2019-04-07,54
2019-04-14,35
2019-04-21,38
2019-04-28,64
2019-05-05,68
2019-05-12,49
2019-05-19,62
2019-05-26,69
2019-06-02,59
2019-06-09,59
2019-06-16,71
2019-06-23,69
2019-06-30,76
2019-07-07,78
2019-07-14,70
2019-07-21,84
2019-07-28,81
2019-08-04,85
2019-08-11,66
2019-08-18,83
2019-08-25,75
2019-09-01,73
2019-09-08,72
2019-09-15,68
2019-09-22,70
2019-09-29,73
2019-10-06,67
2019-10-13,69
2019-10-20,64
2019-10-27,84
2019-11-03,59
2019-11-10,62
2019-11-17,69
2019-11-24,75
2019-12-01,62
2019-12-08,67
2019-12-15,73
2019-12-22,68
2019-12-29,70
2020-01-05,79
2020-01-12,78
2020-01-19,77
2020-01-26,81
2020-02-02,72
2020-02-09,72
2020-02-16,83
2020-02-23,75
2020-03-01,76
2020-03-08,63
2020-03-15,61
2020-03-22,35
2020-03-29,53
2020-04-05,83
2020-04-12,76
2020-04-19,79
2020-04-26,79
2020-05-03,45
2020-05-10,64
2020-05-17,70
2020-05-24,65
2020-05-31,61
2020-06-07,71
2020-06-14,85
2020-06-21,86
2020-06-28,76
2020-07-05,81
2020-07-12,88
2020-07-19,85
2020-07-26,95
2020-08-02,68
2020-08-09,100
2020-08-16,96
2020-08-23,83
2020-08-30,92
2020-09-06,93
2020-09-13,93
2020-09-20,87
2020-09-27,76
2020-10-04,70
2020-10-11,78
2020-10-18,73
2020-10-25,58
2020-11-01,43
2020-11-08,57
2020-11-15,59
2020-11-22,68
2020-11-29,68
2020-12-06,84
2020-12-13,72
2020-12-20,75
2020-12-27,67
2021-01-03,75
2021-01-10,69
2021-01-17,61
2021-01-24,87
2021-01-31,51
2021-02-07,80
2021-02-14,78
2021-02-21,70
2021-02-28,79
2021-03-07,77
2021-03-14,76
2021-03-21,75
2021-03-28,70
2021-04-04,77
2021-04-11,61
2021-04-18,78
2021-04-25,83
2021-05-02,85
2021-05-09,76
2021-05-16,69
2021-05-23,52
2021-05-30,59
2021-06-06,66
2021-06-13,84
2021-06-20,68
2021-06-27,72
2021-07-04,88
2021-07-11,74
2021-07-18,75
2021-07-25,76
2021-08-01,79
2021-08-08,80
2021-08-15,53
2021-08-22,40
2021-08-29,59
2021-09-05,52
2021-09-12,62
2021-09-19,51
2021-09-26,70
2021-10-03,62
2021-10-10,48
2021-10-17,60
2021-10-24,62
2021-10-31,50
2021-11-07,68
2021-11-14,61
2021-11-21,60
2021-11-28,71
2021-12-05,72
2021-12-12,70
2021-12-19,74
2021-12-26,67
2022-01-02,78
2022-01-09,78
2022-01-16,68
2022-01-23,100
2022-01-30,74
2022-02-06,79
2022-02-13,64
2022-02-20,64
2022-02-27,74
2022-03-06,78
2022-03-13,74
2022-03-20,72
2022-03-27,68
2022-04-03,58
2022-04-10,60
2022-04-17,87
2022-04-24,89
2022-05-01,78
2022-05-08,51
2022-05-15,67
2022-05-22,75
2022-05-29,66
2022-06-05,71
2022-06-12,51
2022-06-19,56
2022-06-26,48
2022-07-03,57
2022-07-10,49
2022-07-17,60
2022-07-24,67
2022-07-31,57
2022-08-07,57
2022-08-14,73
2022-08-21,74
2022-08-28,63
2022-09-04,63
2022-09-11,61
2022-09-18,60
2022-09-25,63
2022-10-02,66
2022-10-09,62
2022-10-16,66
2022-10-23,52
2022-10-30,66
2022-11-06,52
2022-11-13,55
2022-11-20,54
2022-11-27,73
2022-12-04,65
2022-12-11,69
2022-12-18,54
2022-12-25,67
2023-01-01,69
2023-01-08,64
2023-01-15,61
2023-01-22,66
2023-01-29,64
2023-02-05,63
2023-02-12,68
2023-02-19,73
2023-02-26,84
2023-03-05,59
2023-03-12,64
2023-03-19,59
2023-03-26,74
2023-04-02,77
2023-04-09,46
2023-04-16,69
2023-04-23,69
2023-04-30,60
2023-05-07,61
2023-05-14,87
2023-05-21,68
2023-05-28,63
2023-06-04,76
2023-06-11,72
2023-06-18,82
2023-06-25,78
2023-07-02,66
2023-07-09,80
2023-07-16,90
2023-07-23,79
2023-07-30,74
2023-08-06,84
2023-08-13,73
2023-08-20,81
2023-08-27,73
2023-09-03,80
2023-09-10,77
2023-09-17,71
2023-09-24,72
2023-10-01,79
2023-10-08,72
2023-10-15,70
2023-10-22,64
2023-10-29,62
2023-11-05,61
2023-11-12,73
2023-11-19,87
2023-11-26,83
2023-12-03,73
2023-12-10,76
2023-12-17,73
2023-12-24,63
2023-12-31,73
2024-01-07,68
