,Enterprise Technology
2018-12-30,51
2019-01-06,51
2019-01-13,48
2019-01-20,49
2019-01-27,48
2019-02-03,70
2019-02-10,55
2019-02-17,42
2019-02-24,51
2019-03-03,61
2019-03-10,41
2019-03-17,60
2019-03-24,52
2019-03-31,57
2019-04-07,48
2019-04-14,44
2019-04-21,47
2019-04-28,47
2019-05-05,48
2019-05-12,42
2019-05-19,57
2019-05-26,56
2019-06-02,53
2019-06-09,65
2019-06-16,48
2019-06-23,54
2019-06-30,65
2019-07-07,39
2019-07-14,61
2019-07-21,46
2019-07-28,58
2019-08-04,51
2019-08-11,37
2019-08-18,55
2019-08-25,60
2019-09-01,61
2019-09-08,60
2019-09-15,47
2019-09-22,52
2019-09-29,58
2019-10-06,55
2019-10-13,54
2019-10-20,55
2019-10-27,56
2019-11-03,56
2019-11-10,57
2019-11-17,53
2019-11-24,58
2019-12-01,77
2019-12-08,45
2019-12-15,61
2019-12-22,53
2019-12-29,61
2020-01-05,75
2020-01-12,58
2020-01-19,61
2020-01-26,57
2020-02-02,65
2020-02-09,64
2020-02-16,55
2020-02-23,59
2020-03-01,66
2020-03-08,49
2020-03-15,49
2020-03-22,46
2020-03-29,55
2020-04-05,51
2020-04-12,59
2020-04-19,56
2020-04-26,47
2020-05-03,50
2020-05-10,58
2020-05-17,48
2020-05-24,40
2020-05-31,67
2020-06-07,55
2020-06-14,52
2020-06-21,51
2020-06-28,73
2020-07-05,61
2020-07-12,56
2020-07-19,54
2020-07-26,53
2020-08-02,65
2020-08-09,52
2020-08-16,42
2020-08-23,45
2020-08-30,50
2020-09-06,54
2020-09-13,42
2020-09-20,56
2020-09-27,64
2020-10-04,68
2020-10-11,44
2020-10-18,66
2020-10-25,70
2020-11-01,68
2020-11-08,50
2020-11-15,44
2020-11-22,56
2020-11-29,54
2020-12-06,61
2020-12-13,55
2020-12-20,56
2020-12-27,57
2021-01-03,63
2021-01-10,60
2021-01-17,59
2021-01-24,62
2021-01-31,95
2021-02-07,56
2021-02-14,57
2021-02-21,78
2021-02-28,100
2021-03-07,82
2021-03-14,58
2021-03-21,56
2021-03-28,63
2021-04-04,70
2021-04-11,63
2021-04-18,60
2021-04-25,61
2021-05-02,84
2021-05-09,64
2021-05-16,70
2021-05-23,69
2021-05-30,84
2021-06-06,74
2021-06-13,80
2021-06-20,59
2021-06-27,73
2021-07-04,73
2021-07-11,63
2021-07-18,44
2021-07-25,52
2021-08-01,90
2021-08-08,59
2021-08-15,63
2021-08-22,65
2021-08-29,68
2021-09-05,69
2021-09-12,62
2021-09-19,55
2021-09-26,80
2021-10-03,52
2021-10-10,62
2021-10-17,55
2021-10-24,69
2021-10-31,83
2021-11-07,68
2021-11-14,67
2021-11-21,63
2021-11-28,61
2021-12-05,64
2021-12-12,64
2021-12-19,62
2021-12-26,77
2022-01-02,72
2022-01-09,73
2022-01-16,59
2022-01-23,70
2022-01-30,87
2022-02-06,71
2022-02-13,74
2022-02-20,57
2022-02-27,76
2022-03-06,57
2022-03-13,67
2022-03-20,60
2022-03-27,77
2022-04-03,77
2022-04-10,81
2022-04-17,64
2022-04-24,63
2022-05-01,74
2022-05-08,78
2022-05-15,58
2022-05-22,52
2022-05-29,94
2022-06-05,64
2022-06-12,60
2022-06-19,60
2022-06-26,62
2022-07-03,79
2022-07-10,45
2022-07-17,65
2022-07-24,57
2022-07-31,70
2022-08-07,69
2022-08-14,68
2022-08-21,68
2022-08-28,80
2022-09-04,75
2022-09-11,60
2022-09-18,61
2022-09-25,72
2022-10-02,75
2022-10-09,58
2022-10-16,52
2022-10-23,63
2022-10-30,85
2022-11-06,69
2022-11-13,71
2022-11-20,70
2022-11-27,79
2022-12-04,75
2022-12-11,71
2022-12-18,59
2022-12-25,81
2023-01-01,75
2023-01-08,69
2023-01-15,60
2023-01-22,69
2023-01-29,92
2023-02-05,70
2023-02-12,64
2023-02-19,51
2023-02-26,81
2023-03-05,80
2023-03-12,63
2023-03-19,67
2023-03-26,77
2023-04-02,77
2023-04-09,70
2023-04-16,53
2023-04-23,60
2023-04-30,73
2023-05-07,63
2023-05-14,56
2023-05-21,58
2023-05-28,75
2023-06-04,73
2023-06-11,67
2023-06-18,55
2023-06-25,44
2023-07-02,68
2023-07-09,70
2023-07-16,50
2023-07-23,54
2023-07-30,84
2023-08-06,76
2023-08-13,63
2023-08-20,67
2023-08-27,85
2023-09-03,88
2023-09-10,54
2023-09-17,61
2023-09-24,82
2023-10-01,77
2023-10-08,80
2023-10-15,62
2023-10-22,58
2023-10-29,83
2023-11-05,78
2023-11-12,68
2023-11-19,67
2023-11-26,89
2023-12-03,93
2023-12-10,62
2023-12-17,66
2023-12-24,87
2023-12-31,90
2024-01-07,86
