,Vehicle Brands
2018-12-30,54
2019-01-06,52
2019-01-13,49
2019-01-20,53
2019-01-27,52
2019-02-03,50
2019-02-10,48
2019-02-17,51
2019-02-24,47
2019-03-03,50
2019-03-10,49
2019-03-17,49
2019-03-24,52
2019-03-31,50
2019-04-07,44
2019-04-14,51
2019-04-21,48
2019-04-28,48
2019-05-05,49
2019-05-12,51
2019-05-19,52
2019-05-26,55
2019-06-02,53
2019-06-09,54
2019-06-16,52
2019-06-23,54
2019-06-30,49
2019-07-07,50
2019-07-14,53
2019-07-21,52
2019-07-28,51
2019-08-04,51
2019-08-11,52
2019-08-18,61
2019-08-25,63
2019-09-01,87
2019-09-08,100
2019-09-15,98
2019-09-22,89
2019-09-29,53
2019-10-06,50
2019-10-13,50
2019-10-20,49
2019-10-27,48
2019-11-03,48
2019-11-10,50
2019-11-17,50
2019-11-24,49
2019-12-01,47
2019-12-08,47
2019-12-15,49
2019-12-22,56
2019-12-29,53
2020-01-05,50
2020-01-12,49
2020-01-19,56
2020-01-26,49
2020-02-02,51
2020-02-09,49
2020-02-16,52
2020-02-23,49
2020-03-01,46
2020-03-08,43
2020-03-15,44
2020-03-22,28
2020-03-29,28
2020-04-05,26
2020-04-12,27
2020-04-19,26
2020-04-26,29
2020-05-03,30
2020-05-10,34
2020-05-17,38
2020-05-24,41
2020-05-31,47
2020-06-07,48
2020-06-14,50
2020-06-21,52
2020-06-28,52
2020-07-05,55
2020-07-12,57
2020-07-19,54
2020-07-26,57
2020-08-02,55
2020-08-09,57
2020-08-16,62
2020-08-23,62
2020-08-30,56
2020-09-06,60
2020-09-13,61
2020-09-20,61
2020-09-27,61
2020-10-04,74
2020-10-11,63
2020-10-18,65
2020-10-25,76
2020-11-01,55
2020-11-08,55
2020-11-15,54
2020-11-22,56
2020-11-29,55
2020-12-06,58
2020-12-13,59
2020-12-20,64
2020-12-27,60
2021-01-03,61
2021-01-10,53
2021-01-17,59
2021-01-24,54
2021-01-31,54
2021-02-07,55
2021-02-14,56
2021-02-21,54
2021-02-28,53
2021-03-07,53
2021-03-14,52
2021-03-21,50
2021-03-28,58
2021-04-04,54
2021-04-11,50
2021-04-18,49
2021-04-25,59
2021-05-02,42
2021-05-09,43
2021-05-16,44
2021-05-23,47
2021-05-30,49
2021-06-06,54
2021-06-13,53
2021-06-20,57
2021-06-27,57
2021-07-04,60
2021-07-11,57
2021-07-18,59
2021-07-25,57
2021-08-01,55
2021-08-08,58
2021-08-15,58
2021-08-22,56
2021-08-29,52
2021-09-05,55
2021-09-12,55
2021-09-19,50
2021-09-26,49
2021-10-03,62
2021-10-10,47
2021-10-17,47
2021-10-24,45
2021-10-31,45
2021-11-07,47
2021-11-14,47
2021-11-21,47
2021-11-28,45
2021-12-05,48
2021-12-12,51
2021-12-19,53
2021-12-26,51
2022-01-02,55
2022-01-09,51
2022-01-16,50
2022-01-23,52
2022-01-30,56
2022-02-06,56
2022-02-13,60
2022-02-20,57
2022-02-27,55
2022-03-06,58
2022-03-13,54
2022-03-20,58
2022-03-27,65
2022-04-03,60
2022-04-10,66
2022-04-17,56
2022-04-24,66
2022-05-01,63
2022-05-08,58
2022-05-15,63
2022-05-22,83
2022-05-29,70
2022-06-05,62
2022-06-12,63
2022-06-19,66
2022-06-26,64
2022-07-03,68
2022-07-10,63
2022-07-17,65
2022-07-24,63
2022-07-31,63
2022-08-07,64
2022-08-14,67
2022-08-21,65
2022-08-28,60
2022-09-04,58
2022-09-11,61
2022-09-18,62
2022-09-25,63
2022-10-02,58
2022-10-09,59
2022-10-16,58
2022-10-23,61
2022-10-30,58
2022-11-06,57
2022-11-13,57
2022-11-20,54
2022-11-27,56
2022-12-04,55
2022-12-11,61
2022-12-18,60
2022-12-25,66
2023-01-01,58
2023-01-08,60
2023-01-15,57
2023-01-22,61
2023-01-29,59
2023-02-05,61
2023-02-12,59
2023-02-19,62
2023-02-26,58
2023-03-05,56
2023-03-12,60
2023-03-19,60
2023-03-26,63
2023-04-02,61
2023-04-09,58
2023-04-16,63
2023-04-23,58
2023-04-30,72
2023-05-07,56
2023-05-14,61
2023-05-21,63
2023-05-28,62
2023-06-04,65
2023-06-11,65
2023-06-18,66
2023-06-25,66
2023-07-02,71
2023-07-09,70
2023-07-16,68
2023-07-23,68
2023-07-30,66
2023-08-06,65
2023-08-13,66
2023-08-20,65
2023-08-27,66
2023-09-03,64
2023-09-10,62
2023-09-17,62
2023-09-24,63
2023-10-01,61
2023-10-08,59
2023-10-15,60
2023-10-22,57
2023-10-29,56
2023-11-05,54
2023-11-12,56
2023-11-19,59
2023-11-26,57
2023-12-03,58
2023-12-10,62
2023-12-17,61
2023-12-24,71
2023-12-31,62
2024-01-07,62
