,Office Supplies
2018-12-30,78
2019-01-06,77
2019-01-13,68
2019-01-20,71
2019-01-27,71
2019-02-03,69
2019-02-10,75
2019-02-17,71
2019-02-24,67
2019-03-03,68
2019-03-10,70
2019-03-17,72
2019-03-24,68
2019-03-31,59
2019-04-07,60
2019-04-14,60
2019-04-21,59
2019-04-28,57
2019-05-05,60
2019-05-12,59
2019-05-19,58
2019-05-26,65
2019-06-02,61
2019-06-09,64
2019-06-16,64
2019-06-23,66
2019-06-30,66
2019-07-07,90
2019-07-14,75
2019-07-21,76
2019-07-28,75
2019-08-04,75
2019-08-11,74
2019-08-18,73
2019-08-25,71
2019-09-01,66
2019-09-08,68
2019-09-15,72
2019-09-22,65
2019-09-29,65
2019-10-06,60
2019-10-13,65
2019-10-20,61
2019-10-27,54
2019-11-03,61
2019-11-10,77
2019-11-17,74
2019-11-24,89
2019-12-01,89
2019-12-08,81
2019-12-15,65
2019-12-22,77
2019-12-29,65
2020-01-05,63
2020-01-12,61
2020-01-19,82
2020-01-26,85
2020-02-02,61
2020-02-09,62
2020-02-16,63
2020-02-23,64
2020-03-01,58
2020-03-08,55
2020-03-15,66
2020-03-22,45
2020-03-29,37
2020-04-05,39
2020-04-12,37
2020-04-19,39
2020-04-26,41
2020-05-03,44
2020-05-10,47
2020-05-17,55
2020-05-24,70
2020-05-31,63
2020-06-07,65
2020-06-14,63
2020-06-21,66
2020-06-28,70
2020-07-05,73
2020-07-12,72
2020-07-19,75
2020-07-26,72
2020-08-02,82
2020-08-09,83
2020-08-16,76
2020-08-23,75
2020-08-30,79
2020-09-06,77
2020-09-13,77
2020-09-20,73
2020-09-27,73
2020-10-04,75
2020-10-11,73
2020-10-18,72
2020-10-25,68
2020-11-01,65
2020-11-08,60
2020-11-15,60
2020-11-22,67
2020-11-29,65
2020-12-06,69
2020-12-13,66
2020-12-20,70
2020-12-27,65
2021-01-03,72
2021-01-10,62
2021-01-17,70
2021-01-24,64
2021-01-31,66
2021-02-07,67
2021-02-14,65
2021-02-21,68
2021-02-28,69
2021-03-07,66
2021-03-14,67
2021-03-21,65
2021-03-28,63
2021-04-04,66
2021-04-11,58
2021-04-18,61
2021-04-25,56
2021-05-02,61
2021-05-09,60
2021-05-16,62
2021-05-23,64
2021-05-30,68
2021-06-06,70
2021-06-13,70
2021-06-20,69
2021-06-27,74
2021-07-04,74
2021-07-11,75
2021-07-18,80
2021-07-25,79
2021-08-01,76
2021-08-08,77
2021-08-15,71
2021-08-22,71
2021-08-29,74
2021-09-05,71
2021-09-12,75
2021-09-19,68
2021-09-26,71
2021-10-03,69
2021-10-10,59
2021-10-17,62
2021-10-24,69
2021-10-31,54
2021-11-07,62
2021-11-14,69
2021-11-21,67
2021-11-28,70
2021-12-05,67
2021-12-12,70
2021-12-19,74
2021-12-26,68
2022-01-02,85
2022-01-09,79
2022-01-16,73
2022-01-23,77
2022-01-30,80
2022-02-06,77
2022-02-13,83
2022-02-20,84
2022-02-27,81
2022-03-06,83
2022-03-13,71
2022-03-20,78
2022-03-27,78
2022-04-03,79
2022-04-10,76
2022-04-17,78
2022-04-24,78
2022-05-01,78
2022-05-08,81
2022-05-15,78
2022-05-22,81
2022-05-29,79
2022-06-05,79
2022-06-12,84
2022-06-19,87
2022-06-26,91
2022-07-03,93
2022-07-10,94
2022-07-17,93
2022-07-24,95
2022-07-31,94
2022-08-07,88
2022-08-14,88
2022-08-21,97
2022-08-28,88
2022-09-04,91
2022-09-11,97
2022-09-18,97
2022-09-25,88
2022-10-02,81
2022-10-09,90
2022-10-16,87
2022-10-23,71
2022-10-30,87
2022-11-06,87
2022-11-13,87
2022-11-20,86
2022-11-27,84
2022-12-04,82
2022-12-11,89
2022-12-18,91
2022-12-25,90
2023-01-01,92
2023-01-08,84
2023-01-15,87
2023-01-22,84
2023-01-29,89
2023-02-05,91
2023-02-12,92
2023-02-19,96
2023-02-26,94
2023-03-05,83
2023-03-12,89
2023-03-19,85
2023-03-26,89
2023-04-02,86
2023-04-09,83
2023-04-16,78
2023-04-23,80
2023-04-30,83
2023-05-07,82
2023-05-14,81
2023-05-21,86
2023-05-28,86
2023-06-04,89
2023-06-11,93
2023-06-18,96
2023-06-25,92
2023-07-02,100
2023-07-09,94
2023-07-16,93
2023-07-23,96
2023-07-30,97
2023-08-06,98
2023-08-13,92
2023-08-20,96
2023-08-27,89
2023-09-03,95
2023-09-10,95
2023-09-17,90
2023-09-24,87
2023-10-01,92
2023-10-08,91
2023-10-15,82
2023-10-22,78
2023-10-29,85
2023-11-05,80
2023-11-12,70
2023-11-19,79
2023-11-26,94
2023-12-03,87
2023-12-10,90
2023-12-17,93
2023-12-24,96
2023-12-31,95
2024-01-07,89
