,Outsourcing
2018-12-30,29
2019-01-06,28
2019-01-13,27
2019-01-20,35
2019-01-27,68
2019-02-03,56
2019-02-10,45
2019-02-17,42
2019-02-24,39
2019-03-03,38
2019-03-10,41
2019-03-17,36
2019-03-24,40
2019-03-31,35
2019-04-07,29
2019-04-14,26
2019-04-21,29
2019-04-28,27
2019-05-05,26
2019-05-12,28
2019-05-19,29
2019-05-26,28
2019-06-02,26
2019-06-09,28
2019-06-16,28
2019-06-23,30
2019-06-30,28
2019-07-07,27
2019-07-14,29
2019-07-21,30
2019-07-28,28
2019-08-04,26
2019-08-11,24
2019-08-18,29
2019-08-25,29
2019-09-01,29
2019-09-08,27
2019-09-15,28
2019-09-22,31
2019-09-29,31
2019-10-06,29
2019-10-13,33
2019-10-20,34
2019-10-27,35
2019-11-03,36
2019-11-10,35
2019-11-17,38
2019-11-24,39
2019-12-01,36
2019-12-08,36
2019-12-15,36
2019-12-22,40
2019-12-29,42
2020-01-05,42
2020-01-12,39
2020-01-19,52
2020-01-26,100
2020-02-02,84
2020-02-09,71
2020-02-16,57
2020-02-23,59
2020-03-01,59
2020-03-08,52
2020-03-15,53
2020-03-22,49
2020-03-29,65
2020-04-05,99
2020-04-12,86
2020-04-19,83
2020-04-26,77
2020-05-03,68
2020-05-10,61
2020-05-17,55
2020-05-24,52
2020-05-31,52
2020-06-07,46
2020-06-14,58
2020-06-21,50
2020-06-28,53
2020-07-05,51
2020-07-12,46
2020-07-19,46
2020-07-26,53
2020-08-02,46
2020-08-09,46
2020-08-16,48
2020-08-23,50
2020-08-30,53
2020-09-06,53
2020-09-13,50
2020-09-20,52
2020-09-27,52
2020-10-04,51
2020-10-11,48
2020-10-18,48
2020-10-25,48
2020-11-01,46
2020-11-08,48
2020-11-15,48
2020-11-22,51
2020-11-29,47
2020-12-06,45
2020-12-13,46
2020-12-20,52
2020-12-27,56
2021-01-03,49
2021-01-10,44
2021-01-17,48
2021-01-24,50
2021-01-31,50
2021-02-07,51
2021-02-14,52
2021-02-21,51
2021-02-28,53
2021-03-07,54
2021-03-14,55
2021-03-21,75
2021-03-28,79
2021-04-04,58
2021-04-11,44
2021-04-18,44
2021-04-25,42
2021-05-02,41
2021-05-09,39
2021-05-16,42
2021-05-23,45
2021-05-30,43
2021-06-06,42
2021-06-13,44
2021-06-20,47
2021-06-27,48
2021-07-04,49
2021-07-11,49
2021-07-18,50
2021-07-25,51
2021-08-01,48
2021-08-08,47
2021-08-15,48
2021-08-22,48
2021-08-29,45
2021-09-05,41
2021-09-12,43
2021-09-19,45
2021-09-26,46
2021-10-03,45
2021-10-10,42
2021-10-17,44
2021-10-24,46
2021-10-31,42
2021-11-07,47
2021-11-14,46
2021-11-21,47
2021-11-28,48
2021-12-05,51
2021-12-12,52
2021-12-19,56
2021-12-26,60
2022-01-02,65
2022-01-09,58
2022-01-16,56
2022-01-23,54
2022-01-30,58
2022-02-06,55
2022-02-13,53
2022-02-20,55
2022-02-27,55
2022-03-06,55
2022-03-13,59
2022-03-20,67
2022-03-27,80
2022-04-03,54
2022-04-10,49
2022-04-17,51
2022-04-24,48
2022-05-01,48
2022-05-08,50
2022-05-15,49
2022-05-22,51
2022-05-29,52
2022-06-05,50
2022-06-12,51
2022-06-19,53
2022-06-26,51
2022-07-03,55
2022-07-10,53
2022-07-17,55
2022-07-24,53
2022-07-31,49
2022-08-07,48
2022-08-14,48
2022-08-21,51
2022-08-28,48
2022-09-04,45
2022-09-11,47
2022-09-18,42
2022-09-25,42
2022-10-02,37
2022-10-09,40
2022-10-16,37
2022-10-23,34
2022-10-30,38
2022-11-06,33
2022-11-13,37
2022-11-20,37
2022-11-27,37
2022-12-04,36
2022-12-11,39
2022-12-18,45
2022-12-25,41
2023-01-01,37
2023-01-08,37
2023-01-15,38
2023-01-22,37
2023-01-29,41
2023-02-05,41
2023-02-12,39
2023-02-19,42
2023-02-26,43
2023-03-05,38
2023-03-12,46
2023-03-19,49
2023-03-26,63
2023-04-02,41
2023-04-09,42
2023-04-16,40
2023-04-23,43
2023-04-30,43
2023-05-07,42
2023-05-14,46
2023-05-21,48
2023-05-28,51
2023-06-04,52
2023-06-11,56
2023-06-18,61
2023-06-25,58
2023-07-02,60
2023-07-09,65
2023-07-16,68
2023-07-23,65
2023-07-30,67
2023-08-06,69
2023-08-13,64
2023-08-20,69
2023-08-27,71
2023-09-03,72
2023-09-10,67
2023-09-17,71
2023-09-24,78
2023-10-01,71
2023-10-08,74
2023-10-15,73
2023-10-22,71
2023-10-29,65
2023-11-05,65
2023-11-12,69
2023-11-19,77
2023-11-26,78
2023-12-03,78
2023-12-10,79
2023-12-17,90
2023-12-24,94
2023-12-31,93
2024-01-07,87
