,Outsourcing
2023-01-01,18
2023-01-08,19
2023-01-15,19
2023-01-22,18
2023-01-29,18
2023-02-05,19
2023-02-12,20
2023-02-19,20
2023-02-26,18
2023-03-05,18
2023-03-12,19
2023-03-19,19
2023-03-26,19
2023-04-02,20
2023-04-09,19
2023-04-16,19
2023-04-23,19
2023-04-30,21
2023-05-07,23
2023-05-14,27
2023-05-21,27
2023-05-28,29
2023-06-04,29
2023-06-11,32
2023-06-18,35
2023-06-25,32
2023-07-02,34
2023-07-09,37
2023-07-16,36
2023-07-23,35
2023-07-30,34
2023-08-06,38
2023-08-13,41
2023-08-20,38
2023-08-27,38
2023-09-03,39
2023-09-10,38
2023-09-17,42
2023-09-24,44
2023-10-01,38
2023-10-08,44
2023-10-15,38
2023-10-22,37
2023-10-29,40
2023-11-05,39
2023-11-12,39
2023-11-19,42
2023-11-26,43
2023-12-03,44
2023-12-10,43
2023-12-17,48
2023-12-24,48
2023-12-31,47
2024-01-07,43
2024-01-14,47
2024-01-21,50
2024-01-28,51
2024-02-04,50
2024-02-11,53
2024-02-18,51
2024-02-25,54
2024-03-03,50
2024-03-10,53
2024-03-17,55
2024-03-24,56
2024-03-31,59
2024-04-07,58
2024-04-14,63
2024-04-21,64
2024-04-28,64
2024-05-05,63
2024-05-12,63
2024-05-19,63
2024-05-26,71
2024-06-02,61
2024-06-09,66
2024-06-16,68
2024-06-23,65
2024-06-30,66
2024-07-07,70
2024-07-14,73
2024-07-21,79
2024-07-28,72
2024-08-04,72
2024-08-11,73
2024-08-18,52
2024-08-25,40
2024-09-01,49
2024-09-08,54
2024-09-15,39
2024-09-22,41
2024-09-29,53
2024-10-06,52
2024-10-13,51
2024-10-20,44
2024-10-27,41
2024-11-03,46
2024-11-10,48
2024-11-17,53
2024-11-24,55
2024-12-01,60
2024-12-08,69
2024-12-15,73
2024-12-22,73
2024-12-29,73
2025-01-05,67
2025-01-12,67
2025-01-19,68
2025-01-26,63
2025-02-02,69
2025-02-09,67
2025-02-16,68
2025-02-23,73
2025-03-02,69
2025-03-09,68
2025-03-16,73
2025-03-23,72
2025-03-30,76
2025-04-06,74
2025-04-13,74
2025-04-20,83
2025-04-27,85
2025-05-04,77
2025-05-11,72
2025-05-18,76
2025-05-25,78
2025-06-01,86
2025-06-08,89
2025-06-15,93
2025-06-22,92
2025-06-29,89
2025-07-06,90
2025-07-13,90
2025-07-20,84
2025-07-27,86
2025-08-03,100
2025-08-10,90
2025-08-17,92
2025-08-24,88
2025-08-31,85
2025-09-07,79
2025-09-14,81
2025-09-21,79
2025-09-28,83
2025-10-05,83
2025-10-12,73
2025-10-19,72
2025-10-26,68
2025-11-02,69
2025-11-09,68
2025-11-16,75
2025-11-23,61
2025-11-30,73
2025-12-07,80
2025-12-14,65
2025-12-21,75
2025-12-28,67
