,Computer Security
2018-12-30,64
2019-01-06,55
2019-01-13,64
2019-01-20,81
2019-01-27,71
2019-02-03,82
2019-02-10,80
2019-02-17,83
2019-02-24,79
2019-03-03,70
2019-03-10,69
2019-03-17,89
2019-03-24,86
2019-03-31,76
2019-04-07,71
2019-04-14,75
2019-04-21,80
2019-04-28,60
2019-05-05,64
2019-05-12,60
2019-05-19,61
2019-05-26,65
2019-06-02,61
2019-06-09,67
2019-06-16,77
2019-06-23,82
2019-06-30,82
2019-07-07,74
2019-07-14,82
2019-07-21,81
2019-07-28,57
2019-08-04,58
2019-08-11,42
2019-08-18,70
2019-08-25,80
2019-09-01,59
2019-09-08,69
2019-09-15,69
2019-09-22,70
2019-09-29,70
2019-10-06,64
2019-10-13,73
2019-10-20,61
2019-10-27,77
2019-11-03,68
2019-11-10,55
2019-11-17,61
2019-11-24,56
2019-12-01,56
2019-12-08,74
2019-12-15,50
2019-12-22,82
2019-12-29,71
2020-01-05,68
2020-01-12,61
2020-01-19,69
2020-01-26,81
2020-02-02,77
2020-02-09,84
2020-02-16,59
2020-02-23,74
2020-03-01,80
2020-03-08,59
2020-03-15,100
2020-03-22,82
2020-03-29,80
2020-04-05,82
2020-04-12,71
2020-04-19,52
2020-04-26,51
2020-05-03,48
2020-05-10,59
2020-05-17,62
2020-05-24,63
2020-05-31,72
2020-06-07,62
2020-06-14,67
2020-06-21,62
2020-06-28,58
2020-07-05,54
2020-07-12,52
2020-07-19,64
2020-07-26,57
2020-08-02,56
2020-08-09,62
2020-08-16,58
2020-08-23,50
2020-08-30,57
2020-09-06,54
2020-09-13,53
2020-09-20,55
2020-09-27,60
2020-10-04,54
2020-10-11,67
2020-10-18,66
2020-10-25,79
2020-11-01,58
2020-11-08,52
2020-11-15,50
2020-11-22,62
2020-11-29,58
2020-12-06,67
2020-12-13,55
2020-12-20,66
2020-12-27,72
2021-01-03,57
2021-01-10,63
2021-01-17,63
2021-01-24,63
2021-01-31,66
2021-02-07,60
2021-02-14,58
2021-02-21,71
2021-02-28,73
2021-03-07,80
2021-03-14,79
2021-03-21,72
2021-03-28,67
2021-04-04,72
2021-04-11,57
2021-04-18,73
2021-04-25,63
2021-05-02,72
2021-05-09,69
2021-05-16,50
2021-05-23,70
2021-05-30,76
2021-06-06,76
2021-06-13,63
2021-06-20,68
2021-06-27,72
2021-07-04,71
2021-07-11,65
2021-07-18,68
2021-07-25,63
2021-08-01,76
2021-08-08,73
2021-08-15,64
2021-08-22,70
2021-08-29,69
2021-09-05,77
2021-09-12,81
2021-09-19,71
2021-09-26,73
2021-10-03,67
2021-10-10,66
2021-10-17,73
2021-10-24,65
2021-10-31,72
2021-11-07,70
2021-11-14,75
2021-11-21,58
2021-11-28,75
2021-12-05,67
2021-12-12,78
2021-12-19,72
2021-12-26,54
2022-01-02,63
2022-01-09,58
2022-01-16,49
2022-01-23,75
2022-01-30,74
2022-02-06,61
2022-02-13,58
2022-02-20,62
2022-02-27,56
2022-03-06,61
2022-03-13,57
2022-03-20,60
2022-03-27,58
2022-04-03,54
2022-04-10,61
2022-04-17,51
2022-04-24,74
2022-05-01,70
2022-05-08,71
2022-05-15,75
2022-05-22,57
2022-05-29,76
2022-06-05,81
2022-06-12,62
2022-06-19,68
2022-06-26,78
2022-07-03,62
2022-07-10,50
2022-07-17,64
2022-07-24,59
2022-07-31,64
2022-08-07,66
2022-08-14,74
2022-08-21,72
2022-08-28,73
2022-09-04,65
2022-09-11,66
2022-09-18,61
2022-09-25,47
2022-10-02,74
2022-10-09,70
2022-10-16,61
2022-10-23,64
2022-10-30,56
2022-11-06,59
2022-11-13,64
2022-11-20,54
2022-11-27,54
2022-12-04,69
2022-12-11,44
2022-12-18,64
2022-12-25,63
2023-01-01,68
2023-01-08,63
2023-01-15,55
2023-01-22,61
2023-01-29,65
2023-02-05,70
2023-02-12,52
2023-02-19,91
2023-02-26,49
2023-03-05,70
2023-03-12,69
2023-03-19,52
2023-03-26,63
2023-04-02,62
2023-04-09,59
2023-04-16,53
2023-04-23,64
2023-04-30,59
2023-05-07,62
2023-05-14,60
2023-05-21,60
2023-05-28,63
2023-06-04,67
2023-06-11,45
2023-06-18,58
2023-06-25,49
2023-07-02,54
2023-07-09,72
2023-07-16,58
2023-07-23,71
2023-07-30,62
2023-08-06,71
2023-08-13,80
2023-08-20,81
2023-08-27,73
2023-09-03,63
2023-09-10,60
2023-09-17,82
2023-09-24,63
2023-10-01,78
2023-10-08,58
2023-10-15,87
2023-10-22,62
2023-10-29,68
2023-11-05,69
2023-11-12,75
2023-11-19,86
2023-11-26,78
2023-12-03,68
2023-12-10,81
2023-12-17,79
2023-12-24,78
2023-12-31,59
2024-01-07,81
