,Footwear
2018-12-30,54
2019-01-06,52
2019-01-13,49
2019-01-20,52
2019-01-27,51
2019-02-03,52
2019-02-10,48
2019-02-17,54
2019-02-24,51
2019-03-03,54
2019-03-10,50
2019-03-17,51
2019-03-24,52
2019-03-31,54
2019-04-07,53
2019-04-14,44
2019-04-21,35
2019-04-28,47
2019-05-05,48
2019-05-12,43
2019-05-19,49
2019-05-26,53
2019-06-02,52
2019-06-09,51
2019-06-16,48
2019-06-23,52
2019-06-30,54
2019-07-07,55
2019-07-14,54
2019-07-21,58
2019-07-28,57
2019-08-04,60
2019-08-11,55
2019-08-18,52
2019-08-25,52
2019-09-01,52
2019-09-08,53
2019-09-15,50
2019-09-22,50
2019-09-29,50
2019-10-06,55
2019-10-13,50
2019-10-20,53
2019-10-27,52
2019-11-03,50
2019-11-10,53
2019-11-17,54
2019-11-24,54
2019-12-01,54
2019-12-08,62
2019-12-15,68
2019-12-22,60
2019-12-29,58
2020-01-05,54
2020-01-12,58
2020-01-19,59
2020-01-26,57
2020-02-02,51
2020-02-09,57
2020-02-16,60
2020-02-23,56
2020-03-01,49
2020-03-08,44
2020-03-15,40
2020-03-22,32
2020-03-29,30
2020-04-05,28
2020-04-12,28
2020-04-19,31
2020-04-26,31
2020-05-03,32
2020-05-10,33
2020-05-17,37
2020-05-24,41
2020-05-31,41
2020-06-07,42
2020-06-14,44
2020-06-21,48
2020-06-28,43
2020-07-05,49
2020-07-12,51
2020-07-19,58
2020-07-26,51
2020-08-02,56
2020-08-09,51
2020-08-16,50
2020-08-23,48
2020-08-30,47
2020-09-06,48
2020-09-13,44
2020-09-20,46
2020-09-27,45
2020-10-04,43
2020-10-11,43
2020-10-18,44
2020-10-25,41
2020-11-01,36
2020-11-08,37
2020-11-15,41
2020-11-22,42
2020-11-29,44
2020-12-06,44
2020-12-13,47
2020-12-20,55
2020-12-27,53
2021-01-03,49
2021-01-10,48
2021-01-17,46
2021-01-24,51
2021-01-31,49
2021-02-07,52
2021-02-14,51
2021-02-21,48
2021-02-28,51
2021-03-07,55
2021-03-14,56
2021-03-21,57
2021-03-28,63
2021-04-04,61
2021-04-11,50
2021-04-18,51
2021-04-25,57
2021-05-02,52
2021-05-09,50
2021-05-16,47
2021-05-23,40
2021-05-30,49
2021-06-06,48
2021-06-13,51
2021-06-20,51
2021-06-27,50
2021-07-04,51
2021-07-11,55
2021-07-18,56
2021-07-25,54
2021-08-01,52
2021-08-08,49
2021-08-15,51
2021-08-22,42
2021-08-29,49
2021-09-05,48
2021-09-12,56
2021-09-19,55
2021-09-26,55
2021-10-03,55
2021-10-10,50
2021-10-17,50
2021-10-24,55
2021-10-31,59
2021-11-07,61
2021-11-14,56
2021-11-21,62
2021-11-28,67
2021-12-05,69
2021-12-12,58
2021-12-19,70
2021-12-26,67
2022-01-02,73
2022-01-09,69
2022-01-16,65
2022-01-23,66
2022-01-30,67
2022-02-06,68
2022-02-13,69
2022-02-20,68
2022-02-27,73
2022-03-06,71
2022-03-13,70
2022-03-20,69
2022-03-27,62
2022-04-03,64
2022-04-10,60
2022-04-17,67
2022-04-24,71
2022-05-01,70
2022-05-08,55
2022-05-15,61
2022-05-22,65
2022-05-29,64
2022-06-05,65
2022-06-12,65
2022-06-19,64
2022-06-26,64
2022-07-03,65
2022-07-10,63
2022-07-17,67
2022-07-24,66
2022-07-31,70
2022-08-07,71
2022-08-14,70
2022-08-21,75
2022-08-28,74
2022-09-04,72
2022-09-11,70
2022-09-18,70
2022-09-25,70
2022-10-02,74
2022-10-09,75
2022-10-16,72
2022-10-23,70
2022-10-30,71
2022-11-06,71
2022-11-13,80
2022-11-20,82
2022-11-27,83
2022-12-04,83
2022-12-11,79
2022-12-18,85
2022-12-25,84
2023-01-01,78
2023-01-08,73
2023-01-15,66
2023-01-22,76
2023-01-29,74
2023-02-05,76
2023-02-12,78
2023-02-19,72
2023-02-26,80
2023-03-05,75
2023-03-12,71
2023-03-19,70
2023-03-26,74
2023-04-02,89
2023-04-09,79
2023-04-16,79
2023-04-23,71
2023-04-30,68
2023-05-07,73
2023-05-14,66
2023-05-21,73
2023-05-28,70
2023-06-04,73
2023-06-11,74
2023-06-18,77
2023-06-25,83
2023-07-02,78
2023-07-09,78
2023-07-16,78
2023-07-23,76
2023-07-30,74
2023-08-06,79
2023-08-13,82
2023-08-20,83
2023-08-27,82
2023-09-03,76
2023-09-10,65
2023-09-17,67
2023-09-24,74
2023-10-01,71
2023-10-08,67
2023-10-15,65
2023-10-22,72
2023-10-29,71
2023-11-05,82
2023-11-12,89
2023-11-19,100
2023-11-26,85
2023-12-03,82
2023-12-10,89
2023-12-17,98
2023-12-24,89
2023-12-31,81
2024-01-07,76
