,Commercial Lending
2018-12-30,74
2019-01-06,52
2019-01-13,43
2019-01-20,51
2019-01-27,52
2019-02-03,61
2019-02-10,58
2019-02-17,68
2019-02-24,57
2019-03-03,84
2019-03-10,44
2019-03-17,58
2019-03-24,67
2019-03-31,47
2019-04-07,62
2019-04-14,45
2019-04-21,26
2019-04-28,28
2019-05-05,67
2019-05-12,36
2019-05-19,46
2019-05-26,48
2019-06-02,57
2019-06-09,46
2019-06-16,50
2019-06-23,52
2019-06-30,98
2019-07-07,63
2019-07-14,51
2019-07-21,48
2019-07-28,59
2019-08-04,67
2019-08-11,59
2019-08-18,69
2019-08-25,56
2019-09-01,61
2019-09-08,39
2019-09-15,71
2019-09-22,48
2019-09-29,58
2019-10-06,55
2019-10-13,36
2019-10-20,60
2019-10-27,71
2019-11-03,58
2019-11-10,61
2019-11-17,80
2019-11-24,60
2019-12-01,58
2019-12-08,59
2019-12-15,69
2019-12-22,51
2019-12-29,76
2020-01-05,53
2020-01-12,45
2020-01-19,55
2020-01-26,56
2020-02-02,47
2020-02-09,58
2020-02-16,46
2020-02-23,61
2020-03-01,50
2020-03-08,56
2020-03-15,43
2020-03-22,46
2020-03-29,45
2020-04-05,78
2020-04-12,54
2020-04-19,48
2020-04-26,49
2020-05-03,53
2020-05-10,43
2020-05-17,42
2020-05-24,57
2020-05-31,54
2020-06-07,53
2020-06-14,72
2020-06-21,68
2020-06-28,49
2020-07-05,57
2020-07-12,52
2020-07-19,66
2020-07-26,64
2020-08-02,45
2020-08-09,64
2020-08-16,65
2020-08-23,72
2020-08-30,68
2020-09-06,63
2020-09-13,46
2020-09-20,67
2020-09-27,51
2020-10-04,43
2020-10-11,71
2020-10-18,48
2020-10-25,46
2020-11-01,61
2020-11-08,43
2020-11-15,42
2020-11-22,43
2020-11-29,62
2020-12-06,49
2020-12-13,73
2020-12-20,65
2020-12-27,53
2021-01-03,56
2021-01-10,54
2021-01-17,65
2021-01-24,56
2021-01-31,45
2021-02-07,53
2021-02-14,56
2021-02-21,50
2021-02-28,49
2021-03-07,51
2021-03-14,55
2021-03-21,45
2021-03-28,68
2021-04-04,59
2021-04-11,30
2021-04-18,49
2021-04-25,52
2021-05-02,61
2021-05-09,59
2021-05-16,71
2021-05-23,44
2021-05-30,76
2021-06-06,62
2021-06-13,45
2021-06-20,61
2021-06-27,60
2021-07-04,68
2021-07-11,59
2021-07-18,57
2021-07-25,64
2021-08-01,61
2021-08-08,53
2021-08-15,55
2021-08-22,52
2021-08-29,69
2021-09-05,78
2021-09-12,57
2021-09-19,72
2021-09-26,64
2021-10-03,58
2021-10-10,47
2021-10-17,56
2021-10-24,65
2021-10-31,74
2021-11-07,55
2021-11-14,48
2021-11-21,62
2021-11-28,91
2021-12-05,72
2021-12-12,60
2021-12-19,69
2021-12-26,64
2022-01-02,71
2022-01-09,100
2022-01-16,68
2022-01-23,76
2022-01-30,74
2022-02-06,56
2022-02-13,52
2022-02-20,72
2022-02-27,75
2022-03-06,65
2022-03-13,63
2022-03-20,75
2022-03-27,77
2022-04-03,60
2022-04-10,55
2022-04-17,74
2022-04-24,77
2022-05-01,81
2022-05-08,60
2022-05-15,63
2022-05-22,68
2022-05-29,74
2022-06-05,64
2022-06-12,55
2022-06-19,70
2022-06-26,75
2022-07-03,76
2022-07-10,55
2022-07-17,86
2022-07-24,76
2022-07-31,85
2022-08-07,54
2022-08-14,68
2022-08-21,80
2022-08-28,59
2022-09-04,68
2022-09-11,68
2022-09-18,49
2022-09-25,68
2022-10-02,62
2022-10-09,77
2022-10-16,57
2022-10-23,63
2022-10-30,77
2022-11-06,51
2022-11-13,43
2022-11-20,56
2022-11-27,63
2022-12-04,62
2022-12-11,66
2022-12-18,66
2022-12-25,56
2023-01-01,66
2023-01-08,58
2023-01-15,70
2023-01-22,63
2023-01-29,59
2023-02-05,62
2023-02-12,74
2023-02-19,71
2023-02-26,78
2023-03-05,61
2023-03-12,60
2023-03-19,73
2023-03-26,76
2023-04-02,77
2023-04-09,54
2023-04-16,66
2023-04-23,67
2023-04-30,55
2023-05-07,52
2023-05-14,52
2023-05-21,66
2023-05-28,67
2023-06-04,70
2023-06-11,85
2023-06-18,65
2023-06-25,70
2023-07-02,65
2023-07-09,66
2023-07-16,69
2023-07-23,70
2023-07-30,62
2023-08-06,73
2023-08-13,64
2023-08-20,97
2023-08-27,65
2023-09-03,79
2023-09-10,83
2023-09-17,89
2023-09-24,76
2023-10-01,75
2023-10-08,76
2023-10-15,61
2023-10-22,53
2023-10-29,62
2023-11-05,47
2023-11-12,59
2023-11-19,59
2023-11-26,68
2023-12-03,66
2023-12-10,56
2023-12-17,79
2023-12-24,56
2023-12-31,67
2024-01-07,78
