,Cruises & Charters
2018-12-30,75
2019-01-06,60
2019-01-13,43
2019-01-20,48
2019-01-27,54
2019-02-03,73
2019-02-10,45
2019-02-17,52
2019-02-24,75
2019-03-03,33
2019-03-10,33
2019-03-17,66
2019-03-24,51
2019-03-31,39
2019-04-07,62
2019-04-14,44
2019-04-21,53
2019-04-28,50
2019-05-05,42
2019-05-12,40
2019-05-19,48
2019-05-26,46
2019-06-02,35
2019-06-09,49
2019-06-16,31
2019-06-23,40
2019-06-30,60
2019-07-07,0
2019-07-14,52
2019-07-21,29
2019-07-28,34
2019-08-04,39
2019-08-11,37
2019-08-18,33
2019-08-25,49
2019-09-01,42
2019-09-08,26
2019-09-15,31
2019-09-22,32
2019-09-29,42
2019-10-06,39
2019-10-13,42
2019-10-20,43
2019-10-27,40
2019-11-03,66
2019-11-10,54
2019-11-17,49
2019-11-24,68
2019-12-01,42
2019-12-08,52
2019-12-15,64
2019-12-22,76
2019-12-29,63
2020-01-05,39
2020-01-12,31
2020-01-19,63
2020-01-26,44
2020-02-02,62
2020-02-09,55
2020-02-16,55
2020-02-23,55
2020-03-01,75
2020-03-08,43
2020-03-15,55
2020-03-22,33
2020-03-29,35
2020-04-05,30
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,21
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,25
2020-07-05,0
2020-07-12,27
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,25
2020-08-30,0
2020-09-06,20
2020-09-13,0
2020-09-20,18
2020-09-27,21
2020-10-04,25
2020-10-11,26
2020-10-18,25
2020-10-25,26
2020-11-01,20
2020-11-08,0
2020-11-15,0
2020-11-22,20
2020-11-29,0
2020-12-06,0
2020-12-13,19
2020-12-20,22
2020-12-27,0
2021-01-03,31
2021-01-10,22
2021-01-17,32
2021-01-24,20
2021-01-31,29
2021-02-07,25
2021-02-14,0
2021-02-21,0
2021-02-28,31
2021-03-07,29
2021-03-14,27
2021-03-21,0
2021-03-28,50
2021-04-04,36
2021-04-11,34
2021-04-18,28
2021-04-25,26
2021-05-02,27
2021-05-09,32
2021-05-16,35
2021-05-23,0
2021-05-30,0
2021-06-06,27
2021-06-13,25
2021-06-20,27
2021-06-27,24
2021-07-04,30
2021-07-11,46
2021-07-18,23
2021-07-25,39
2021-08-01,36
2021-08-08,22
2021-08-15,33
2021-08-22,30
2021-08-29,33
2021-09-05,39
2021-09-12,42
2021-09-19,27
2021-09-26,43
2021-10-03,36
2021-10-10,60
2021-10-17,0
2021-10-24,34
2021-10-31,45
2021-11-07,47
2021-11-14,45
2021-11-21,36
2021-11-28,61
2021-12-05,47
2021-12-12,64
2021-12-19,70
2021-12-26,40
2022-01-02,59
2022-01-09,43
2022-01-16,44
2022-01-23,33
2022-01-30,46
2022-02-06,42
2022-02-13,50
2022-02-20,57
2022-02-27,50
2022-03-06,61
2022-03-13,62
2022-03-20,57
2022-03-27,65
2022-04-03,38
2022-04-10,50
2022-04-17,56
2022-04-24,51
2022-05-01,66
2022-05-08,47
2022-05-15,53
2022-05-22,46
2022-05-29,54
2022-06-05,61
2022-06-12,71
2022-06-19,63
2022-06-26,62
2022-07-03,52
2022-07-10,51
2022-07-17,65
2022-07-24,49
2022-07-31,66
2022-08-07,63
2022-08-14,48
2022-08-21,53
2022-08-28,54
2022-09-04,42
2022-09-11,52
2022-09-18,44
2022-09-25,51
2022-10-02,33
2022-10-09,37
2022-10-16,52
2022-10-23,54
2022-10-30,57
2022-11-06,49
2022-11-13,59
2022-11-20,66
2022-11-27,45
2022-12-04,64
2022-12-11,55
2022-12-18,58
2022-12-25,90
2023-01-01,66
2023-01-08,63
2023-01-15,59
2023-01-22,93
2023-01-29,81
2023-02-05,72
2023-02-12,56
2023-02-19,66
2023-02-26,71
2023-03-05,73
2023-03-12,63
2023-03-19,68
2023-03-26,44
2023-04-02,66
2023-04-09,69
2023-04-16,50
2023-04-23,56
2023-04-30,45
2023-05-07,50
2023-05-14,52
2023-05-21,52
2023-05-28,41
2023-06-04,64
2023-06-11,62
2023-06-18,61
2023-06-25,90
2023-07-02,69
2023-07-09,52
2023-07-16,57
2023-07-23,45
2023-07-30,73
2023-08-06,67
2023-08-13,71
2023-08-20,57
2023-08-27,64
2023-09-03,63
2023-09-10,60
2023-09-17,52
2023-09-24,69
2023-10-01,63
2023-10-08,74
2023-10-15,64
2023-10-22,49
2023-10-29,54
2023-11-05,91
2023-11-12,69
2023-11-19,67
2023-11-26,62
2023-12-03,53
2023-12-10,71
2023-12-17,92
2023-12-24,98
2023-12-31,83
2024-01-07,100
