,Agrochemicals
2020-03-01,45.96264855687606
2020-03-08,53.623089983022076
2020-03-15,71.4974533106961
2020-03-22,53.623089983022076
2020-03-29,53.623089983022076
2020-04-05,58.73005093378608
2020-04-12,53.623089983022076
2020-04-19,66.3904923599321
2020-04-26,61.283531409168084
2020-05-03,68.9439728353141
2020-05-10,53.623089983022076
2020-05-17,56.17657045840408
2020-05-24,51.06960950764007
2020-05-31,51.06960950764007
2020-06-07,56.17657045840408
2020-06-14,61.283531409168084
2020-06-21,56.17657045840408
2020-06-28,53.623089983022076
2020-07-05,51.06960950764007
2020-07-12,56.17657045840408
2020-07-19,61.283531409168084
2020-07-26,63.83701188455009
2020-08-02,48.516129032258064
2020-08-09,66.3904923599321
2020-08-16,45.96264855687606
2020-08-23,51.06960950764007
2020-08-30,35.74872665534805
2020-09-06,58.73005093378608
2020-09-13,48.516129032258064
2020-09-20,43.40916808149406
2020-09-27,38.302207130730054
2020-10-04,45.96264855687606
2020-10-11,56.17657045840408
2020-10-18,53.623089983022076
2020-10-25,56.17657045840408
2020-11-01,53.623089983022076
2020-11-08,58.73005093378608
2020-11-15,51.06960950764007
2020-11-22,66.3904923599321
2020-11-29,61.283531409168084
2020-12-06,56.17657045840408
2020-12-13,68.9439728353141
2020-12-20,61.283531409168084
2020-12-27,40.855687606112056
2021-01-03,43.40916808149406
2021-01-10,53.623089983022076
2021-01-17,53.623089983022076
2021-01-24,58.73005093378608
2021-01-31,51.06960950764007
2021-02-07,58.73005093378608
2021-02-14,63.83701188455009
2021-02-21,89.37181663837012
2021-02-28,61.283531409168084
2021-03-07,45.96264855687606
2021-03-14,53.623089983022076
2021-03-21,45.96264855687606
2021-03-28,58.73005093378608
2021-04-04,63.83701188455009
2021-04-11,28.08828522920204
2021-04-18,66.3904923599321
2021-04-25,76.60441426146011
2021-05-02,43.40916808149406
2021-05-09,53.623089983022076
2021-05-16,53.623089983022076
2021-05-23,33.19524617996605
2021-05-30,61.283531409168084
2021-06-06,63.83701188455009
2021-06-13,63.83701188455009
2021-06-20,68.9439728353141
2021-06-27,61.283531409168084
2021-07-04,63.83701188455009
2021-07-11,74.0509337860781
2021-07-18,58.73005093378608
2021-07-25,58.73005093378608
2021-08-01,68.9439728353141
2021-08-08,76.60441426146011
2021-08-15,66.3904923599321
2021-08-22,40.855687606112056
2021-08-29,58.73005093378608
2021-09-05,53.623089983022076
2021-09-12,53.623089983022076
2021-09-19,48.516129032258064
2021-09-26,53.623089983022076
2021-10-03,58.73005093378608
2021-10-10,61.283531409168084
2021-10-17,56.17657045840408
2021-10-24,71.4974533106961
2021-10-31,63.83701188455009
2021-11-07,66.3904923599321
2021-11-14,68.9439728353141
2021-11-21,89.37181663837012
2021-11-28,79.15789473684211
2021-12-05,51.06960950764007
2021-12-12,56.17657045840408
2021-12-19,63.83701188455009
2021-12-26,104.69269949066215
2022-01-02,91.92529711375212
2022-01-09,68.9439728353141
2022-01-16,58.73005093378608
2022-01-23,68.9439728353141
2022-01-30,66.3904923599321
2022-02-06,71.4974533106961
2022-02-13,79.15789473684211
2022-02-20,79.15789473684211
2022-02-27,66.3904923599321
2022-03-06,63.83701188455009
2022-03-13,68.9439728353141
2022-03-20,71.4974533106961
2022-03-27,71.4974533106961
2022-04-03,53.623089983022076
2022-04-10,33.19524617996605
2022-04-17,61.283531409168084
2022-04-24,91.92529711375212
2022-05-01,58.73005093378608
2022-05-08,56.17657045840408
2022-05-15,48.516129032258064
2022-05-22,79.15789473684211
2022-05-29,79.15789473684211
2022-06-05,56.17657045840408
2022-06-12,71.4974533106961
2022-06-19,76.60441426146011
2022-06-26,76.60441426146011
2022-07-03,63.83701188455009
2022-07-10,56.17657045840408
2022-07-17,74.0509337860781
2022-07-24,74.0509337860781
2022-07-31,66.3904923599321
2022-08-07,84.26485568760611
2022-08-14,91.92529711375212
2022-08-21,76.60441426146011
2022-08-28,74.0509337860781
2022-09-04,63.83701188455009
2022-09-11,61.283531409168084
2022-09-18,71.4974533106961
2022-09-25,81.71137521222411
2022-10-02,71.4974533106961
2022-10-09,79.15789473684211
2022-10-16,91.92529711375212
2022-10-23,76.60441426146011
2022-10-30,76.60441426146011
2022-11-06,76.60441426146011
2022-11-13,91.92529711375212
2022-11-20,89.37181663837012
2022-11-27,186.40407470288625
2022-12-04,81.71137521222411
2022-12-11,76.60441426146011
2022-12-18,66.3904923599321
2022-12-25,74.0509337860781
2023-01-01,68.9439728353141
2023-01-08,81.71137521222411
2023-01-15,89.37181663837012
2023-01-22,89.37181663837012
2023-01-29,84.26485568760611
2023-02-05,86.81833616298812
2023-02-12,91.92529711375212
2023-02-19,81.71137521222411
2023-02-26,71.4974533106961
2023-03-05,74.0509337860781
2023-03-12,76.60441426146011
2023-03-19,74.0509337860781
2023-03-26,74.0509337860781
2023-04-02,68.9439728353141
2023-04-09,51.06960950764007
2023-04-16,79.15789473684211
2023-04-23,127.67402376910017
2023-04-30,56.17657045840408
2023-05-07,71.4974533106961
2023-05-14,91.92529711375212
2023-05-21,81.71137521222411
2023-05-28,76.60441426146011
2023-06-04,74.0509337860781
2023-06-11,79.15789473684211
2023-06-18,84.26485568760611
2023-06-25,76.60441426146011
2023-07-02,63.83701188455009
2023-07-09,91.92529711375212
2023-07-16,76.60441426146011
2023-07-23,81.71137521222411
2023-07-30,76.60441426146011
2023-08-06,97.03225806451613
2023-08-13,104.69269949066215
2023-08-20,74.0509337860781
2023-08-27,61.283531409168084
2023-09-03,66.3904923599321
2023-09-10,76.60441426146011
2023-09-17,76.60441426146011
2023-09-24,71.4974533106961
2023-10-01,68.9439728353141
2023-10-08,74.0509337860781
2023-10-15,86.81833616298812
2023-10-22,81.71137521222411
2023-10-29,91.92529711375212
2023-11-05,102.13921901528013
2023-11-12,114.90662139219016
2023-11-19,142.9949066213922
2023-11-26,255.34804753820035
2023-12-03,97.03225806451613
2023-12-10,94.47877758913413
2023-12-17,97.03225806451613
2023-12-24,89.37181663837012
2023-12-31,245.13412563667234
2024-01-07,191.64052249317268
2024-01-14,134.14836574522087
2024-01-21,114.98431349590362
2024-01-28,143.73039186987953
2024-02-04,153.31241799453815
2024-02-11,105.40228737124498
2024-02-18,95.82026124658634
2024-02-25,95.82026124658634
2024-03-03,95.82026124658634
2024-03-10,95.82026124658634
2024-03-17,86.23823512192772
2024-03-24,95.82026124658634
2024-03-31,95.82026124658634
2024-04-07,67.07418287261044
2024-04-14,86.23823512192772
2024-04-21,105.40228737124498
2024-04-28,172.47647024385543
2024-05-05,105.40228737124498
2024-05-12,95.82026124658634
2024-05-19,67.07418287261044
2024-05-26,124.56633962056225
2024-06-02,86.23823512192772
2024-06-09,105.40228737124498
2024-06-16,86.23823512192772
2024-06-23,95.82026124658634
2024-06-30,114.98431349590362
2024-07-07,105.40228737124498
2024-07-14,114.98431349590362
2024-07-21,105.40228737124498
2024-07-28,105.40228737124498
2024-08-04,114.98431349590362
2024-08-11,162.89444411919678
2024-08-18,95.82026124658634
2024-08-25,105.40228737124498
2024-09-01,105.40228737124498
2024-09-08,105.40228737124498
2024-09-15,67.07418287261044
2024-09-22,124.56633962056225
2024-09-29,134.14836574522087
2024-10-06,134.14836574522087
2024-10-13,153.31241799453815
2024-10-20,182.05849636851406
2024-10-27,172.47647024385543
2024-11-03,191.64052249317268
2024-11-10,182.05849636851406
2024-11-17,297.0428098644177
2024-11-24,958.2026124658635
2024-12-01,412.0271233603213
2024-12-08,201.22254861783134
2024-12-15,191.64052249317268
2024-12-22,134.14836574522087
2024-12-29,153.31241799453815
2025-01-05,134.14836574522087
2025-01-12,105.40228737124498
2025-01-19,153.31241799453815
2025-01-26,153.31241799453815
2025-02-02,134.14836574522087
2025-02-09,114.98431349590362
2025-02-16,134.14836574522087
2025-02-23,153.31241799453815
2025-03-02,114.98431349590362
2025-03-09,114.98431349590362
2025-03-16,124.56633962056225
2025-03-23,124.56633962056225
2025-03-30,172.47647024385543
2025-04-06,220.3866008671486
2025-04-13,134.14836574522087
2025-04-20,258.7147053657831
2025-04-27,287.46078373975905
2025-05-04,172.47647024385543
2025-05-11,124.56633962056225
2025-05-18,172.47647024385543
2025-05-25,182.05849636851406
2025-06-01,210.80457474248996
2025-06-08,143.73039186987953
2025-06-15,201.22254861783134
2025-06-22,210.80457474248996
2025-06-29,172.47647024385543
2025-07-06,143.73039186987953
2025-07-13,201.22254861783134
2025-07-20,172.47647024385543
2025-07-27,172.47647024385543
2025-08-03,162.89444411919678
2025-08-10,210.80457474248996
2025-08-17,182.05849636851406
2025-08-24,182.05849636851406
2025-08-31,162.89444411919678
2025-09-07,172.47647024385543
2025-09-14,201.22254861783134
2025-09-21,287.46078373975905
2025-09-28,450.3552278589558
2025-10-05,268.29673149044174
2025-10-12,297.0428098644177
2025-10-19,297.0428098644177
2025-10-26,287.46078373975905
2025-11-02,239.55065311646587
2025-11-09,344.95294048771086
2025-11-16,459.9372539836145
2025-11-23,756.9800638480322
2025-11-30,431.19117560963855
2025-12-07,306.6248359890763
2025-12-14,258.7147053657831
2025-12-21,287.46078373975905
2025-12-28,469.5192801082731
