,Luggage & Travel Accessories
2018-10-07,45.0
2018-10-14,0.0
2018-10-21,57.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,73.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,49.0
2018-12-09,0.0
2018-12-16,52.0
2018-12-23,63.0
2018-12-30,48.0
2019-01-06,50.0
2019-01-13,63.0
2019-01-20,0.0
2019-01-27,65.0
2019-02-03,54.0
2019-02-10,54.0
2019-02-17,92.0
2019-02-24,67.0
2019-03-03,0.0
2019-03-10,41.0
2019-03-17,53.0
2019-03-24,65.0
2019-03-31,51.0
2019-04-07,44.0
2019-04-14,64.0
2019-04-21,0.0
2019-04-28,0.0
2019-05-05,56.0
2019-05-12,52.0
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,49.0
2019-06-09,46.0
2019-06-16,78.0
2019-06-23,64.0
2019-06-30,41.0
2019-07-07,42.0
2019-07-14,51.0
2019-07-21,50.0
2019-07-28,45.0
2019-08-04,76.0
2019-08-11,42.0
2019-08-18,45.0
2019-08-25,44.0
2019-09-01,0.0
2019-09-08,0.0
2019-09-15,0.0
2019-09-22,39.0
2019-09-29,44.0
2019-10-06,0.0
2019-10-13,56.0
2019-10-20,48.0
2019-10-27,64.0
2019-11-03,0.0
2019-11-10,47.0
2019-11-17,50.0
2019-11-24,54.0
2019-12-01,53.0
2019-12-08,70.0
2019-12-15,59.0
2019-12-22,78.0
2019-12-29,43.0
2020-01-05,67.11937639198219
2020-01-12,75.1336302895323
2020-01-19,37.06592427616927
2020-01-26,40.07126948775056
2020-02-02,0.0
2020-02-09,69.12293986636972
2020-02-16,75.1336302895323
2020-02-23,48.085523385300675
2020-03-01,35.06236080178174
2020-03-08,36.0641425389755
2020-03-15,38.067706013363036
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,52.09265033407573
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,0.0
2020-10-04,38.067706013363036
2020-10-11,0.0
2020-10-18,0.0
2020-10-25,0.0
2020-11-01,37.06592427616927
2020-11-08,0.0
2020-11-15,41.07305122494433
2020-11-22,0.0
2020-11-29,36.0641425389755
2020-12-06,0.0
2020-12-13,0.0
2020-12-20,0.0
2020-12-27,53.094432071269495
2021-01-03,36.0641425389755
2021-01-10,0.0
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,35.06236080178174
2021-02-14,0.0
2021-02-21,44.07839643652562
2021-02-28,35.06236080178174
2021-03-07,0.0
2021-03-14,49.08730512249444
2021-03-21,51.09086859688197
2021-03-28,43.076614699331856
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,38.067706013363036
2021-04-25,0.0
2021-05-02,39.069487750556796
2021-05-09,0.0
2021-05-16,44.07839643652562
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,0.0
2021-06-20,0.0
2021-06-27,37.06592427616927
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,40.07126948775056
2021-08-01,68.12115812917595
2021-08-08,43.076614699331856
2021-08-15,75.1336302895323
2021-08-22,0.0
2021-08-29,49.08730512249444
2021-09-05,51.09086859688197
2021-09-12,43.076614699331856
2021-09-19,41.07305122494433
2021-09-26,40.07126948775056
2021-10-03,55.09799554565702
2021-10-10,61.10868596881961
2021-10-17,66.11759465478843
2021-10-24,0.0
2021-10-31,59.10512249443208
2021-11-07,42.07483296213809
2021-11-14,52.09265033407573
2021-11-21,0.0
2021-11-28,66.11759465478843
2021-12-05,79.14075723830736
2021-12-12,66.11759465478843
2021-12-19,54.09621380846326
2021-12-26,56.09977728285079
2022-01-02,58.103340757238314
2022-01-09,65.11581291759467
2022-01-16,0.0
2022-01-23,52.09265033407573
2022-01-30,39.069487750556796
2022-02-06,41.07305122494433
2022-02-13,55.09799554565702
2022-02-20,43.076614699331856
2022-02-27,52.09265033407573
2022-03-06,31.055233853006687
2022-03-13,47.08374164810691
2022-03-20,30.053452115812924
2022-03-27,38.067706013363036
2022-04-03,42.07483296213809
2022-04-10,60.10690423162585
2022-04-17,37.06592427616927
2022-04-24,37.06592427616927
2022-05-01,43.076614699331856
2022-05-08,67.11937639198219
2022-05-15,0.0
2022-05-22,59.10512249443208
2022-05-29,45.08017817371938
2022-06-05,59.10512249443208
2022-06-12,54.09621380846326
2022-06-19,42.07483296213809
2022-06-26,54.09621380846326
2022-07-03,60.10690423162585
2022-07-10,65.11581291759467
2022-07-17,49.08730512249444
2022-07-24,36.0641425389755
2022-07-31,51.09086859688197
2022-08-07,44.07839643652562
2022-08-14,58.103340757238314
2022-08-21,62.110467706013374
2022-08-28,0.0
2022-09-04,52.09265033407573
2022-09-11,59.10512249443208
2022-09-18,46.08195991091315
2022-09-25,56.09977728285079
2022-10-02,61.10868596881961
2022-10-09,34.06057906458798
2022-10-16,43.076614699331856
2022-10-23,55.09799554565702
2022-10-30,52.09265033407573
2022-11-06,0.0
2022-11-13,44.07839643652562
2022-11-20,0.0
2022-11-27,59.10512249443208
2022-12-04,71.12650334075725
2022-12-11,44.07839643652562
2022-12-18,55.09799554565702
2022-12-25,53.094432071269495
2023-01-01,51.09086859688197
2023-01-08,55.09799554565702
2023-01-15,39.069487750556796
2023-01-22,42.07483296213809
2023-01-29,53.094432071269495
2023-02-05,68.12115812917595
2023-02-12,62.110467706013374
2023-02-19,80.14253897550113
2023-02-26,73.13006681514477
2023-03-05,49.08730512249444
2023-03-12,73.13006681514477
2023-03-19,63.11224944320713
2023-03-26,36.0641425389755
2023-04-02,54.09621380846326
2023-04-09,57.101559020044554
2023-04-16,0.0
2023-04-23,62.110467706013374
2023-04-30,34.06057906458798
2023-05-07,50.0890868596882
2023-05-14,37.06592427616927
2023-05-21,43.076614699331856
2023-05-28,71.12650334075725
2023-06-04,51.09086859688197
2023-06-11,32.05701559020045
2023-06-18,45.08017817371938
2023-06-25,63.11224944320713
2023-07-02,65.11581291759467
2023-07-09,55.09799554565702
2023-07-16,100.1781737193764
2023-07-23,55.09799554565702
2023-07-30,78.13897550111359
2023-08-06,61.10868596881961
2023-08-13,88.15679287305124
2023-08-20,74.13184855233854
2023-08-27,53.094432071269495
2023-09-03,41.07305122494433
2023-09-10,49.08730512249444
2023-09-17,84.14966592427618
2023-09-24,44.07839643652562
2023-10-01,57.101559020044554
2023-10-08,63.11224944320713
2023-10-15,33.05879732739422
2023-10-22,75.1336302895323
2023-10-29,71.12650334075725
2023-11-05,71.12650334075725
2023-11-12,61.10868596881961
2023-11-19,58.103340757238314
2023-11-26,49.08730512249444
2023-12-03,90.16035634743876
2023-12-10,75.1336302895323
2023-12-17,61.10868596881961
2023-12-24,80.14253897550113
2023-12-31,38.067706013363036
2024-01-07,61.928624778769176
2024-01-14,39.17933404371111
2024-01-21,55.609377352364156
2024-01-28,64.45632374933119
2024-02-04,54.345527867083156
2024-02-11,73.3032701462982
2024-02-18,72.0394206610172
2024-02-25,41.70703301427312
2024-03-03,55.609377352364156
2024-03-10,49.29012992595914
2024-03-17,63.19247426405018
2024-03-24,64.45632374933119
2024-03-31,59.40092580820717
2024-04-07,73.3032701462982
2024-04-14,93.52486191079427
2024-04-21,94.78871139607527
2024-04-28,93.52486191079427
2024-05-05,69.5117216904552
2024-05-12,48.026280440678136
2024-05-19,77.09481860214122
2024-05-26,45.49858147011613
2024-06-02,0.0
2024-06-09,61.928624778769176
2024-06-16,72.0394206610172
2024-06-23,60.66477529348818
2024-06-30,83.41406602854624
2024-07-07,75.83096911686022
2024-07-14,59.40092580820717
2024-07-21,113.74645367529033
2024-07-28,60.66477529348818
2024-08-04,64.45632374933119
2024-08-11,107.42720624888531
2024-08-18,78.35866808742222
2024-08-25,93.52486191079427
2024-09-01,73.3032701462982
2024-09-08,84.67791551382724
2024-09-15,55.609377352364156
2024-09-22,73.3032701462982
2024-09-29,61.928624778769176
2024-10-06,65.72017323461219
2024-10-13,60.66477529348818
2024-10-20,78.35866808742222
2024-10-27,75.83096911686022
2024-11-03,94.78871139607527
2024-11-10,51.81782889652115
2024-11-17,73.3032701462982
2024-11-24,126.38494852810037
2024-12-01,80.88636705798423
2024-12-08,78.35866808742222
2024-12-15,111.21875470472831
2024-12-22,92.26101242551326
2024-12-29,113.74645367529033
2025-01-05,85.94176499910824
2025-01-12,106.1633567636043
2025-01-19,82.15021654326523
2025-01-26,66.98402271989319
2025-02-02,96.05256088135627
2025-02-09,82.15021654326523
2025-02-16,63.19247426405018
2025-02-23,99.84410933719928
2025-03-02,48.026280440678136
2025-03-09,73.3032701462982
2025-03-16,73.3032701462982
2025-03-23,54.345527867083156
2025-03-30,83.41406602854624
2025-04-06,94.78871139607527
2025-04-13,87.20561448438924
2025-04-20,61.928624778769176
2025-04-27,50.55397941124014
2025-05-04,69.5117216904552
2025-05-11,64.45632374933119
2025-05-18,66.98402271989319
2025-05-25,73.3032701462982
2025-06-01,77.09481860214122
2025-06-08,59.40092580820717
2025-06-15,42.97088249955412
2025-06-22,77.09481860214122
2025-06-29,0.0
2025-07-06,68.24787220517419
2025-07-13,66.98402271989319
2025-07-20,101.10795882248028
2025-07-27,89.73331345495126
2025-08-03,103.6356577930423
2025-08-10,79.62251757270323
2025-08-17,65.72017323461219
2025-08-24,70.7755711757362
2025-08-31,77.09481860214122
2025-09-07,55.609377352364156
2025-09-14,0.0
2025-09-21,64.45632374933119
2025-09-28,66.98402271989319
2025-10-05,48.026280440678136
2025-10-12,78.35866808742222
2025-10-19,0.0
2025-10-26,68.24787220517419
2025-11-02,68.24787220517419
2025-11-09,93.52486191079427
2025-11-16,66.98402271989319
2025-11-23,74.56711963157922
2025-11-30,77.09481860214122
2025-12-07,85.94176499910824
2025-12-14,93.52486191079427
2025-12-21,66.98402271989319
2025-12-28,107.42720624888531
2026-01-04,109.95490521944731
