,Performing Arts
2020-07-19,41.0
2020-07-26,25.0
2020-08-02,46.0
2020-08-09,45.0
2020-08-16,35.0
2020-08-23,55.0
2020-08-30,40.0
2020-09-06,36.0
2020-09-13,59.0
2020-09-20,37.0
2020-09-27,55.0
2020-10-04,50.0
2020-10-11,38.0
2020-10-18,47.0
2020-10-25,58.0
2020-11-01,52.0
2020-11-08,42.0
2020-11-15,59.0
2020-11-22,53.0
2020-11-29,61.0
2020-12-06,53.0
2020-12-13,40.0
2020-12-20,64.0
2020-12-27,42.0
2021-01-03,73.0
2021-01-10,83.0
2021-01-17,30.0
2021-01-24,62.0
2021-01-31,55.0
2021-02-07,63.0
2021-02-14,72.0
2021-02-21,51.0
2021-02-28,53.0
2021-03-07,53.0
2021-03-14,74.0
2021-03-21,74.0
2021-03-28,63.0
2021-04-04,82.0
2021-04-11,56.0
2021-04-18,50.0
2021-04-25,52.0
2021-05-02,71.0
2021-05-09,72.0
2021-05-16,61.0
2021-05-23,74.0
2021-05-30,53.0
2021-06-06,64.0
2021-06-13,46.0
2021-06-20,58.0
2021-06-27,62.0
2021-07-04,56.0
2021-07-11,54.0
2021-07-18,68.0
2021-07-25,53.0
2021-08-01,59.0
2021-08-08,54.0
2021-08-15,59.0
2021-08-22,75.0
2021-08-29,69.0
2021-09-05,70.0
2021-09-12,71.0
2021-09-19,38.0
2021-09-26,53.0
2021-10-03,67.0
2021-10-10,45.0
2021-10-17,55.0
2021-10-24,51.0
2021-10-31,76.0
2021-11-07,66.0
2021-11-14,69.0
2021-11-21,53.0
2021-11-28,63.0
2021-12-05,70.0
2021-12-12,67.0
2021-12-19,72.0
2021-12-26,80.0
2022-01-02,71.0
2022-01-09,76.0
2022-01-16,57.0
2022-01-23,48.0
2022-01-30,43.0
2022-02-06,64.0
2022-02-13,61.0
2022-02-20,49.0
2022-02-27,59.0
2022-03-06,44.0
2022-03-13,54.0
2022-03-20,50.0
2022-03-27,66.0
2022-04-03,36.0
2022-04-10,51.0
2022-04-17,38.0
2022-04-24,60.0
2022-05-01,46.0
2022-05-08,66.0
2022-05-15,62.0
2022-05-22,57.0
2022-05-29,47.0
2022-06-05,42.0
2022-06-12,54.0
2022-06-19,62.0
2022-06-26,57.0
2022-07-03,40.0
2022-07-10,51.0
2022-07-17,62.0
2022-07-24,45.0
2022-07-31,67.0
2022-08-07,63.0
2022-08-14,60.0
2022-08-21,60.0
2022-08-28,49.0
2022-09-04,58.0
2022-09-11,56.0
2022-09-18,54.0
2022-09-25,58.0
2022-10-02,53.0
2022-10-09,62.0
2022-10-16,64.0
2022-10-23,61.0
2022-10-30,61.0
2022-11-06,54.0
2022-11-13,59.0
2022-11-20,55.0
2022-11-27,48.0
2022-12-04,50.0
2022-12-11,51.0
2022-12-18,64.0
2022-12-25,72.0
2023-01-01,65.0
2023-01-08,63.0
2023-01-15,76.0
2023-01-22,60.0
2023-01-29,59.0
2023-02-05,74.0
2023-02-12,65.0
2023-02-19,59.0
2023-02-26,47.0
2023-03-05,62.0
2023-03-12,45.0
2023-03-19,58.0
2023-03-26,49.0
2023-04-02,58.0
2023-04-09,58.0
2023-04-16,65.0
2023-04-23,53.0
2023-04-30,55.0
2023-05-07,55.0
2023-05-14,45.0
2023-05-21,40.0
2023-05-28,38.0
2023-06-04,57.0
2023-06-11,51.0
2023-06-18,51.0
2023-06-25,20.0
2023-07-02,38.0
2023-07-09,29.0
2023-07-16,68.0
2023-07-23,68.0
2023-07-30,62.0
2023-08-06,61.0
2023-08-13,44.0
2023-08-20,57.0
2023-08-27,58.0
2023-09-03,58.0
2023-09-10,50.0
2023-09-17,61.0
2023-09-24,77.0
2023-10-01,49.0
2023-10-08,34.0
2023-10-15,43.0
2023-10-22,45.0
2023-10-29,78.0
2023-11-05,58.0
2023-11-12,81.0
2023-11-19,77.0
2023-11-26,66.0
2023-12-03,78.0
2023-12-10,67.0
2023-12-17,67.0
2023-12-24,88.0
2023-12-31,70.0
2024-01-07,71.67208848405986
2024-01-14,68.6857514638907
2024-01-21,70.67664281067013
2024-01-28,65.69941444372154
2024-02-04,87.59921925829538
2024-02-11,65.69941444372154
2024-02-18,64.70396877033181
2024-02-25,64.70396877033181
2024-03-03,68.6857514638907
2024-03-10,80.63109954456733
2024-03-17,52.758620689655174
2024-03-24,51.76317501626545
2024-03-31,47.78139232270657
2024-04-07,67.69030579050097
2024-04-14,51.76317501626545
2024-04-21,53.75406636304489
2024-04-28,55.744957709824334
2024-05-05,60.722186076772935
2024-05-12,49.772283669486015
2024-05-19,67.69030579050097
2024-05-26,57.735849056603776
2024-06-02,51.76317501626545
2024-06-09,60.722186076772935
2024-06-16,46.78594664931685
2024-06-23,58.73129472999349
2024-06-30,47.78139232270657
2024-07-07,69.68119713728042
2024-07-14,80.63109954456733
2024-07-21,58.73129472999349
2024-07-28,61.71763175016265
2024-08-04,78.6402081977879
2024-08-11,75.65387117761874
2024-08-18,67.69030579050097
2024-08-25,74.65842550422902
2024-09-01,77.64476252439817
2024-09-08,56.74040338321405
2024-09-15,61.71763175016265
2024-09-22,61.71763175016265
2024-09-29,48.77683799609629
2024-10-06,71.67208848405986
2024-10-13,77.64476252439817
2024-10-20,89.59011060507483
2024-10-27,61.71763175016265
2024-11-03,57.735849056603776
2024-11-10,53.75406636304489
2024-11-17,90.58555627846454
2024-11-24,65.69941444372154
2024-12-01,76.64931685100846
2024-12-08,59.72674040338321
2024-12-15,82.62199089134678
2024-12-22,67.69030579050097
2024-12-29,99.54456733897203
2025-01-05,93.5718932986337
2025-01-12,82.62199089134678
2025-01-19,71.67208848405986
2025-01-26,99.54456733897203
2025-02-02,58.73129472999349
2025-02-09,79.63565387117762
2025-02-16,42.80416395575797
2025-02-23,62.71307742355238
2025-03-02,59.72674040338321
2025-03-09,46.78594664931685
2025-03-16,54.74951203643461
2025-03-23,50.76772934287573
2025-03-30,53.75406636304489
2025-04-06,98.5491216655823
2025-04-13,64.70396877033181
2025-04-20,60.722186076772935
2025-04-27,89.59011060507483
2025-05-04,58.73129472999349
2025-05-11,51.76317501626545
2025-05-18,72.66753415744958
2025-05-25,46.78594664931685
2025-06-01,45.79050097592713
2025-06-08,65.69941444372154
2025-06-15,84.61288223812622
2025-06-22,52.758620689655174
2025-06-29,74.65842550422902
2025-07-06,58.73129472999349
2025-07-13,65.69941444372154
2025-07-20,38.82238126219909
2025-07-27,58.73129472999349
2025-08-03,58.73129472999349
2025-08-10,75.65387117761874
2025-08-17,63.708523096942095
2025-08-24,77.64476252439817
2025-08-31,30.858815875081326
2025-09-07,64.70396877033181
2025-09-14,61.71763175016265
2025-09-21,51.76317501626545
2025-09-28,66.69486011711126
2025-10-05,52.758620689655174
2025-10-12,62.71307742355238
2025-10-19,69.68119713728042
2025-10-26,62.71307742355238
2025-11-02,37.82693558880937
2025-11-09,78.6402081977879
2025-11-16,71.67208848405986
2025-11-23,59.72674040338321
2025-11-30,48.77683799609629
2025-12-07,90.58555627846454
2025-12-14,93.5718932986337
2025-12-21,86.60377358490565
2025-12-28,76.64931685100846
2026-01-04,78.6402081977879
