,Corporate Events
2018-10-07,50.0
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,62.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.0
2019-01-13,0.0
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,0.0
2019-02-10,58.0
2019-02-17,0.0
2019-02-24,69.0
2019-03-03,54.0
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,0.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,53.0
2019-06-02,0.0
2019-06-09,56.0
2019-06-16,58.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,0.0
2019-07-14,50.0
2019-07-21,66.0
2019-07-28,0.0
2019-08-04,0.0
2019-08-11,0.0
2019-08-18,0.0
2019-08-25,0.0
2019-09-01,0.0
2019-09-08,48.0
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,0.0
2019-10-20,0.0
2019-10-27,0.0
2019-11-03,0.0
2019-11-10,0.0
2019-11-17,0.0
2019-11-24,0.0
2019-12-01,0.0
2019-12-08,0.0
2019-12-15,64.0
2019-12-22,0.0
2019-12-29,0.0
2020-01-05,44.816326530612244
2020-01-12,0.0
2020-01-19,44.816326530612244
2020-01-26,0.0
2020-02-02,49.95918367346939
2020-02-09,0.0
2020-02-16,0.0
2020-02-23,73.46938775510205
2020-03-01,0.0
2020-03-08,40.40816326530612
2020-03-15,0.0
2020-03-22,0.0
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,38.93877551020408
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,0.0
2020-05-24,0.0
2020-05-31,0.0
2020-06-07,0.0
2020-06-14,0.0
2020-06-21,0.0
2020-06-28,0.0
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,0.0
2020-10-04,0.0
2020-10-11,0.0
2020-10-18,0.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,0.0
2020-11-29,0.0
2020-12-06,0.0
2020-12-13,0.0
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,0.0
2021-01-10,0.0
2021-01-17,0.0
2021-01-24,54.36734693877551
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,0.0
2021-02-28,0.0
2021-03-07,0.0
2021-03-14,44.816326530612244
2021-03-21,47.02040816326531
2021-03-28,0.0
2021-04-04,0.0
2021-04-11,0.0
2021-04-18,0.0
2021-04-25,46.285714285714285
2021-05-02,0.0
2021-05-09,0.0
2021-05-16,0.0
2021-05-23,0.0
2021-05-30,0.0
2021-06-06,0.0
2021-06-13,64.6530612244898
2021-06-20,0.0
2021-06-27,0.0
2021-07-04,0.0
2021-07-11,0.0
2021-07-18,0.0
2021-07-25,0.0
2021-08-01,54.36734693877551
2021-08-08,0.0
2021-08-15,0.0
2021-08-22,0.0
2021-08-29,0.0
2021-09-05,0.0
2021-09-12,0.0
2021-09-19,0.0
2021-09-26,65.38775510204081
2021-10-03,60.9795918367347
2021-10-10,53.632653061224495
2021-10-17,0.0
2021-10-24,0.0
2021-10-31,0.0
2021-11-07,55.83673469387755
2021-11-14,0.0
2021-11-21,0.0
2021-11-28,0.0
2021-12-05,0.0
2021-12-12,0.0
2021-12-19,0.0
2021-12-26,0.0
2022-01-02,56.57142857142858
2022-01-09,0.0
2022-01-16,0.0
2022-01-23,0.0
2022-01-30,0.0
2022-02-06,0.0
2022-02-13,0.0
2022-02-20,0.0
2022-02-27,44.816326530612244
2022-03-06,39.673469387755105
2022-03-13,36.734693877551024
2022-03-20,0.0
2022-03-27,0.0
2022-04-03,0.0
2022-04-10,0.0
2022-04-17,0.0
2022-04-24,49.22448979591837
2022-05-01,0.0
2022-05-08,0.0
2022-05-15,0.0
2022-05-22,0.0
2022-05-29,0.0
2022-06-05,0.0
2022-06-12,0.0
2022-06-19,0.0
2022-06-26,0.0
2022-07-03,0.0
2022-07-10,0.0
2022-07-17,0.0
2022-07-24,0.0
2022-07-31,0.0
2022-08-07,0.0
2022-08-14,0.0
2022-08-21,41.87755102040816
2022-08-28,42.61224489795919
2022-09-04,0.0
2022-09-11,0.0
2022-09-18,50.693877551020414
2022-09-25,0.0
2022-10-02,37.46938775510204
2022-10-09,42.61224489795919
2022-10-16,0.0
2022-10-23,44.816326530612244
2022-10-30,0.0
2022-11-06,0.0
2022-11-13,51.42857142857143
2022-11-20,0.0
2022-11-27,0.0
2022-12-04,0.0
2022-12-11,39.673469387755105
2022-12-18,0.0
2022-12-25,0.0
2023-01-01,0.0
2023-01-08,37.46938775510204
2023-01-15,0.0
2023-01-22,57.30612244897959
2023-01-29,0.0
2023-02-05,37.46938775510204
2023-02-12,0.0
2023-02-19,40.40816326530612
2023-02-26,44.816326530612244
2023-03-05,61.714285714285715
2023-03-12,0.0
2023-03-19,0.0
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,44.08163265306123
2023-04-23,0.0
2023-04-30,0.0
2023-05-07,49.95918367346939
2023-05-14,37.46938775510204
2023-05-21,47.75510204081633
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,0.0
2023-06-25,0.0
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,42.61224489795919
2023-07-30,0.0
2023-08-06,52.163265306122454
2023-08-13,0.0
2023-08-20,39.673469387755105
2023-08-27,0.0
2023-09-03,40.40816326530612
2023-09-10,0.0
2023-09-17,38.204081632653065
2023-09-24,0.0
2023-10-01,46.285714285714285
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,40.40816326530612
2023-11-12,45.55102040816327
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,44.5352431209951
2024-01-14,41.35415432663831
2024-01-21,65.74250175004039
2024-01-28,48.776694846804155
2024-02-04,54.07850950406548
2024-02-11,44.5352431209951
2024-02-18,0.0
2024-02-25,60.44068709277906
2024-03-03,0.0
2024-03-10,0.0
2024-03-17,0.0
2024-03-24,80.58758279037208
2024-03-31,61.501050024231326
2024-04-07,44.5352431209951
2024-04-14,0.0
2024-04-21,0.0
2024-04-28,51.957783641160944
2024-05-05,66.80286468149265
2024-05-12,69.98395347584943
2024-05-19,55.13887243551774
2024-05-26,0.0
2024-06-02,0.0
2024-06-09,0.0
2024-06-16,0.0
2024-06-23,47.71633191535189
2024-06-30,0.0
2024-07-07,0.0
2024-07-14,63.621775887135854
2024-07-21,0.0
2024-07-28,0.0
2024-08-04,51.957783641160944
2024-08-11,55.13887243551774
2024-08-18,55.13887243551774
2024-08-25,0.0
2024-09-01,45.595606052447366
2024-09-08,56.19923536697
2024-09-15,0.0
2024-09-22,49.83705777825642
2024-09-29,45.595606052447366
2024-10-06,0.0
2024-10-13,0.0
2024-10-20,45.595606052447366
2024-10-27,59.3803241613268
2024-11-03,50.89742070970868
2024-11-10,47.71633191535189
2024-11-17,64.68213881858811
2024-11-24,67.86322761294491
2024-12-01,0.0
2024-12-08,0.0
2024-12-15,0.0
2024-12-22,0.0
2024-12-29,0.0
2025-01-05,0.0
2025-01-12,45.595606052447366
2025-01-19,67.86322761294491
2025-01-26,0.0
2025-02-02,106.03629314522642
2025-02-09,64.68213881858811
2025-02-16,0.0
2025-02-23,46.655968983899626
2025-03-02,66.80286468149265
2025-03-09,77.40649399601529
2025-03-16,0.0
2025-03-23,0.0
2025-03-30,0.0
2025-04-06,0.0
2025-04-13,85.8893974476334
2025-04-20,0.0
2025-04-27,0.0
2025-05-04,46.655968983899626
2025-05-11,0.0
2025-05-18,0.0
2025-05-25,65.74250175004039
2025-06-01,0.0
2025-06-08,0.0
2025-06-15,0.0
2025-06-22,0.0
2025-06-29,61.501050024231326
2025-07-06,0.0
2025-07-13,48.776694846804155
2025-07-20,0.0
2025-07-27,0.0
2025-08-03,0.0
2025-08-10,45.595606052447366
2025-08-17,45.595606052447366
2025-08-24,45.595606052447366
2025-08-31,0.0
2025-09-07,0.0
2025-09-14,0.0
2025-09-21,0.0
2025-09-28,46.655968983899626
2025-10-05,47.71633191535189
2025-10-12,51.957783641160944
2025-10-19,0.0
2025-10-26,46.655968983899626
2025-11-02,48.776694846804155
2025-11-09,46.655968983899626
2025-11-16,0.0
2025-11-23,0.0
2025-11-30,0.0
2025-12-07,0.0
2025-12-14,0.0
2025-12-21,58.31996122987454
2025-12-28,55.13887243551774
2026-01-04,48.776694846804155
