,Job
2014-12-28,55.0
2015-01-04,48.0
2015-01-11,61.0
2015-01-18,72.0
2015-01-25,67.0
2015-02-01,70.0
2015-02-08,65.0
2015-02-15,68.0
2015-02-22,68.0
2015-03-01,71.0
2015-03-08,71.0
2015-03-15,68.0
2015-03-22,71.0
2015-03-29,66.0
2015-04-05,61.0
2015-04-12,55.0
2015-04-19,77.0
2015-04-26,68.0
2015-05-03,71.0
2015-05-10,77.0
2015-05-17,70.0
2015-05-24,70.0
2015-05-31,70.0
2015-06-07,70.0
2015-06-14,71.0
2015-06-21,75.0
2015-06-28,66.0
2015-07-05,70.0
2015-07-12,67.0
2015-07-19,67.0
2015-07-26,55.0
2015-08-02,63.0
2015-08-09,58.0
2015-08-16,52.0
2015-08-23,61.0
2015-08-30,65.0
2015-09-06,69.0
2015-09-13,74.0
2015-09-20,67.0
2015-09-27,66.0
2015-10-04,67.0
2015-10-11,67.0
2015-10-18,77.0
2015-10-25,64.0
2015-11-01,71.0
2015-11-08,67.0
2015-11-15,70.0
2015-11-22,67.0
2015-11-29,73.0
2015-12-06,67.0
2015-12-13,67.0
2015-12-20,69.0
2015-12-27,63.0
2016-01-03,73.0
2016-01-10,66.0
2016-01-17,71.0
2016-01-24,66.0
2016-01-31,64.0
2016-02-07,67.0
2016-02-14,68.0
2016-02-21,61.0
2016-02-28,64.0
2016-03-06,62.0
2016-03-13,64.0
2016-03-20,59.0
2016-03-27,62.0
2016-04-03,57.0
2016-04-10,38.0
2016-04-17,61.0
2016-04-24,72.0
2016-05-01,63.0
2016-05-08,62.0
2016-05-15,59.0
2016-05-22,66.0
2016-05-29,67.0
2016-06-05,66.0
2016-06-12,62.0
2016-06-19,68.0
2016-06-26,65.0
2016-07-03,67.0
2016-07-10,63.0
2016-07-17,59.0
2016-07-24,59.0
2016-07-31,58.0
2016-08-07,60.0
2016-08-14,56.0
2016-08-21,60.0
2016-08-28,66.0
2016-09-04,64.0
2016-09-11,63.0
2016-09-18,69.0
2016-09-25,65.0
2016-10-02,72.0
2016-10-09,65.0
2016-10-16,63.0
2016-10-23,65.0
2016-10-30,61.0
2016-11-06,62.0
2016-11-13,66.0
2016-11-20,60.0
2016-11-27,60.0
2016-12-04,56.0
2016-12-11,57.0
2016-12-18,55.0
2016-12-25,50.0
2017-01-01,61.0
2017-01-08,65.0
2017-01-15,66.0
2017-01-22,62.0
2017-01-29,65.0
2017-02-05,61.0
2017-02-12,61.0
2017-02-19,64.0
2017-02-26,64.0
2017-03-05,60.0
2017-03-12,63.0
2017-03-19,66.0
2017-03-26,58.0
2017-04-02,55.0
2017-04-09,39.0
2017-04-16,63.0
2017-04-23,62.0
2017-04-30,58.0
2017-05-07,52.0
2017-05-14,59.0
2017-05-21,60.0
2017-05-28,59.0
2017-06-04,60.0
2017-06-11,69.0
2017-06-18,65.0
2017-06-25,59.0
2017-07-02,65.0
2017-07-09,65.0
2017-07-16,60.0
2017-07-23,62.0
2017-07-30,59.0
2017-08-06,60.0
2017-08-13,67.0
2017-08-20,57.0
2017-08-27,60.0
2017-09-03,65.0
2017-09-10,70.0
2017-09-17,66.0
2017-09-24,67.0
2017-10-01,58.0
2017-10-08,66.0
2017-10-15,66.0
2017-10-22,70.0
2017-10-29,62.0
2017-11-05,71.0
2017-11-12,63.0
2017-11-19,60.0
2017-11-26,51.0
2017-12-03,62.0
2017-12-10,61.0
2017-12-17,56.0
2017-12-24,56.0
2017-12-31,65.0
2018-01-07,69.0
2018-01-14,65.0
2018-01-21,64.0
2018-01-28,59.0
2018-02-04,61.0
2018-02-11,59.0
2018-02-18,70.0
2018-02-25,60.0
2018-03-04,64.0
2018-03-11,71.0
2018-03-18,70.0
2018-03-25,57.0
2018-04-01,66.0
2018-04-08,48.0
2018-04-15,60.0
2018-04-22,73.0
2018-04-29,64.0
2018-05-06,64.0
2018-05-13,69.0
2018-05-20,71.0
2018-05-27,72.0
2018-06-03,72.0
2018-06-10,66.0
2018-06-17,74.0
2018-06-24,63.0
2018-07-01,73.0
2018-07-08,71.0
2018-07-15,71.0
2018-07-22,66.0
2018-07-29,72.0
2018-08-05,68.0
2018-08-12,71.0
2018-08-19,73.0
2018-08-26,70.0
2018-09-02,74.0
2018-09-09,75.0
2018-09-16,67.0
2018-09-23,68.0
2018-09-30,67.0
