,Spas & Beauty Services
2020-07-12,71.0
2020-07-19,66.0
2020-07-26,77.0
2020-08-02,72.0
2020-08-09,72.0
2020-08-16,68.0
2020-08-23,79.0
2020-08-30,77.0
2020-09-06,71.0
2020-09-13,74.0
2020-09-20,64.0
2020-09-27,73.0
2020-10-04,68.0
2020-10-11,70.0
2020-10-18,63.0
2020-10-25,59.0
2020-11-01,56.0
2020-11-08,57.0
2020-11-15,55.0
2020-11-22,54.0
2020-11-29,64.0
2020-12-06,70.0
2020-12-13,70.0
2020-12-20,67.0
2020-12-27,68.0
2021-01-03,67.0
2021-01-10,60.0
2021-01-17,65.0
2021-01-24,65.0
2021-01-31,62.0
2021-02-07,66.0
2021-02-14,69.0
2021-02-21,67.0
2021-02-28,73.0
2021-03-07,70.0
2021-03-14,69.0
2021-03-21,73.0
2021-03-28,75.0
2021-04-04,69.0
2021-04-11,68.0
2021-04-18,73.0
2021-04-25,73.0
2021-05-02,68.0
2021-05-09,66.0
2021-05-16,68.0
2021-05-23,61.0
2021-05-30,69.0
2021-06-06,68.0
2021-06-13,63.0
2021-06-20,67.0
2021-06-27,67.0
2021-07-04,75.0
2021-07-11,78.0
2021-07-18,74.0
2021-07-25,69.0
2021-08-01,67.0
2021-08-08,65.0
2021-08-15,65.0
2021-08-22,57.0
2021-08-29,61.0
2021-09-05,59.0
2021-09-12,65.0
2021-09-19,62.0
2021-09-26,62.0
2021-10-03,66.0
2021-10-10,72.0
2021-10-17,70.0
2021-10-24,73.0
2021-10-31,74.0
2021-11-07,77.0
2021-11-14,77.0
2021-11-21,73.0
2021-11-28,76.0
2021-12-05,76.0
2021-12-12,81.0
2021-12-19,83.0
2021-12-26,84.0
2022-01-02,89.0
2022-01-09,88.0
2022-01-16,77.0
2022-01-23,72.0
2022-01-30,85.0
2022-02-06,79.0
2022-02-13,90.0
2022-02-20,84.0
2022-02-27,77.0
2022-03-06,84.0
2022-03-13,80.0
2022-03-20,80.0
2022-03-27,76.0
2022-04-03,77.0
2022-04-10,81.0
2022-04-17,83.0
2022-04-24,85.0
2022-05-01,81.0
2022-05-08,70.0
2022-05-15,74.0
2022-05-22,73.0
2022-05-29,76.0
2022-06-05,75.0
2022-06-12,81.0
2022-06-19,78.0
2022-06-26,75.0
2022-07-03,72.0
2022-07-10,75.0
2022-07-17,75.0
2022-07-24,78.0
2022-07-31,82.0
2022-08-07,91.0
2022-08-14,87.0
2022-08-21,84.0
2022-08-28,86.0
2022-09-04,81.0
2022-09-11,72.0
2022-09-18,83.0
2022-09-25,79.0
2022-10-02,77.0
2022-10-09,81.0
2022-10-16,79.0
2022-10-23,82.0
2022-10-30,81.0
2022-11-06,77.0
2022-11-13,82.0
2022-11-20,72.0
2022-11-27,76.0
2022-12-04,74.0
2022-12-11,81.0
2022-12-18,95.0
2022-12-25,89.0
2023-01-01,88.0
2023-01-08,82.0
2023-01-15,79.0
2023-01-22,77.0
2023-01-29,84.0
2023-02-05,93.0
2023-02-12,79.0
2023-02-19,83.0
2023-02-26,80.0
2023-03-05,77.0
2023-03-12,77.0
2023-03-19,77.0
2023-03-26,78.0
2023-04-02,80.0
2023-04-09,74.0
2023-04-16,79.0
2023-04-23,75.0
2023-04-30,76.0
2023-05-07,78.0
2023-05-14,73.0
2023-05-21,76.0
2023-05-28,78.0
2023-06-04,77.0
2023-06-11,79.0
2023-06-18,77.0
2023-06-25,82.0
2023-07-02,87.0
2023-07-09,82.0
2023-07-16,86.0
2023-07-23,80.0
2023-07-30,82.0
2023-08-06,90.0
2023-08-13,90.0
2023-08-20,79.0
2023-08-27,87.0
2023-09-03,77.0
2023-09-10,76.0
2023-09-17,80.0
2023-09-24,88.0
2023-10-01,76.0
2023-10-08,75.0
2023-10-15,74.0
2023-10-22,75.0
2023-10-29,75.0
2023-11-05,72.0
2023-11-12,79.0
2023-11-19,80.0
2023-11-26,82.0
2023-12-03,80.0
2023-12-10,79.0
2023-12-17,88.0
2023-12-24,95.0
2023-12-31,86.0
2024-01-07,83.49019607843137
2024-01-14,85.65877259994906
2024-01-21,84.5744843391902
2024-01-28,86.74306086070791
2024-02-04,88.9116373822256
2024-02-11,94.33307868601985
2024-02-18,85.65877259994906
2024-02-25,76.98446651387827
2024-03-03,91.0802139037433
2024-03-10,78.06875477463711
2024-03-17,88.9116373822256
2024-03-24,87.82734912146675
2024-03-31,80.23733129615482
2024-04-07,83.49019607843137
2024-04-14,96.50165520753755
2024-04-21,83.49019607843137
2024-04-28,87.82734912146675
2024-05-05,78.06875477463711
2024-05-12,88.9116373822256
2024-05-19,78.06875477463711
2024-05-26,88.9116373822256
2024-06-02,79.15304303539597
2024-06-09,86.74306086070791
2024-06-16,85.65877259994906
2024-06-23,81.32161955691366
2024-06-30,84.5744843391902
2024-07-07,78.06875477463711
2024-07-14,82.40590781767251
2024-07-21,95.4173669467787
2024-07-28,89.99592564298446
2024-08-04,93.248790425261
2024-08-11,96.50165520753755
2024-08-18,94.33307868601985
2024-08-25,95.4173669467787
2024-09-01,91.0802139037433
2024-09-08,89.99592564298446
2024-09-15,84.5744843391902
2024-09-22,79.15304303539597
2024-09-29,72.64731347084287
2024-10-06,84.5744843391902
2024-10-13,81.32161955691366
2024-10-20,83.49019607843137
2024-10-27,85.65877259994906
2024-11-03,79.15304303539597
2024-11-10,81.32161955691366
2024-11-17,89.99592564298446
2024-11-24,78.06875477463711
2024-12-01,85.65877259994906
2024-12-08,81.32161955691366
2024-12-15,99.7545199898141
2024-12-22,108.42882607588488
2024-12-29,97.58594346829639
2025-01-05,100.83880825057294
2025-01-12,92.16450216450215
2025-01-19,91.0802139037433
2025-01-26,86.74306086070791
2025-02-02,89.99592564298446
2025-02-09,86.74306086070791
2025-02-16,81.32161955691366
2025-02-23,91.0802139037433
2025-03-02,81.32161955691366
2025-03-09,83.49019607843137
2025-03-16,75.90017825311942
2025-03-23,75.90017825311942
2025-03-30,85.65877259994906
2025-04-06,82.40590781767251
2025-04-13,84.5744843391902
2025-04-20,88.9116373822256
2025-04-27,85.65877259994906
2025-05-04,84.5744843391902
2025-05-11,73.73160173160173
2025-05-18,76.98446651387827
2025-05-25,80.23733129615482
2025-06-01,85.65877259994906
2025-06-08,80.23733129615482
2025-06-15,85.65877259994906
2025-06-22,83.49019607843137
2025-06-29,84.5744843391902
2025-07-06,87.82734912146675
2025-07-13,87.82734912146675
2025-07-20,95.4173669467787
2025-07-27,86.74306086070791
2025-08-03,101.92309651133179
2025-08-10,86.74306086070791
2025-08-17,86.74306086070791
2025-08-24,88.9116373822256
2025-08-31,85.65877259994906
2025-09-07,81.32161955691366
2025-09-14,79.15304303539597
2025-09-21,85.65877259994906
2025-09-28,78.06875477463711
2025-10-05,86.74306086070791
2025-10-12,79.15304303539597
2025-10-19,80.23733129615482
2025-10-26,75.90017825311942
2025-11-02,82.40590781767251
2025-11-09,82.40590781767251
2025-11-16,88.9116373822256
2025-11-23,82.40590781767251
2025-11-30,73.73160173160173
2025-12-07,82.40590781767251
2025-12-14,88.9116373822256
2025-12-21,101.92309651133179
2025-12-28,105.17596129360834
