,Newspapers
2014-12-28,50.0
2015-01-04,46.0
2015-01-11,42.0
2015-01-18,48.0
2015-01-25,44.0
2015-02-01,47.0
2015-02-08,54.0
2015-02-15,50.0
2015-02-22,47.0
2015-03-01,42.0
2015-03-08,47.0
2015-03-15,47.0
2015-03-22,48.0
2015-03-29,45.0
2015-04-05,46.0
2015-04-12,44.0
2015-04-19,46.0
2015-04-26,50.0
2015-05-03,44.0
2015-05-10,51.0
2015-05-17,47.0
2015-05-24,45.0
2015-05-31,46.0
2015-06-07,46.0
2015-06-14,47.0
2015-06-21,51.0
2015-06-28,57.0
2015-07-05,56.0
2015-07-12,59.0
2015-07-19,59.0
2015-07-26,71.0
2015-08-02,61.0
2015-08-09,58.0
2015-08-16,55.0
2015-08-23,56.0
2015-08-30,57.0
2015-09-06,57.0
2015-09-13,57.0
2015-09-20,54.0
2015-09-27,54.0
2015-10-04,54.0
2015-10-11,55.0
2015-10-18,48.0
2015-10-25,55.0
2015-11-01,52.0
2015-11-08,49.0
2015-11-15,52.0
2015-11-22,50.0
2015-11-29,56.0
2015-12-06,54.0
2015-12-13,50.0
2015-12-20,52.0
2015-12-27,52.0
2016-01-03,50.0
2016-01-10,47.0
2016-01-17,48.0
2016-01-24,47.0
2016-01-31,47.0
2016-02-07,48.0
2016-02-14,54.0
2016-02-21,53.0
2016-02-28,52.0
2016-03-06,51.0
2016-03-13,53.0
2016-03-20,48.0
2016-03-27,53.0
2016-04-03,48.0
2016-04-10,47.0
2016-04-17,47.0
2016-04-24,50.0
2016-05-01,51.0
2016-05-08,51.0
2016-05-15,68.0
2016-05-22,56.0
2016-05-29,53.0
2016-06-05,52.0
2016-06-12,51.0
2016-06-19,57.0
2016-06-26,59.0
2016-07-03,55.0
2016-07-10,55.0
2016-07-17,60.0
2016-07-24,61.0
2016-07-31,60.0
2016-08-07,60.0
2016-08-14,56.0
2016-08-21,59.0
2016-08-28,60.0
2016-09-04,54.0
2016-09-11,58.0
2016-09-18,68.0
2016-09-25,71.0
2016-10-02,67.0
2016-10-09,56.0
2016-10-16,58.0
2016-10-23,55.0
2016-10-30,52.0
2016-11-06,70.0
2016-11-13,65.0
2016-11-20,64.0
2016-11-27,64.0
2016-12-04,74.0
2016-12-11,65.0
2016-12-18,67.0
2016-12-25,66.0
2017-01-01,62.0
2017-01-08,56.0
2017-01-15,66.0
2017-01-22,59.0
2017-01-29,60.0
2017-02-05,64.0
2017-02-12,72.0
2017-02-19,60.0
2017-02-26,55.0
2017-03-05,66.0
2017-03-12,59.0
2017-03-19,63.0
2017-03-26,61.0
2017-04-02,59.0
2017-04-09,59.0
2017-04-16,58.0
2017-04-23,61.0
2017-04-30,57.0
2017-05-07,57.0
2017-05-14,58.0
2017-05-21,61.0
2017-05-28,63.0
2017-06-04,63.0
2017-06-11,62.0
2017-06-18,59.0
2017-06-25,64.0
2017-07-02,66.0
2017-07-09,68.0
2017-07-16,71.0
2017-07-23,74.0
2017-07-30,63.0
2017-08-06,69.0
2017-08-13,66.0
2017-08-20,71.0
2017-08-27,72.0
2017-09-03,63.0
2017-09-10,62.0
2017-09-17,64.0
2017-09-24,58.0
2017-10-01,57.0
2017-10-08,61.0
2017-10-15,47.0
2017-10-22,52.0
2017-10-29,60.0
2017-11-05,62.0
2017-11-12,54.0
2017-11-19,54.0
2017-11-26,60.0
2017-12-03,57.0
2017-12-10,59.0
2017-12-17,71.0
2017-12-24,61.0
2017-12-31,61.0
2018-01-07,55.0
2018-01-14,56.0
2018-01-21,56.0
2018-01-28,59.0
2018-02-04,55.0
2018-02-11,56.0
2018-02-18,58.0
2018-02-25,61.0
2018-03-04,58.0
2018-03-11,61.0
2018-03-18,58.0
2018-03-25,61.0
2018-04-01,63.0
2018-04-08,62.0
2018-04-15,60.0
2018-04-22,60.0
2018-04-29,56.0
2018-05-06,59.0
2018-05-13,84.0
2018-05-20,66.0
2018-05-27,68.0
2018-06-03,62.0
2018-06-10,63.0
