,Loan
2018-10-14,0.0
2018-10-21,0.0
2018-10-28,0.0
2018-11-04,0.0
2018-11-11,0.0
2018-11-18,0.0
2018-11-25,0.0
2018-12-02,0.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.0
2019-01-13,0.0
2019-01-20,0.0
2019-01-27,0.0
2019-02-03,0.0
2019-02-10,0.0
2019-02-17,0.0
2019-02-24,0.0
2019-03-03,0.0
2019-03-10,0.0
2019-03-17,0.0
2019-03-24,0.0
2019-03-31,0.0
2019-04-07,0.0
2019-04-14,0.0
2019-04-21,0.0
2019-04-28,0.0
2019-05-05,0.0
2019-05-12,0.0
2019-05-19,0.0
2019-05-26,0.0
2019-06-02,0.0
2019-06-09,0.0
2019-06-16,0.0
2019-06-23,0.0
2019-06-30,0.0
2019-07-07,56.0
2019-07-14,38.0
2019-07-21,41.0
2019-07-28,0.0
2019-08-04,34.0
2019-08-11,44.0
2019-08-18,42.0
2019-08-25,48.0
2019-09-01,35.0
2019-09-08,34.0
2019-09-15,0.0
2019-09-22,0.0
2019-09-29,0.0
2019-10-06,0.0
2019-10-13,0.0
2019-10-20,32.0
2019-10-27,28.0
2019-11-03,45.0
2019-11-10,55.0
2019-11-17,68.0
2019-11-24,70.0
2019-12-01,100.0
2019-12-08,67.0
2019-12-15,72.0
2019-12-22,74.0
2019-12-29,82.0
2020-01-05,76.16060961313013
2020-01-12,88.64595545134819
2020-01-19,77.40914419695193
2020-01-26,81.15474794841735
2020-02-02,84.90035169988276
2020-02-09,122.35638921453693
2020-02-16,87.39742086752638
2020-02-23,91.14302461899179
2020-03-01,82.40328253223916
2020-03-08,86.14888628370457
2020-03-15,58.68112543962485
2020-03-22,41.20164126611958
2020-03-29,28.716295427901525
2020-04-05,39.95310668229777
2020-04-12,36.207502930832355
2020-04-19,47.444314185228606
2020-04-26,34.958968347010554
2020-05-03,0.0
2020-05-10,31.213364595545134
2020-05-17,23.722157092614303
2020-05-24,42.45017584994138
2020-05-31,52.438452520515824
2020-06-07,64.92379835873388
2020-06-14,83.65181711606095
2020-06-21,124.85345838218053
2020-06-28,68.6694021101993
2020-07-05,0.0
2020-07-12,0.0
2020-07-19,0.0
2020-07-26,0.0
2020-08-02,0.0
2020-08-09,0.0
2020-08-16,0.0
2020-08-23,0.0
2020-08-30,0.0
2020-09-06,0.0
2020-09-13,0.0
2020-09-20,0.0
2020-09-27,0.0
2020-10-04,0.0
2020-10-11,0.0
2020-10-18,0.0
2020-10-25,0.0
2020-11-01,0.0
2020-11-08,0.0
2020-11-15,0.0
2020-11-22,0.0
2020-11-29,0.0
2020-12-06,0.0
2020-12-13,0.0
2020-12-20,0.0
2020-12-27,0.0
2021-01-03,37.45603751465416
2021-01-10,61.178194607268466
2021-01-17,0.0
2021-01-24,0.0
2021-01-31,0.0
2021-02-07,0.0
2021-02-14,0.0
2021-02-21,62.42672919109027
2021-02-28,78.65767878077374
2021-03-07,73.66354044548652
2021-03-14,77.40914419695193
2021-03-21,61.178194607268466
2021-03-28,59.92966002344666
2021-04-04,63.675263774912075
2021-04-11,48.69284876905041
2021-04-18,96.13716295427902
2021-04-25,58.68112543962485
2021-05-02,62.42672919109027
2021-05-09,48.69284876905041
2021-05-16,52.438452520515824
2021-05-23,42.45017584994138
2021-05-30,57.43259085580305
2021-06-06,54.93552168815944
2021-06-13,66.17233294255568
2021-06-20,52.438452520515824
2021-06-27,68.6694021101993
2021-07-04,54.93552168815944
2021-07-11,56.18405627198124
2021-07-18,48.69284876905041
2021-07-25,47.444314185228606
2021-08-01,69.91793669402111
2021-08-08,36.207502930832355
2021-08-15,49.941383352872215
2021-08-22,46.1957796014068
2021-08-29,37.45603751465416
2021-09-05,41.20164126611958
2021-09-12,42.45017584994138
2021-09-19,43.69871043376319
2021-09-26,79.90621336459554
2021-10-03,66.17233294255568
2021-10-10,47.444314185228606
2021-10-17,27.46776084407972
2021-10-24,36.207502930832355
2021-10-31,26.219226260257912
2021-11-07,23.722157092614303
2021-11-14,51.18991793669402
2021-11-21,67.42086752637749
2021-11-28,56.18405627198124
2021-12-05,48.69284876905041
2021-12-12,56.18405627198124
2021-12-19,0.0
2021-12-26,0.0
2022-01-02,0.0
2022-01-09,0.0
2022-01-16,0.0
2022-01-23,0.0
2022-01-30,0.0
2022-02-06,0.0
2022-02-13,0.0
2022-02-20,0.0
2022-02-27,0.0
2022-03-06,0.0
2022-03-13,0.0
2022-03-20,0.0
2022-03-27,0.0
2022-04-03,0.0
2022-04-10,0.0
2022-04-17,0.0
2022-04-24,0.0
2022-05-01,0.0
2022-05-08,0.0
2022-05-15,0.0
2022-05-22,0.0
2022-05-29,0.0
2022-06-05,0.0
2022-06-12,0.0
2022-06-19,0.0
2022-06-26,0.0
2022-07-03,0.0
2022-07-10,0.0
2022-07-17,0.0
2022-07-24,0.0
2022-07-31,0.0
2022-08-07,0.0
2022-08-14,0.0
2022-08-21,0.0
2022-08-28,0.0
2022-09-04,0.0
2022-09-11,0.0
2022-09-18,0.0
2022-09-25,0.0
2022-10-02,16.23094958968347
2022-10-09,0.0
2022-10-16,0.0
2022-10-23,0.0
2022-10-30,0.0
2022-11-06,0.0
2022-11-13,0.0
2022-11-20,0.0
2022-11-27,0.0
2022-12-04,0.0
2022-12-11,0.0
2022-12-18,0.0
2022-12-25,0.0
2023-01-01,0.0
2023-01-08,0.0
2023-01-15,0.0
2023-01-22,0.0
2023-01-29,0.0
2023-02-05,0.0
2023-02-12,0.0
2023-02-19,0.0
2023-02-26,0.0
2023-03-05,0.0
2023-03-12,0.0
2023-03-19,0.0
2023-03-26,0.0
2023-04-02,0.0
2023-04-09,0.0
2023-04-16,0.0
2023-04-23,14.982415005861665
2023-04-30,0.0
2023-05-07,0.0
2023-05-14,13.73388042203986
2023-05-21,19.976553341148886
2023-05-28,0.0
2023-06-04,0.0
2023-06-11,0.0
2023-06-18,16.23094958968347
2023-06-25,13.73388042203986
2023-07-02,0.0
2023-07-09,0.0
2023-07-16,0.0
2023-07-23,0.0
2023-07-30,0.0
2023-08-06,0.0
2023-08-13,0.0
2023-08-20,0.0
2023-08-27,0.0
2023-09-03,0.0
2023-09-10,0.0
2023-09-17,0.0
2023-09-24,0.0
2023-10-01,0.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,0.0
2024-01-14,0.0
2024-01-21,0.0
2024-01-28,0.0
2024-02-04,11.840940891729378
2024-02-11,0.0
2024-02-18,0.0
2024-02-25,0.0
2024-03-03,0.0
2024-03-10,0.0
2024-03-17,0.0
2024-03-24,0.0
2024-03-31,28.756570737057064
2024-04-07,43.1348561055856
2024-04-14,50.74688953598305
2024-04-21,49.055326551450285
2024-04-28,71.89142684264266
2024-05-05,54.97579699731497
2024-05-12,73.58298982717542
2024-05-19,50.74688953598305
2024-05-26,84.57814922663842
2024-06-02,59.204704458646894
2024-06-09,59.204704458646894
2024-06-16,49.055326551450285
2024-06-23,54.13001550504859
2024-06-30,71.04564535037628
2024-07-07,52.438452520515824
2024-07-14,52.438452520515824
2024-07-21,59.204704458646894
2024-07-28,54.13001550504859
2024-08-04,54.97579699731497
2024-08-11,36.36860416745452
2024-08-18,50.74688953598305
2024-08-25,49.90110804371667
2024-09-01,54.97579699731497
2024-09-08,52.438452520515824
2024-09-15,43.1348561055856
2024-09-22,44.826419090118364
2024-09-29,43.98063759785198
2024-10-06,51.592671028249434
2024-10-13,43.1348561055856
2024-10-20,51.592671028249434
2024-10-27,59.204704458646894
2024-11-03,57.51314147411413
2024-11-10,53.28423401278221
2024-11-17,39.75173013652006
2024-11-24,33.83125969065537
2024-12-01,45.67220058238475
2024-12-08,37.214385659720904
2024-12-15,41.443293121052825
2024-12-22,39.75173013652006
2024-12-29,29.602352229323447
2025-01-05,43.98063759785198
2025-01-12,58.35892296638051
2025-01-19,55.821578489581356
2025-01-26,61.74204893544605
2025-02-02,63.433611919978816
2025-02-09,62.58783042771243
2025-02-16,65.97095639677796
2025-02-23,68.50830087357713
2025-03-02,42.28907461331921
2025-03-09,52.438452520515824
2025-03-16,55.821578489581356
2025-03-23,52.438452520515824
2025-03-30,57.51314147411413
2025-04-06,33.83125969065537
2025-04-13,52.438452520515824
2025-04-20,55.821578489581356
2025-04-27,55.821578489581356
2025-05-04,71.04564535037628
2025-05-11,47.36376356691751
2025-05-18,72.73720833490904
2025-05-25,69.35408236584351
2025-06-01,50.74688953598305
2025-06-08,56.667359981847746
2025-06-15,53.28423401278221
2025-06-22,56.667359981847746
2025-06-29,68.50830087357713
2025-07-06,60.89626744317967
2025-07-13,65.97095639677796
2025-07-20,65.97095639677796
2025-07-27,60.89626744317967
2025-08-03,60.05048595091328
2025-08-10,53.28423401278221
2025-08-17,65.97095639677796
2025-08-24,61.74204893544605
2025-08-31,58.35892296638051
2025-09-07,51.592671028249434
2025-09-14,53.28423401278221
2025-09-21,33.83125969065537
2025-09-28,41.443293121052825
2025-10-05,56.667359981847746
2025-10-12,57.51314147411413
2025-10-19,40.59751162878644
2025-10-26,55.821578489581356
2025-11-02,51.592671028249434
2025-11-09,71.89142684264266
2025-11-16,47.36376356691751
2025-11-23,49.90110804371667
2025-11-30,59.204704458646894
2025-12-07,65.97095639677796
2025-12-14,47.36376356691751
2025-12-21,50.74688953598305
2025-12-28,44.826419090118364
