,Cruises & Charters
2018-12-30,71
2019-01-06,63
2019-01-13,49
2019-01-20,54
2019-01-27,65
2019-02-03,65
2019-02-10,63
2019-02-17,68
2019-02-24,57
2019-03-03,78
2019-03-10,57
2019-03-17,53
2019-03-24,72
2019-03-31,72
2019-04-07,51
2019-04-14,40
2019-04-21,29
2019-04-28,31
2019-05-05,54
2019-05-12,33
2019-05-19,49
2019-05-26,37
2019-06-02,61
2019-06-09,62
2019-06-16,55
2019-06-23,53
2019-06-30,85
2019-07-07,67
2019-07-14,59
2019-07-21,61
2019-07-28,72
2019-08-04,83
2019-08-11,58
2019-08-18,60
2019-08-25,75
2019-09-01,62
2019-09-08,79
2019-09-15,72
2019-09-22,62
2019-09-29,49
2019-10-06,57
2019-10-13,55
2019-10-20,59
2019-10-27,68
2019-11-03,71
2019-11-10,51
2019-11-17,64
2019-11-24,55
2019-12-01,60
2019-12-08,63
2019-12-15,65
2019-12-22,62
2019-12-29,57
2020-01-05,57
2020-01-12,60
2020-01-19,55
2020-01-26,67
2020-02-02,72
2020-02-09,72
2020-02-16,75
2020-02-23,66
2020-03-01,62
2020-03-08,68
2020-03-15,58
2020-03-22,46
2020-03-29,41
2020-04-05,84
2020-04-12,48
2020-04-19,30
2020-04-26,31
2020-05-03,43
2020-05-10,36
2020-05-17,36
2020-05-24,40
2020-05-31,30
2020-06-07,43
2020-06-14,40
2020-06-21,35
2020-06-28,40
2020-07-05,46
2020-07-12,47
2020-07-19,39
2020-07-26,39
2020-08-02,43
2020-08-09,47
2020-08-16,44
2020-08-23,33
2020-08-30,42
2020-09-06,47
2020-09-13,38
2020-09-20,33
2020-09-27,39
2020-10-04,37
2020-10-11,42
2020-10-18,38
2020-10-25,28
2020-11-01,31
2020-11-08,30
2020-11-15,38
2020-11-22,51
2020-11-29,30
2020-12-06,38
2020-12-13,36
2020-12-20,39
2020-12-27,40
2021-01-03,35
2021-01-10,36
2021-01-17,36
2021-01-24,30
2021-01-31,42
2021-02-07,45
2021-02-14,56
2021-02-21,45
2021-02-28,46
2021-03-07,37
2021-03-14,44
2021-03-21,45
2021-03-28,56
2021-04-04,54
2021-04-11,35
2021-04-18,48
2021-04-25,41
2021-05-02,50
2021-05-09,48
2021-05-16,46
2021-05-23,42
2021-05-30,58
2021-06-06,47
2021-06-13,43
2021-06-20,44
2021-06-27,45
2021-07-04,54
2021-07-11,51
2021-07-18,37
2021-07-25,39
2021-08-01,51
2021-08-08,40
2021-08-15,43
2021-08-22,38
2021-08-29,44
2021-09-05,39
2021-09-12,54
2021-09-19,40
2021-09-26,37
2021-10-03,57
2021-10-10,40
2021-10-17,44
2021-10-24,56
2021-10-31,59
2021-11-07,66
2021-11-14,46
2021-11-21,59
2021-11-28,53
2021-12-05,47
2021-12-12,43
2021-12-19,44
2021-12-26,47
2022-01-02,65
2022-01-09,67
2022-01-16,46
2022-01-23,71
2022-01-30,66
2022-02-06,45
2022-02-13,61
2022-02-20,58
2022-02-27,67
2022-03-06,55
2022-03-13,50
2022-03-20,57
2022-03-27,56
2022-04-03,45
2022-04-10,45
2022-04-17,45
2022-04-24,55
2022-05-01,58
2022-05-08,46
2022-05-15,46
2022-05-22,46
2022-05-29,51
2022-06-05,51
2022-06-12,47
2022-06-19,51
2022-06-26,49
2022-07-03,39
2022-07-10,60
2022-07-17,52
2022-07-24,47
2022-07-31,62
2022-08-07,60
2022-08-14,65
2022-08-21,51
2022-08-28,40
2022-09-04,53
2022-09-11,55
2022-09-18,51
2022-09-25,45
2022-10-02,51
2022-10-09,73
2022-10-16,49
2022-10-23,50
2022-10-30,53
2022-11-06,60
2022-11-13,64
2022-11-20,53
2022-11-27,57
2022-12-04,58
2022-12-11,62
2022-12-18,80
2022-12-25,63
2023-01-01,45
2023-01-08,60
2023-01-15,64
2023-01-22,64
2023-01-29,63
2023-02-05,50
2023-02-12,61
2023-02-19,70
2023-02-26,61
2023-03-05,69
2023-03-12,63
2023-03-19,57
2023-03-26,65
2023-04-02,65
2023-04-09,53
2023-04-16,63
2023-04-23,65
2023-04-30,57
2023-05-07,65
2023-05-14,56
2023-05-21,55
2023-05-28,60
2023-06-04,62
2023-06-11,65
2023-06-18,76
2023-06-25,100
2023-07-02,71
2023-07-09,58
2023-07-16,60
2023-07-23,70
2023-07-30,62
2023-08-06,66
2023-08-13,65
2023-08-20,64
2023-08-27,66
2023-09-03,58
2023-09-10,67
2023-09-17,60
2023-09-24,45
2023-10-01,45
2023-10-08,51
2023-10-15,57
2023-10-22,60
2023-10-29,53
2023-11-05,60
2023-11-12,62
2023-11-19,55
2023-11-26,68
2023-12-03,66
2023-12-10,71
2023-12-17,68
2023-12-24,76
2023-12-31,66
2024-01-07,65
