,Business Operations
2018-12-30,55
2019-01-06,58
2019-01-13,52
2019-01-20,55
2019-01-27,60
2019-02-03,54
2019-02-10,61
2019-02-17,60
2019-02-24,59
2019-03-03,60
2019-03-10,62
2019-03-17,57
2019-03-24,62
2019-03-31,53
2019-04-07,44
2019-04-14,33
2019-04-21,35
2019-04-28,49
2019-05-05,54
2019-05-12,44
2019-05-19,54
2019-05-26,68
2019-06-02,66
2019-06-09,67
2019-06-16,71
2019-06-23,70
2019-06-30,70
2019-07-07,68
2019-07-14,64
2019-07-21,68
2019-07-28,65
2019-08-04,68
2019-08-11,66
2019-08-18,63
2019-08-25,65
2019-09-01,65
2019-09-08,58
2019-09-15,58
2019-09-22,54
2019-09-29,58
2019-10-06,57
2019-10-13,58
2019-10-20,62
2019-10-27,61
2019-11-03,57
2019-11-10,46
2019-11-17,53
2019-11-24,59
2019-12-01,58
2019-12-08,51
2019-12-15,62
2019-12-22,48
2019-12-29,58
2020-01-05,62
2020-01-12,60
2020-01-19,61
2020-01-26,60
2020-02-02,57
2020-02-09,65
2020-02-16,64
2020-02-23,62
2020-03-01,63
2020-03-08,50
2020-03-15,32
2020-03-22,37
2020-03-29,44
2020-04-05,45
2020-04-12,40
2020-04-19,51
2020-04-26,51
2020-05-03,49
2020-05-10,59
2020-05-17,58
2020-05-24,53
2020-05-31,52
2020-06-07,56
2020-06-14,60
2020-06-21,60
2020-06-28,60
2020-07-05,63
2020-07-12,58
2020-07-19,62
2020-07-26,62
2020-08-02,51
2020-08-09,62
2020-08-16,61
2020-08-23,63
2020-08-30,56
2020-09-06,61
2020-09-13,60
2020-09-20,59
2020-09-27,56
2020-10-04,48
2020-10-11,51
2020-10-18,51
2020-10-25,45
2020-11-01,47
2020-11-08,55
2020-11-15,54
2020-11-22,54
2020-11-29,53
2020-12-06,56
2020-12-13,56
2020-12-20,49
2020-12-27,49
2021-01-03,58
2021-01-10,57
2021-01-17,59
2021-01-24,56
2021-01-31,54
2021-02-07,59
2021-02-14,61
2021-02-21,54
2021-02-28,58
2021-03-07,58
2021-03-14,58
2021-03-21,60
2021-03-28,58
2021-04-04,52
2021-04-11,30
2021-04-18,54
2021-04-25,53
2021-05-02,59
2021-05-09,62
2021-05-16,61
2021-05-23,55
2021-05-30,63
2021-06-06,63
2021-06-13,66
2021-06-20,62
2021-06-27,68
2021-07-04,73
2021-07-11,69
2021-07-18,64
2021-07-25,65
2021-08-01,65
2021-08-08,61
2021-08-15,63
2021-08-22,59
2021-08-29,60
2021-09-05,63
2021-09-12,69
2021-09-19,64
2021-09-26,65
2021-10-03,67
2021-10-10,64
2021-10-17,54
2021-10-24,62
2021-10-31,60
2021-11-07,65
2021-11-14,61
2021-11-21,58
2021-11-28,58
2021-12-05,60
2021-12-12,60
2021-12-19,53
2021-12-26,56
2022-01-02,90
2022-01-09,88
2022-01-16,76
2022-01-23,85
2022-01-30,84
2022-02-06,78
2022-02-13,91
2022-02-20,85
2022-02-27,91
2022-03-06,93
2022-03-13,93
2022-03-20,95
2022-03-27,76
2022-04-03,71
2022-04-10,55
2022-04-17,77
2022-04-24,87
2022-05-01,83
2022-05-08,79
2022-05-15,78
2022-05-22,93
2022-05-29,97
2022-06-05,89
2022-06-12,81
2022-06-19,85
2022-06-26,91
2022-07-03,87
2022-07-10,83
2022-07-17,89
2022-07-24,85
2022-07-31,89
2022-08-07,86
2022-08-14,95
2022-08-21,91
2022-08-28,90
2022-09-04,86
2022-09-11,90
2022-09-18,90
2022-09-25,97
2022-10-02,84
2022-10-09,93
2022-10-16,89
2022-10-23,88
2022-10-30,82
2022-11-06,82
2022-11-13,96
2022-11-20,89
2022-11-27,84
2022-12-04,89
2022-12-11,79
2022-12-18,71
2022-12-25,72
2023-01-01,77
2023-01-08,88
2023-01-15,84
2023-01-22,86
2023-01-29,86
2023-02-05,83
2023-02-12,91
2023-02-19,96
2023-02-26,78
2023-03-05,80
2023-03-12,86
2023-03-19,79
2023-03-26,87
2023-04-02,68
2023-04-09,51
2023-04-16,72
2023-04-23,78
2023-04-30,77
2023-05-07,84
2023-05-14,85
2023-05-21,83
2023-05-28,77
2023-06-04,88
2023-06-11,93
2023-06-18,88
2023-06-25,84
2023-07-02,87
2023-07-09,96
2023-07-16,96
2023-07-23,80
2023-07-30,100
2023-08-06,93
2023-08-13,96
2023-08-20,91
2023-08-27,78
2023-09-03,82
2023-09-10,85
2023-09-17,87
2023-09-24,79
2023-10-01,83
2023-10-08,78
2023-10-15,87
2023-10-22,83
2023-10-29,76
2023-11-05,80
2023-11-12,83
2023-11-19,81
2023-11-26,79
2023-12-03,79
2023-12-10,84
2023-12-17,79
2023-12-24,66
2023-12-31,85
2024-01-07,86
