,Car Rental & Taxi Services
2018-12-30,40
2019-01-06,37
2019-01-13,36
2019-01-20,37
2019-01-27,36
2019-02-03,36
2019-02-10,36
2019-02-17,34
2019-02-24,40
2019-03-03,43
2019-03-10,38
2019-03-17,34
2019-03-24,34
2019-03-31,32
2019-04-07,42
2019-04-14,47
2019-04-21,24
2019-04-28,27
2019-05-05,29
2019-05-12,29
2019-05-19,30
2019-05-26,33
2019-06-02,35
2019-06-09,37
2019-06-16,36
2019-06-23,37
2019-06-30,34
2019-07-07,35
2019-07-14,37
2019-07-21,39
2019-07-28,39
2019-08-04,46
2019-08-11,43
2019-08-18,43
2019-08-25,39
2019-09-01,40
2019-09-08,46
2019-09-15,37
2019-09-22,35
2019-09-29,35
2019-10-06,32
2019-10-13,33
2019-10-20,33
2019-10-27,31
2019-11-03,33
2019-11-10,37
2019-11-17,43
2019-11-24,40
2019-12-01,39
2019-12-08,40
2019-12-15,41
2019-12-22,52
2019-12-29,41
2020-01-05,39
2020-01-12,39
2020-01-19,39
2020-01-26,35
2020-02-02,36
2020-02-09,31
2020-02-16,31
2020-02-23,33
2020-03-01,35
2020-03-08,35
2020-03-15,23
2020-03-22,16
2020-03-29,16
2020-04-05,17
2020-04-12,14
2020-04-19,13
2020-04-26,14
2020-05-03,14
2020-05-10,19
2020-05-17,19
2020-05-24,23
2020-05-31,21
2020-06-07,26
2020-06-14,29
2020-06-21,32
2020-06-28,31
2020-07-05,34
2020-07-12,30
2020-07-19,28
2020-07-26,33
2020-08-02,30
2020-08-09,33
2020-08-16,31
2020-08-23,31
2020-08-30,35
2020-09-06,32
2020-09-13,30
2020-09-20,29
2020-09-27,29
2020-10-04,25
2020-10-11,24
2020-10-18,23
2020-10-25,21
2020-11-01,17
2020-11-08,23
2020-11-15,23
2020-11-22,24
2020-11-29,23
2020-12-06,26
2020-12-13,28
2020-12-20,34
2020-12-27,29
2021-01-03,27
2021-01-10,33
2021-01-17,31
2021-01-24,41
2021-01-31,49
2021-02-07,32
2021-02-14,31
2021-02-21,34
2021-02-28,32
2021-03-07,35
2021-03-14,36
2021-03-21,37
2021-03-28,40
2021-04-04,42
2021-04-11,53
2021-04-18,39
2021-04-25,31
2021-05-02,29
2021-05-09,27
2021-05-16,26
2021-05-23,19
2021-05-30,26
2021-06-06,28
2021-06-13,24
2021-06-20,30
2021-06-27,30
2021-07-04,33
2021-07-11,37
2021-07-18,38
2021-07-25,40
2021-08-01,34
2021-08-08,34
2021-08-15,34
2021-08-22,25
2021-08-29,29
2021-09-05,25
2021-09-12,33
2021-09-19,31
2021-09-26,38
2021-10-03,39
2021-10-10,45
2021-10-17,46
2021-10-24,43
2021-10-31,44
2021-11-07,45
2021-11-14,75
2021-11-21,87
2021-11-28,80
2021-12-05,60
2021-12-12,50
2021-12-19,57
2021-12-26,47
2022-01-02,51
2022-01-09,53
2022-01-16,48
2022-01-23,48
2022-01-30,50
2022-02-06,45
2022-02-13,44
2022-02-20,44
2022-02-27,47
2022-03-06,45
2022-03-13,44
2022-03-20,40
2022-03-27,36
2022-04-03,37
2022-04-10,44
2022-04-17,39
2022-04-24,40
2022-05-01,40
2022-05-08,35
2022-05-15,42
2022-05-22,41
2022-05-29,41
2022-06-05,44
2022-06-12,49
2022-06-19,39
2022-06-26,43
2022-07-03,40
2022-07-10,36
2022-07-17,37
2022-07-24,37
2022-07-31,36
2022-08-07,36
2022-08-14,42
2022-08-21,39
2022-08-28,37
2022-09-04,38
2022-09-11,36
2022-09-18,35
2022-09-25,36
2022-10-02,34
2022-10-09,37
2022-10-16,36
2022-10-23,37
2022-10-30,39
2022-11-06,42
2022-11-13,42
2022-11-20,48
2022-11-27,49
2022-12-04,42
2022-12-11,40
2022-12-18,42
2022-12-25,42
2023-01-01,41
2023-01-08,43
2023-01-15,40
2023-01-22,37
2023-01-29,40
2023-02-05,38
2023-02-12,40
2023-02-19,38
2023-02-26,40
2023-03-05,37
2023-03-12,33
2023-03-19,37
2023-03-26,36
2023-04-02,41
2023-04-09,43
2023-04-16,45
2023-04-23,43
2023-04-30,45
2023-05-07,43
2023-05-14,40
2023-05-21,38
2023-05-28,40
2023-06-04,40
2023-06-11,40
2023-06-18,43
2023-06-25,45
2023-07-02,46
2023-07-09,44
2023-07-16,47
2023-07-23,43
2023-07-30,47
2023-08-06,49
2023-08-13,46
2023-08-20,45
2023-08-27,42
2023-09-03,44
2023-09-10,34
2023-09-17,37
2023-09-24,40
2023-10-01,35
2023-10-08,34
2023-10-15,37
2023-10-22,35
2023-10-29,34
2023-11-05,37
2023-11-12,35
2023-11-19,40
2023-11-26,100
2023-12-03,100
2023-12-10,48
2023-12-17,52
2023-12-24,49
2023-12-31,44
2024-01-07,40
