,Entertainment Media
2018-12-30,73
2019-01-06,55
2019-01-13,57
2019-01-20,60
2019-01-27,44
2019-02-03,49
2019-02-10,48
2019-02-17,54
2019-02-24,44
2019-03-03,45
2019-03-10,51
2019-03-17,47
2019-03-24,50
2019-03-31,38
2019-04-07,52
2019-04-14,55
2019-04-21,42
2019-04-28,55
2019-05-05,45
2019-05-12,47
2019-05-19,42
2019-05-26,46
2019-06-02,49
2019-06-09,57
2019-06-16,35
2019-06-23,48
2019-06-30,56
2019-07-07,43
2019-07-14,53
2019-07-21,51
2019-07-28,49
2019-08-04,59
2019-08-11,69
2019-08-18,70
2019-08-25,67
2019-09-01,58
2019-09-08,45
2019-09-15,48
2019-09-22,54
2019-09-29,58
2019-10-06,54
2019-10-13,73
2019-10-20,49
2019-10-27,42
2019-11-03,55
2019-11-10,48
2019-11-17,51
2019-11-24,54
2019-12-01,60
2019-12-08,62
2019-12-15,56
2019-12-22,83
2019-12-29,78
2020-01-05,62
2020-01-12,68
2020-01-19,56
2020-01-26,60
2020-02-02,52
2020-02-09,52
2020-02-16,52
2020-02-23,56
2020-03-01,49
2020-03-08,51
2020-03-15,68
2020-03-22,72
2020-03-29,81
2020-04-05,83
2020-04-12,68
2020-04-19,61
2020-04-26,69
2020-05-03,68
2020-05-10,70
2020-05-17,50
2020-05-24,61
2020-05-31,57
2020-06-07,59
2020-06-14,63
2020-06-21,55
2020-06-28,43
2020-07-05,57
2020-07-12,57
2020-07-19,54
2020-07-26,55
2020-08-02,67
2020-08-09,61
2020-08-16,55
2020-08-23,33
2020-08-30,39
2020-09-06,45
2020-09-13,35
2020-09-20,37
2020-09-27,45
2020-10-04,44
2020-10-11,42
2020-10-18,42
2020-10-25,50
2020-11-01,45
2020-11-08,50
2020-11-15,50
2020-11-22,57
2020-11-29,58
2020-12-06,59
2020-12-13,48
2020-12-20,64
2020-12-27,54
2021-01-03,58
2021-01-10,60
2021-01-17,52
2021-01-24,54
2021-01-31,57
2021-02-07,49
2021-02-14,53
2021-02-21,65
2021-02-28,53
2021-03-07,62
2021-03-14,62
2021-03-21,63
2021-03-28,66
2021-04-04,57
2021-04-11,48
2021-04-18,71
2021-04-25,56
2021-05-02,62
2021-05-09,77
2021-05-16,71
2021-05-23,87
2021-05-30,73
2021-06-06,74
2021-06-13,76
2021-06-20,65
2021-06-27,56
2021-07-04,69
2021-07-11,63
2021-07-18,63
2021-07-25,73
2021-08-01,59
2021-08-08,67
2021-08-15,65
2021-08-22,73
2021-08-29,60
2021-09-05,55
2021-09-12,70
2021-09-19,67
2021-09-26,72
2021-10-03,87
2021-10-10,70
2021-10-17,77
2021-10-24,62
2021-10-31,85
2021-11-07,68
2021-11-14,74
2021-11-21,65
2021-11-28,58
2021-12-05,81
2021-12-12,82
2021-12-19,65
2021-12-26,84
2022-01-02,77
2022-01-09,95
2022-01-16,84
2022-01-23,86
2022-01-30,89
2022-02-06,66
2022-02-13,78
2022-02-20,59
2022-02-27,62
2022-03-06,61
2022-03-13,69
2022-03-20,68
2022-03-27,59
2022-04-03,66
2022-04-10,79
2022-04-17,65
2022-04-24,56
2022-05-01,71
2022-05-08,70
2022-05-15,54
2022-05-22,75
2022-05-29,59
2022-06-05,59
2022-06-12,69
2022-06-19,79
2022-06-26,74
2022-07-03,82
2022-07-10,77
2022-07-17,80
2022-07-24,86
2022-07-31,89
2022-08-07,70
2022-08-14,76
2022-08-21,72
2022-08-28,70
2022-09-04,79
2022-09-11,57
2022-09-18,63
2022-09-25,63
2022-10-02,68
2022-10-09,62
2022-10-16,65
2022-10-23,78
2022-10-30,54
2022-11-06,59
2022-11-13,52
2022-11-20,52
2022-11-27,68
2022-12-04,74
2022-12-11,75
2022-12-18,70
2022-12-25,75
2023-01-01,86
2023-01-08,72
2023-01-15,74
2023-01-22,61
2023-01-29,61
2023-02-05,67
2023-02-12,70
2023-02-19,65
2023-02-26,63
2023-03-05,68
2023-03-12,59
2023-03-19,66
2023-03-26,73
2023-04-02,70
2023-04-09,61
2023-04-16,67
2023-04-23,72
2023-04-30,66
2023-05-07,63
2023-05-14,64
2023-05-21,57
2023-05-28,62
2023-06-04,61
2023-06-11,69
2023-06-18,63
2023-06-25,66
2023-07-02,74
2023-07-09,65
2023-07-16,74
2023-07-23,64
2023-07-30,66
2023-08-06,66
2023-08-13,77
2023-08-20,68
2023-08-27,66
2023-09-03,71
2023-09-10,67
2023-09-17,77
2023-09-24,75
2023-10-01,64
2023-10-08,66
2023-10-15,61
2023-10-22,74
2023-10-29,72
2023-11-05,75
2023-11-12,77
2023-11-19,64
2023-11-26,75
2023-12-03,84
2023-12-10,100
2023-12-17,77
2023-12-24,98
2023-12-31,72
2024-01-07,80
