,Autos & Vehicles
2018-12-30,54
2019-01-06,53
2019-01-13,48
2019-01-20,50
2019-01-27,54
2019-02-03,51
2019-02-10,54
2019-02-17,55
2019-02-24,52
2019-03-03,49
2019-03-10,52
2019-03-17,53
2019-03-24,50
2019-03-31,50
2019-04-07,47
2019-04-14,51
2019-04-21,49
2019-04-28,49
2019-05-05,41
2019-05-12,48
2019-05-19,47
2019-05-26,46
2019-06-02,48
2019-06-09,48
2019-06-16,48
2019-06-23,51
2019-06-30,51
2019-07-07,47
2019-07-14,53
2019-07-21,54
2019-07-28,48
2019-08-04,47
2019-08-11,43
2019-08-18,48
2019-08-25,52
2019-09-01,60
2019-09-08,70
2019-09-15,100
2019-09-22,87
2019-09-29,47
2019-10-06,48
2019-10-13,49
2019-10-20,47
2019-10-27,45
2019-11-03,45
2019-11-10,45
2019-11-17,46
2019-11-24,43
2019-12-01,45
2019-12-08,47
2019-12-15,50
2019-12-22,51
2019-12-29,55
2020-01-05,53
2020-01-12,49
2020-01-19,49
2020-01-26,47
2020-02-02,49
2020-02-09,53
2020-02-16,48
2020-02-23,49
2020-03-01,51
2020-03-08,44
2020-03-15,40
2020-03-22,37
2020-03-29,38
2020-04-05,38
2020-04-12,33
2020-04-19,27
2020-04-26,26
2020-05-03,25
2020-05-10,26
2020-05-17,30
2020-05-24,30
2020-05-31,33
2020-06-07,32
2020-06-14,30
2020-06-21,32
2020-06-28,36
2020-07-05,35
2020-07-12,35
2020-07-19,32
2020-07-26,33
2020-08-02,38
2020-08-09,40
2020-08-16,28
2020-08-23,32
2020-08-30,29
2020-09-06,28
2020-09-13,31
2020-09-20,32
2020-09-27,37
2020-10-04,38
2020-10-11,40
2020-10-18,37
2020-10-25,46
2020-11-01,40
2020-11-08,42
2020-11-15,37
2020-11-22,40
2020-11-29,40
2020-12-06,40
2020-12-13,44
2020-12-20,49
2020-12-27,51
2021-01-03,45
2021-01-10,49
2021-01-17,48
2021-01-24,54
2021-01-31,47
2021-02-07,45
2021-02-14,44
2021-02-21,47
2021-02-28,50
2021-03-07,47
2021-03-14,49
2021-03-21,49
2021-03-28,52
2021-04-04,47
2021-04-11,43
2021-04-18,46
2021-04-25,48
2021-05-02,45
2021-05-09,45
2021-05-16,39
2021-05-23,43
2021-05-30,47
2021-06-06,46
2021-06-13,46
2021-06-20,47
2021-06-27,44
2021-07-04,43
2021-07-11,46
2021-07-18,47
2021-07-25,47
2021-08-01,47
2021-08-08,52
2021-08-15,56
2021-08-22,53
2021-08-29,49
2021-09-05,49
2021-09-12,48
2021-09-19,45
2021-09-26,50
2021-10-03,43
2021-10-10,47
2021-10-17,52
2021-10-24,49
2021-10-31,52
2021-11-07,49
2021-11-14,49
2021-11-21,49
2021-11-28,52
2021-12-05,47
2021-12-12,58
2021-12-19,53
2021-12-26,53
2022-01-02,52
2022-01-09,49
2022-01-16,47
2022-01-23,46
2022-01-30,49
2022-02-06,50
2022-02-13,48
2022-02-20,48
2022-02-27,50
2022-03-06,45
2022-03-13,50
2022-03-20,48
2022-03-27,43
2022-04-03,47
2022-04-10,53
2022-04-17,45
2022-04-24,50
2022-05-01,47
2022-05-08,47
2022-05-15,48
2022-05-22,52
2022-05-29,51
2022-06-05,49
2022-06-12,49
2022-06-19,50
2022-06-26,50
2022-07-03,49
2022-07-10,43
2022-07-17,50
2022-07-24,50
2022-07-31,54
2022-08-07,55
2022-08-14,52
2022-08-21,51
2022-08-28,49
2022-09-04,47
2022-09-11,49
2022-09-18,46
2022-09-25,43
2022-10-02,46
2022-10-09,49
2022-10-16,47
2022-10-23,47
2022-10-30,49
2022-11-06,46
2022-11-13,49
2022-11-20,45
2022-11-27,42
2022-12-04,46
2022-12-11,47
2022-12-18,44
2022-12-25,53
2023-01-01,52
2023-01-08,50
2023-01-15,50
2023-01-22,50
2023-01-29,53
2023-02-05,49
2023-02-12,55
2023-02-19,51
2023-02-26,51
2023-03-05,49
2023-03-12,47
2023-03-19,48
2023-03-26,50
2023-04-02,51
2023-04-09,51
2023-04-16,51
2023-04-23,52
2023-04-30,53
2023-05-07,49
2023-05-14,50
2023-05-21,49
2023-05-28,50
2023-06-04,51
2023-06-11,52
2023-06-18,48
2023-06-25,46
2023-07-02,50
2023-07-09,54
2023-07-16,53
2023-07-23,50
2023-07-30,53
2023-08-06,58
2023-08-13,63
2023-08-20,59
2023-08-27,59
2023-09-03,57
2023-09-10,54
2023-09-17,59
2023-09-24,57
2023-10-01,60
2023-10-08,54
2023-10-15,57
2023-10-22,62
2023-10-29,59
2023-11-05,58
2023-11-12,61
2023-11-19,63
2023-11-26,61
2023-12-03,64
2023-12-10,63
2023-12-17,65
2023-12-24,65
2023-12-31,66
2024-01-07,59
