,Footwear
2018-12-30,56
2019-01-06,55
2019-01-13,52
2019-01-20,54
2019-01-27,52
2019-02-03,52
2019-02-10,51
2019-02-17,48
2019-02-24,47
2019-03-03,50
2019-03-10,48
2019-03-17,51
2019-03-24,47
2019-03-31,45
2019-04-07,44
2019-04-14,44
2019-04-21,41
2019-04-28,46
2019-05-05,47
2019-05-12,48
2019-05-19,47
2019-05-26,48
2019-06-02,47
2019-06-09,47
2019-06-16,50
2019-06-23,50
2019-06-30,43
2019-07-07,45
2019-07-14,48
2019-07-21,48
2019-07-28,47
2019-08-04,47
2019-08-11,45
2019-08-18,49
2019-08-25,47
2019-09-01,45
2019-09-08,49
2019-09-15,48
2019-09-22,50
2019-09-29,61
2019-10-06,51
2019-10-13,53
2019-10-20,54
2019-10-27,51
2019-11-03,66
2019-11-10,65
2019-11-17,59
2019-11-24,53
2019-12-01,55
2019-12-08,53
2019-12-15,56
2019-12-22,68
2019-12-29,63
2020-01-05,56
2020-01-12,56
2020-01-19,56
2020-01-26,52
2020-02-02,53
2020-02-09,49
2020-02-16,47
2020-02-23,46
2020-03-01,45
2020-03-08,41
2020-03-15,38
2020-03-22,20
2020-03-29,19
2020-04-05,18
2020-04-12,18
2020-04-19,17
2020-04-26,18
2020-05-03,20
2020-05-10,21
2020-05-17,25
2020-05-24,29
2020-05-31,32
2020-06-07,33
2020-06-14,35
2020-06-21,38
2020-06-28,35
2020-07-05,39
2020-07-12,38
2020-07-19,37
2020-07-26,39
2020-08-02,38
2020-08-09,44
2020-08-16,41
2020-08-23,40
2020-08-30,41
2020-09-06,44
2020-09-13,45
2020-09-20,43
2020-09-27,45
2020-10-04,48
2020-10-11,56
2020-10-18,64
2020-10-25,61
2020-11-01,65
2020-11-08,68
2020-11-15,58
2020-11-22,63
2020-11-29,58
2020-12-06,57
2020-12-13,58
2020-12-20,67
2020-12-27,63
2021-01-03,60
2021-01-10,55
2021-01-17,57
2021-01-24,59
2021-01-31,54
2021-02-07,58
2021-02-14,53
2021-02-21,55
2021-02-28,53
2021-03-07,52
2021-03-14,51
2021-03-21,50
2021-03-28,51
2021-04-04,51
2021-04-11,46
2021-04-18,41
2021-04-25,38
2021-05-02,41
2021-05-09,38
2021-05-16,38
2021-05-23,37
2021-05-30,41
2021-06-06,44
2021-06-13,45
2021-06-20,49
2021-06-27,51
2021-07-04,50
2021-07-11,52
2021-07-18,55
2021-07-25,55
2021-08-01,51
2021-08-08,57
2021-08-15,53
2021-08-22,51
2021-08-29,52
2021-09-05,53
2021-09-12,50
2021-09-19,52
2021-09-26,55
2021-10-03,60
2021-10-10,55
2021-10-17,56
2021-10-24,58
2021-10-31,58
2021-11-07,59
2021-11-14,60
2021-11-21,61
2021-11-28,62
2021-12-05,59
2021-12-12,62
2021-12-19,74
2021-12-26,65
2022-01-02,62
2022-01-09,58
2022-01-16,52
2022-01-23,59
2022-01-30,62
2022-02-06,58
2022-02-13,63
2022-02-20,63
2022-02-27,65
2022-03-06,64
2022-03-13,61
2022-03-20,62
2022-03-27,65
2022-04-03,63
2022-04-10,68
2022-04-17,67
2022-04-24,70
2022-05-01,70
2022-05-08,66
2022-05-15,62
2022-05-22,65
2022-05-29,66
2022-06-05,72
2022-06-12,71
2022-06-19,71
2022-06-26,68
2022-07-03,70
2022-07-10,69
2022-07-17,68
2022-07-24,69
2022-07-31,68
2022-08-07,70
2022-08-14,69
2022-08-21,67
2022-08-28,66
2022-09-04,64
2022-09-11,68
2022-09-18,81
2022-09-25,80
2022-10-02,75
2022-10-09,76
2022-10-16,74
2022-10-23,69
2022-10-30,71
2022-11-06,75
2022-11-13,77
2022-11-20,79
2022-11-27,81
2022-12-04,78
2022-12-11,81
2022-12-18,84
2022-12-25,88
2023-01-01,85
2023-01-08,84
2023-01-15,81
2023-01-22,81
2023-01-29,77
2023-02-05,77
2023-02-12,73
2023-02-19,70
2023-02-26,71
2023-03-05,69
2023-03-12,68
2023-03-19,68
2023-03-26,67
2023-04-02,73
2023-04-09,76
2023-04-16,75
2023-04-23,70
2023-04-30,76
2023-05-07,77
2023-05-14,70
2023-05-21,76
2023-05-28,76
2023-06-04,73
2023-06-11,74
2023-06-18,72
2023-06-25,77
2023-07-02,76
2023-07-09,72
2023-07-16,69
2023-07-23,69
2023-07-30,72
2023-08-06,74
2023-08-13,71
2023-08-20,67
2023-08-27,66
2023-09-03,65
2023-09-10,69
2023-09-17,72
2023-09-24,79
2023-10-01,80
2023-10-08,88
2023-10-15,72
2023-10-22,71
2023-10-29,72
2023-11-05,80
2023-11-12,71
2023-11-19,77
2023-11-26,81
2023-12-03,80
2023-12-10,83
2023-12-17,100
2023-12-24,96
2023-12-31,85
2024-01-07,81
